source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
400009,GLOBAL CITIZENSHIP,IL,,140844,Global Visions Academy,CHICAGO,60,44.99999999999999,f,reject,f
400011,LOCKE A,IL,,142833,McKinley Libra,RIVERDALE,47.61904761904762,47.61904761904761,f,reject,f
400021,CATALYST - CIRCLE ROCK,IL,,144184,Circle Academy,URBANA,60,58.82352941176471,f,reject,f
400023,CICS - AVALON/SOUTH SHORE,IL,,141286,School of Technology High School - South Shore,CHICAGO,64.70588235294117,47.76119402985075,f,reject,f
400024,CICS - BASIL,IL,,140702,Cics Chicago Quest,CHICAGO,57.142857142857146,42.85714285714286,f,reject,f
400025,CICS - BUCKTOWN,IL,,140702,Cics Chicago Quest,CHICAGO,47.05882352941177,45.16129032258065,f,reject,f
400026,CICS - LOOMIS,IL,,140702,Cics Chicago Quest,CHICAGO,53.333333333333336,41.379310344827594,f,reject,f
400027,CICS - IRVING PARK,IL,,141425,Cissna Park High School,CISSNA PARK,56.41025641025641,56.41025641025641,f,reject,f
400028,CICS - PRAIRIE,IL,,140455,Bushnell Prairie City HS,BUSHNELL,73.6842105263158,44.44444444444444,f,reject,f
400029,CICS - WASHINGTON PARK,IL,,1089,Harold Washington Clg Chicago,CHICAGO,69.38775510204081,69.38775510204081,f,reject,f
400030,CICS - WEST BELDEN,IL,,143223,West Leyden High School,NORTHLAKE,56.41025641025641,56.41025641025641,f,reject,f
400031,CICS - WRIGHTWOOD,IL,,140630,CICS Longwood High School,CHICAGO,60,60,f,reject,f
400039,ERIE,IL,,141835,Erie High School,ERIE,100,40,f,reject,f
400044,KIPP - ASCEND,IL,,140825,King College Prep,CHICAGO,50,50,f,reject,f
400046,LEARN - BUTLER,IL,,140637,Butler College Prep,CHICAGO,66.66666666666666,64.51612903225806,f,reject,f
400047,LEARN - CAMPBELL,IL,,141652,Apostolic Learning Academy,DUPO,55,55.00000000000001,f,reject,f
400048,LEARN - EXCEL,IL,,142811,Excell Distance Learning,MATTESON,62.857142857142854,62.857142857142854,f,reject,f
400049,LEGACY,IL,,142072,Gateway Legacy Christian Acdmy,GLEN CARBON,100,33.333333333333336,f,reject,f
400050,NAMASTE,IL,,140412,Daystar Academy,CHICAGO,45.45454545454545,45.45454545454546,f,reject,f
400060,PASSAGES,IL,,140652,Cs Academy,CHICAGO,44.44444444444444,44.44444444444444,f,reject,f
400069,POLARIS,IL,,143231,Polaris School Individual Educ,OAK LAWN,100,37.83783783783784,f,reject,f
400071,PROVIDENCE ENGLEWOOD,IL,,142375,Providence Catholic HS,NEW LENOX,66.66666666666666,47.05882352941176,f,reject,f
400075,U OF C - DONOGHUE,IL,,1083,College Of Dupage,GLEN ELLYN,56.25,50,f,reject,f
400076,U OF C - NKO,IL,,1083,College Of Dupage,GLEN ELLYN,51.851851851851855,37.03703703703704,f,reject,f
400079,ACERO - ZIZUMBO,IL,,141334,Acero Cruz,CHICAGO,66.66666666666666,60.86956521739131,f,reject,f
400080,ACERO - TORRES,IL,,141334,Acero Cruz,CHICAGO,66.66666666666666,63.63636363636363,f,reject,f
400081,ACERO - DE LAS CASAS,IL,,141334,Acero Cruz,CHICAGO,66.66666666666666,50,f,reject,f
400082,ACERO - FUENTES,IL,,141334,Acero Cruz,CHICAGO,66.66666666666666,60.86956521739131,f,reject,f
400084,ACERO - TAMAYO,IL,,141334,Acero Cruz,CHICAGO,66.66666666666666,54.54545454545454,f,reject,f
400089,ACERO - MARQUEZ,IL,,141334,Acero Cruz,CHICAGO,78.26086956521739,78.26086956521739,f,reject,f
400092,CICS - BOND,IL,,142160,Bond County Cmty Unit #2 HS,GREENVILLE,61.53846153846154,36.36363636363637,f,reject,f
400096,ROWE,IL,,141108,Rowe-Clark Math Science Acad,CHICAGO,100,25,f,reject,f
400101,ACERO - CISNEROS,IL,,141334,Acero Cruz,CHICAGO,66.66666666666666,66.66666666666667,f,reject,f
400107,LEARN - SOUTH CHICAGO,IL,,140036,Ombudsman #2 Chicago South,CHICAGO,81.25,72.72727272727273,f,review,t
400111,LEARN - PERKINS,IL,,140066,School Expressive Arts Learn N,LOMBARD,55.55555555555556,37.2093023255814,f,reject,f
400112,ACERO - IDAR,IL,,141334,Acero Cruz,CHICAGO,70,70,f,reject,f
400114,ACERO - SANTIAGO,IL,,141334,Acero Cruz,CHICAGO,66.66666666666666,50,f,reject,f
400115,CATALYST - MARIA,IL,,140654,Catalyst-Maria High School,CHICAGO,100,70,f,review,t
400116,MONTESSORI ENGLEWOOD,IL,,140018,Magic Johnson - Englewood,CHICAGO,69.76744186046511,69.76744186046511,f,reject,f
400120,ACERO - CLEMENTE,IL,,141325,Roberto Clemente Cmty Academy,CHICAGO,72.72727272727272,55.81395348837209,f,reject,f
400146,KIPP - ACADEMY,IL,,140652,Cs Academy,CHICAGO,82.35294117647058,72.72727272727273,f,review,t
400151,LEARN - 7,IL,,140066,School Expressive Arts Learn N,LOMBARD,83.33333333333333,32.432432432432435,f,reject,f
400153,ACERO - BRIGHTON PARK,IL,,141334,Acero Cruz,CHICAGO,66.66666666666666,48.275862068965516,f,reject,f
400159,CHRISTOPHER HOUSE,IL,,141405,Christopher High School,CHRISTOPHER,78.57142857142857,70,f,reject,f
400163,KIPP - BLOOM,IL,,141390,Bloom High School,CHICAGO HTS,66.66666666666666,51.85185185185186,f,reject,f
