state,subgroup,threshold,metric,year,value
National,All,At least five AP courses,Number of public high schools that offer,2024,10112
National,All,At least five AP courses,Number of public high schools that offer,2023,9396
National,All,At least five AP courses,Number of public high schools that offer,2022,9112
National,All,At least five AP courses,Number of public high schools that offer,2021,9293
National,All,At least five AP courses,Number of public high schools that offer,2020,8930
National,All,At least five AP courses,Number of public high schools that offer,2019,9014
National,All,At least ten AP courses,Number of public high schools that offer,2024,7051
National,All,At least ten AP courses,Number of public high schools that offer,2023,6462
National,All,At least ten AP courses,Number of public high schools that offer,2022,6175
National,All,At least ten AP courses,Number of public high schools that offer,2021,6232
National,All,At least ten AP courses,Number of public high schools that offer,2020,5940
National,All,At least ten AP courses,Number of public high schools that offer,2019,5990
National,All,At least one AP STEM course,Number of public high schools that offer,2024,11915
National,All,At least one AP STEM course,Number of public high schools that offer,2023,11516
National,All,At least one AP STEM course,Number of public high schools that offer,2022,11276
National,All,At least one AP STEM course,Number of public high schools that offer,2021,11482
National,All,At least one AP STEM course,Number of public high schools that offer,2020,11001
National,All,At least one AP STEM course,Number of public high schools that offer,2019,11121
National,All,At least five AP courses,Percentage of public high schools that offers,2024,0.47
National,All,At least five AP courses,Percentage of public high schools that offers,2023,0.48
National,All,At least five AP courses,Percentage of public high schools that offers,2022,0.47
National,All,At least five AP courses,Percentage of public high schools that offers,2021,0.48
National,All,At least five AP courses,Percentage of public high schools that offers,2020,0.48
National,All,At least five AP courses,Percentage of public high schools that offers,2019,0.48
National,All,At least ten AP courses,Percentage of public high schools that offers,2024,0.33
National,All,At least ten AP courses,Percentage of public high schools that offers,2023,0.33
National,All,At least ten AP courses,Percentage of public high schools that offers,2022,0.32
National,All,At least ten AP courses,Percentage of public high schools that offers,2021,0.32
National,All,At least ten AP courses,Percentage of public high schools that offers,2020,0.32
National,All,At least ten AP courses,Percentage of public high schools that offers,2019,0.32
National,All,At least one AP STEM course,Percentage of public high schools that offers,2024,0.55
National,All,At least one AP STEM course,Percentage of public high schools that offers,2023,0.59
National,All,At least one AP STEM course,Percentage of public high schools that offers,2022,0.59
National,All,At least one AP STEM course,Percentage of public high schools that offers,2021,0.6
National,All,At least one AP STEM course,Percentage of public high schools that offers,2020,0.59
National,All,At least one AP STEM course,Percentage of public high schools that offers,2019,0.59
National,All,At least five AP courses,Percentage of public high school students whose school offers,2024,0.79
National,All,At least five AP courses,Percentage of public high school students whose school offers,2023,0.8
National,All,At least five AP courses,Percentage of public high school students whose school offers,2022,0.79
National,All,At least five AP courses,Percentage of public high school students whose school offers,2021,0.8
National,All,At least five AP courses,Percentage of public high school students whose school offers,2020,0.8
National,All,At least five AP courses,Percentage of public high school students whose school offers,2019,0.8
National,All,At least ten AP courses,Percentage of public high school students whose school offers,2024,0.66
National,All,At least ten AP courses,Percentage of public high school students whose school offers,2023,0.66
National,All,At least ten AP courses,Percentage of public high school students whose school offers,2022,0.65
National,All,At least ten AP courses,Percentage of public high school students whose school offers,2021,0.66
National,All,At least ten AP courses,Percentage of public high school students whose school offers,2020,0.65
