state,subgroup,metric,year,value
National,All,pct_participation,2025,0.22
National,All,pct_participation,2024,0.21
National,All,pct_participation,2020,0.19
National,All,pct_participation,2015.0,0.17
National,All,total_examinees,2025,2780636
National,All,total_examinees,2024,2648896
National,All,total_examinees,2020,2293553
National,All,total_examinees,2015,2091688
National,All,growth_rate,2024-2025,0.04973392688878686
National,All,growth_rate,2020-2025,0.2123705011394985
National,All,growth_rate,2015-2025,0.3293741705263882
National,Asian,pct_participation,2025,0.54
National,Asian,pct_participation,2024,0.52
National,Asian,pct_participation,2020,0.44
National,Asian,pct_participation,2015.0,0.43
National,Asian,total_examinees,2025,394760
National,Asian,total_examinees,2024,375469
National,Asian,total_examinees,2020,305099
National,Asian,total_examinees,2015,264417
National,Asian,growth_rate,2024-2025,0.05137840940264038
National,Asian,growth_rate,2020-2025,0.29387510283547313
National,Asian,growth_rate,2015-2025,0.4929448560417824
National,Hispanic/Latino,pct_participation,2025,0.19
National,Hispanic/Latino,pct_participation,2024,0.18
National,Hispanic/Latino,pct_participation,2020,0.16
National,Hispanic/Latino,pct_participation,2015.0,0.15
National,Hispanic/Latino,total_examinees,2025,730720
National,Hispanic/Latino,total_examinees,2024,691650
National,Hispanic/Latino,total_examinees,2020,535891
National,Hispanic/Latino,total_examinees,2015,412389
National,Hispanic/Latino,growth_rate,2024-2025,0.05648810814718419
National,Hispanic/Latino,growth_rate,2020-2025,0.3635608733865656
National,Hispanic/Latino,growth_rate,2015-2025,0.7719192315992909
National,White,pct_participation,2025,0.2
National,White,pct_participation,2024,0.2
National,White,pct_participation,2020,0.19
National,White,pct_participation,2015.0,0.19
National,White,total_examinees,2025,1136422
National,White,total_examinees,2024,1112326
National,White,total_examinees,2020,1100785
National,White,total_examinees,2015,1151665
National,White,growth_rate,2024-2025,0.02166271398852504
National,White,growth_rate,2020-2025,0.03237416934278725
National,White,growth_rate,2015-2025,-0.01323561973316889
National,Black/African American,pct_participation,2025,0.12
National,Black/African American,pct_participation,2024,0.12
National,Black/African American,pct_participation,2020,0.09
National,Black/African American,pct_participation,2015.0,0.1
National,Black/African American,total_examinees,2025,228974
National,Black/African American,total_examinees,2024,215727
National,Black/African American,total_examinees,2020,153001
National,Black/African American,total_examinees,2015,179150
National,Black/African American,growth_rate,2024-2025,0.06140631446226008
National,Black/African American,growth_rate,2020-2025,0.4965523101156202
National,Black/African American,growth_rate,2015-2025,0.27811331286631313
National,American Indian/Alaska Native,pct_participation,2025,0.07
National,American Indian/Alaska Native,pct_participation,2024,0.08
National,American Indian/Alaska Native,pct_participation,2020,0.1
National,American Indian/Alaska Native,pct_participation,2015.0,0.1
National,American Indian/Alaska Native,total_examinees,2025,7684
National,American Indian/Alaska Native,total_examinees,2024,8399
National,American Indian/Alaska Native,total_examinees,2020,12814
National,American Indian/Alaska Native,total_examinees,2015,11887
National,American Indian/Alaska Native,growth_rate,2024-2025,-0.08512918204548159
National,American Indian/Alaska Native,growth_rate,2020-2025,-0.40034337443421253
National,American Indian/Alaska Native,growth_rate,2015-2025,-0.35357954067468667
National,Native Hawaiian or Other Pacific Islander,pct_participation,2025,0.08
National,Native Hawaiian or Other Pacific Islander,pct_participation,2024,0.08
National,Native Hawaiian or Other Pacific Islander,pct_participation,2020,0.08
National,Native Hawaiian or Other Pacific Islander,total_examinees,2025,3826
National,Native Hawaiian or Other Pacific Islander,total_examinees,2024,3648
National,Native Hawaiian or Other Pacific Islander,total_examinees,2020,3692
National,Native Hawaiian or Other Pacific Islander,growth_rate,2024-2025,0.04879385964912286
National,Native Hawaiian or Other Pacific Islander,growth_rate,2020-2025,0.03629469122426876
National,Two or More Races,pct_participation,2025,0.2
National,Two or More Races,pct_participation,2024,0.2
National,Two or More Races,pct_participation,2020,0.25
National,Two or More Races,total_examinees,2025,126640
National,Two or More Races,total_examinees,2024,118729
National,Two or More Races,total_examinees,2020,105535
National,Two or More Races,growth_rate,2024-2025,0.06663073048707568
National,Two or More Races,growth_rate,2020-2025,0.19998104894110957
National,No Response,total_examinees,2025,151610
National,No Response,total_examinees,2024,122948
National,No Response,total_examinees,2020,76736
National,No Response,total_examinees,2015,72180
National,No Response,growth_rate,2024-2025,0.23312294628623476
National,No Response,growth_rate,2020-2025,0.9757349874895747
National,No Response,growth_rate,2015-2025,1.1004433361041839
Alabama,All,pct_participation,2025,0.15
Alabama,All,pct_participation,2024,0.15
Alabama,All,pct_participation,2020,0.12
Alabama,All,pct_participation,2015.0,0.14
Alabama,All,total_examinees,2025,28817
Alabama,All,total_examinees,2024,27996
Alabama,All,total_examinees,2020,21104
Alabama,All,total_examinees,2015,23371
Alabama,All,growth_rate,2024-2025,0.02932561794542088
Alabama,All,growth_rate,2020-2025,0.3654757391963608
