state,subgroup,metric,year,value
National,Overall,score_5,2025,876776
National,Overall,score_5,2024,760766
National,Overall,score_5,2020,600082
National,Overall,score_5,2015,467404
National,Overall,score_4,2025,1405669
National,Overall,score_4,2024,1203224
National,Overall,score_4,2020,865681
National,Overall,score_4,2015,721524
National,Overall,score_3,2025,1378066
National,Overall,score_3,2024,1196541
National,Overall,score_3,2020,1083833
National,Overall,score_3,2015,964767
National,Overall,score_2,2025,979541
National,Overall,score_2,2024,991692
National,Overall,score_2,2020,872732
National,Overall,score_2,2015,885864
National,Overall,score_1,2025,579719
National,Overall,score_1,2024,712921
National,Overall,score_1,2020,655469
National,Overall,score_1,2015,816790
National,Overall,total_exams,2025,5219771
National,Overall,total_exams,2024,4865144
National,Overall,total_exams,2020,4077797
National,Overall,total_exams,2015,3856349
National,Overall,mean_score,2025,3.2
National,Overall,mean_score,2024,3.0631475656219016
National,Overall,mean_score,2020,2.97
National,Overall,mean_score,2015,2.78
National,Asian,score_5,2025,269160
National,Asian,score_5,2024,239807
National,Asian,score_5,2020,162746
National,Asian,score_5,2015,116197
National,Asian,score_4,2025,302405
National,Asian,score_4,2024,264740
National,Asian,score_4,2020,173196
National,Asian,score_4,2015,129818
National,Asian,score_3,2025,221428
National,Asian,score_3,2024,198316
National,Asian,score_3,2020,170429
National,Asian,score_3,2015,143901
National,Asian,score_2,2025,119272
National,Asian,score_2,2024,125427
National,Asian,score_2,2020,105983
National,Asian,score_2,2015,108257
National,Asian,score_1,2025,49204
National,Asian,score_1,2024,62742
National,Asian,score_1,2020,58357
National,Asian,score_1,2015,80737
National,Asian,total_exams,2025,961469
National,Asian,total_exams,2024,891032
National,Asian,total_exams,2020,670711
National,Asian,total_exams,2015,578910
National,Asian,mean_score,2025,3.65
National,Asian,mean_score,2024,3.55
National,Asian,mean_score,2020,3.41
National,Asian,mean_score,2015,3.16
National,Hispanic/Latino,score_5,2025,109681
National,Hispanic/Latino,score_5,2024,93473
National,Hispanic/Latino,score_5,2020,90420
National,Hispanic/Latino,score_5,2015,52361
National,Hispanic/Latino,score_4,2025,245865
National,Hispanic/Latino,score_4,2024,203699
National,Hispanic/Latino,score_4,2020,145916
National,Hispanic/Latino,score_4,2015,93369
National,Hispanic/Latino,score_3,2025,330052
National,Hispanic/Latino,score_3,2024,271166
National,Hispanic/Latino,score_3,2020,212860
National,Hispanic/Latino,score_3,2015,140557
National,Hispanic/Latino,score_2,2025,319052
National,Hispanic/Latino,score_2,2024,301144
National,Hispanic/Latino,score_2,2020,215041
National,Hispanic/Latino,score_2,2015,178554
National,Hispanic/Latino,score_1,2025,260400
National,Hispanic/Latino,score_1,2024,300223
National,Hispanic/Latino,score_1,2020,221948
National,Hispanic/Latino,score_1,2015,243776
National,Hispanic/Latino,total_exams,2025,1265050
National,Hispanic/Latino,total_exams,2024,1169705
National,Hispanic/Latino,total_exams,2020,886185
National,Hispanic/Latino,total_exams,2015,708617
National,Hispanic/Latino,mean_score,2025,2.7
National,Hispanic/Latino,mean_score,2024,2.56
National,Hispanic/Latino,mean_score,2020,2.63
National,Hispanic/Latino,mean_score,2015,2.34
National,White,score_5,2025,371755
National,White,score_5,2024,328928
National,White,score_5,2020,282109
National,White,score_5,2015,266137
National,White,score_4,2025,643780
National,White,score_4,2024,568409
National,White,score_4,2020,445415
National,White,score_4,2015,435902
National,White,score_3,2025,592642
National,White,score_3,2024,543361
National,White,score_3,2020,557098
National,White,score_3,2015,574604
National,White,score_2,2025,348027
National,White,score_2,2024,384876
National,White,score_2,2020,414405
National,White,score_2,2015,463022
National,White,score_1,2025,129377
National,White,score_1,2024,181002
National,White,score_1,2020,241930
National,White,score_1,2015,306413
National,White,total_exams,2025,2085581
National,White,total_exams,2024,2006576
National,White,total_exams,2020,1940957
National,White,total_exams,2015,2046078
National,White,mean_score,2025,3.37
National,White,mean_score,2024,3.24
National,White,mean_score,2020,3.06
National,White,mean_score,2015,2.95
National,Black or African American,score_5,2025,21233
National,Black or African American,score_5,2024,16995
National,Black or African American,score_5,2020,11779
National,Black or African American,score_5,2015,9170
National,Black or African American,score_4,2025,62229
National,Black or African American,score_4,2024,47578
National,Black or African American,score_4,2020,28078
National,Black or African American,score_4,2015,24088
National,Black or African American,score_3,2025,96028
National,Black or African American,score_3,2024,72909
National,Black or African American,score_3,2020,53702
National,Black or African American,score_3,2015,49367
National,Black or African American,score_2,2025,101127
National,Black or African American,score_2,2024,92536
National,Black or African American,score_2,2020,65554
National,Black or African American,score_2,2015,77397
National,Black or African American,score_1,2025,90802
National,Black or African American,score_1,2024,111009
National,Black or African American,score_1,2020,78462
National,Black or African American,score_1,2015,124276
National,Black or African American,total_exams,2025,371419
National,Black or African American,total_exams,2024,341027
National,Black or African American,total_exams,2020,237575
National,Black or African American,total_exams,2015,284298
National,Black or African American,mean_score,2025,2.52
National,Black or African American,mean_score,2024,2.32
National,Black or African American,mean_score,2020,2.28
National,Black or African American,mean_score,2015,2
National,Native American or Alaska Native,score_5,2025,748
National,Native American or Alaska Native,score_5,2024,765
National,Native American or Alaska Native,score_5,2020,1414
National,Native American or Alaska Native,score_5,2015,1216
National,Native American or Alaska Native,score_4,2025,2179
National,Native American or Alaska Native,score_4,2024,2130
National,Native American or Alaska Native,score_4,2020,2904
National,Native American or Alaska Native,score_4,2015,2691
National,Native American or Alaska Native,score_3,2025,3479
National,Native American or Alaska Native,score_3,2024,3236
National,Native American or Alaska Native,score_3,2020,4713
National,Native American or Alaska Native,score_3,2015,4643
National,Native American or Alaska Native,score_2,2025,3358
National,Native American or Alaska Native,score_2,2024,3910
National,Native American or Alaska Native,score_2,2020,4849
National,Native American or Alaska Native,score_2,2015,5506
National,Native American or Alaska Native,score_1,2025,2404
National,Native American or Alaska Native,score_1,2024,3179
National,Native American or Alaska Native,score_1,2020,4799
National,Native American or Alaska Native,score_1,2015,5728
National,Native American or Alaska Native,total_exams,2025,12168
National,Native American or Alaska Native,total_exams,2024,13220
National,Native American or Alaska Native,total_exams,2020,18679
National,Native American or Alaska Native,total_exams,2015,19784
National,Native American or Alaska Native,mean_score,2025,2.63
National,Native American or Alaska Native,mean_score,2024,2.5
National,Native American or Alaska Native,mean_score,2020,2.53
National,Native American or Alaska Native,mean_score,2015,2.4
National,Native Hawaiian or other Pacific Islander,score_5,2025,486
National,Native Hawaiian or other Pacific Islander,score_5,2024,409
National,Native Hawaiian or other Pacific Islander,score_5,2020,456
National,Native Hawaiian or other Pacific Islander,score_5,2015,15762
National,Native Hawaiian or other Pacific Islander,score_4,2025,1140
National,Native Hawaiian or other Pacific Islander,score_4,2024,997
National,Native Hawaiian or other Pacific Islander,score_4,2020,941
National,Native Hawaiian or other Pacific Islander,score_4,2015,22805
National,Native Hawaiian or other Pacific Islander,score_3,2025,1777
National,Native Hawaiian or other Pacific Islander,score_3,2024,1382
National,Native Hawaiian or other Pacific Islander,score_3,2020,1461
National,Native Hawaiian or other Pacific Islander,score_3,2015,30094
National,Native Hawaiian or other Pacific Islander,score_2,2025,1666
National,Native Hawaiian or other Pacific Islander,score_2,2024,1573
National,Native Hawaiian or other Pacific Islander,score_2,2020,1532
National,Native Hawaiian or other Pacific Islander,score_2,2015,27402
National,Native Hawaiian or other Pacific Islander,score_1,2025,1229
National,Native Hawaiian or other Pacific Islander,score_1,2024,1515
National,Native Hawaiian or other Pacific Islander,score_1,2020,1405
National,Native Hawaiian or other Pacific Islander,score_1,2015,24982
National,Native Hawaiian or other Pacific Islander,total_exams,2025,6298
National,Native Hawaiian or other Pacific Islander,total_exams,2024,5876
