ceeb,school_name,state,latitude,longitude,us_region,is_school_match,is_public_hs,is_private_hs,sector,has_nu_analytics,has_nu_data,crime_risk_need,crime_risk_adv,educational_attainment_need,educational_attainment_adv,family_stability_need,family_stability_adv,housing_stability_need,housing_stability_adv,median_family_income_need,median_family_income_adv,socio_need_index,ap_offered,ap_tests_taken,ap_participation,ap_intensity_src,ap_score_nu,ap_pct_students_nu,ap_tests_offered,ap_take_rate,dual_enrollment_offered,dual_enrollment_rate,testtaker_rate,sat_participation_nu,sat_score_nu,act_composite_il,grad_rate_2021,frl_rate,enrollment_9_12,grade_9,grade_10,grade_11,grade_12,child_poverty_saipe,per_pupil_state_local,leaid,district_total_revenue,per_resident_child_funding_total,per_resident_child_funding_state_local,funding_source,percent_going_to_college_mid,percent_going_to_4yr_college_mid,percent_federal_lunch_aid_mid,percent_first_gen_college_mid,number_of_ap_classes_offered_mid,size_of_senior_class_mid,ap_capstone,setting,ib_flag_candidate,ib_programme_count,meets_min_size,crdc_ib_enrollment,ib_flag_v2,ib_flag_v2_source,rigor_score,rigor_tier_num,rigor_tier_label,rigor_n_components_used,rigor_components_available,rigor_weighting_scheme,rigor_tier_method,rigor_tier_num_quantile,rigor_tier_label_quantile,funding_tier,sat_percentile_by_us_region,sat_percentile_by_funding_tier,sat_percentile_by_rigor_tier_label
000049,Calvary Baptist College,,18.408384,-65.981094,,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000107,Musicians Institute,,34.1005,-118.3254,US - West,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000114,Legacy Online School,,27.844425201416,-82.6381912231445,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000155,Univ St Francis,,41.5454,-88.1299,US - Illinois,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000182,Franklin Academy,,33.6473731994629,-117.835266113281,US - West,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000243,Presidio World College,,37.8005,-122.465,US - West,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000260,Pillsbury Baptist Bible Coll,,44.0805,-93.2191,US - Midwest,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000287,Phillips Jr Coll Melbourne,,28.1384,-80.6524,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000340,Nielsen Electronic Institute,,32.853,-79.9913,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
000352,Turtle Mountain Cmty College,,48.8379,-99.7688,US - West,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
