school_id,our_name,our_city,state,sector,bob_ceeb,bob_name,bob_city,match_rule,score,confidence
A1900008,BUILD UP COMMUNITY SCHOOL,BIRMINGHAM,AL,private,,,,unmatched,,
00000237,HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL,BIRMINGHAM,AL,private,010970,Holy Family Cristo Rey HS,BIRMINGHAM,subset_same_city,97.0,high
00000226,JOHN CARROLL CATHOLIC HIGH SCHOOL,BIRMINGHAM,AL,private,010370,John Carroll Catholic HS,BIRMINGHAM,exact_normalized_name,99.0,high
01925841,MCGILL-TOOLEN CATHOLIC HIGH SCHOOL,MOBILE,AL,private,011820,Mcgill-Toolen Catholic HS,Mobile,ceeb_exact,100.0,high
A2100130,SOUTHERN CHRISTIAN PREPARATORY ACADEMY,BIRMINGHAM,AL,private,011297,Southern Academy,GREENSBORO,subset_multi_token,90.0,review
A9900007,ST JOHN PAUL II CATHOLIC HIGH SCHOOL,HUNTSVILLE,AL,private,011483,St John Paul Ii Catholic HS,Huntsville,ceeb_exact,100.0,high
00047854,CATHOLIC HIGH SCHOOL FOR BOYS,LITTLE ROCK,AR,private,041420,Catholic High School,LITTLE ROCK,subset_same_city,97.0,high
00047978,MT ST MARY ACADEMY,LITTLE ROCK,AR,private,041440,Mount Saint Mary Academy,Little Rock,ceeb_exact,100.0,high
A2390028,OUACHITA HILLS ACADEMY,AMITY,AR,private,040032,Ouachita Hills Academy,AMITY,exact_normalized_name,99.0,high
00048971,OZARK ADVENTIST ACADEMY,GENTRY,AR,private,040880,Ozark Adventist Academy,Gentry,ceeb_exact,100.0,high
01926277,ARIZONA LUTHERAN ACADEMY,PHOENIX,AZ,private,030262,Arizona Lutheran Academy,Phoenix,ceeb_exact,100.0,high
00031425,BOURGADE CATHOLIC HIGH SCHOOL,PHOENIX,AZ,private,030264,Bourgade Catholic High School,Phoenix,ceeb_exact,100.0,high
A2190036,JOHN PAUL II CATHOLIC HIGH SCHOOL,AVONDALE,AZ,private,030679,St John Paul II Catholic HS,AVONDALE,subset_same_city,97.0,high
A0300071,NOTRE DAME PREPARATORY,SCOTTSDALE,AZ,private,,,,unmatched,,
A0100609,PUSCH RIDGE CHRISTIAN ACADEMY UPPER SCHOOL,TUCSON,AZ,private,030492,Pusch Ridge Christian Academy,TUCSON,subset_same_city,97.0,high
00030942,SALPOINTE CATHOLIC HIGH SCHOOL,TUCSON,AZ,private,030510,Salpointe Catholic High School,Tucson,ceeb_exact,100.0,high
A0500087,SAN MIGUEL HIGH SCHOOL,TUCSON,AZ,private,030602,San Miguel High School,Tucson,ceeb_exact,100.0,high
A2100209,SAN PEDRO VALLEY ACADEMY,HUACHUCA CITY,AZ,private,030599,San Pedro Valley Academy,TUCSON,exact_normalized_name,99.0,high
00031491,SETON CATHOLIC PREPARATORY,CHANDLER,AZ,private,030047,Seton Catholic Preparatory,CHANDLER,exact_normalized_name,99.0,high
A1170278,SHEARIM TORAH HIGH SCHOOL,PHOENIX,AZ,private,030640,Shearim Torah High School,PHOENIX,exact_normalized_name,99.0,high
A0700055,ST AUGUSTINE CATHOLIC HIGH SCHOOL,TUCSON,AZ,private,,,,unmatched,,
00031301,ST MARY'S CATHOLIC HIGH SCHOOL,PHOENIX,AZ,private,,,,unmatched,,
00033331,THUNDERBIRD ADVENTIST ACADEMY,SCOTTSDALE,AZ,private,030405,Thunderbird Adventist Academy,SCOTTSDALE,exact_normalized_name,99.0,high
A9100470,VALLEY LUTHERAN HIGH SCHOOL,PHOENIX,AZ,private,030319,Valley Lutheran High School,PHOENIX,exact_normalized_name,99.0,high
00032156,VERDE VALLEY SCHOOL,SEDONA,AZ,private,030410,Verde Valley School,Sedona,ceeb_exact,100.0,high
00031265,XAVIER COLLEGE PREPARATORY,PHOENIX,AZ,private,030295,Xavier College Preparatory Sch,Phoenix,ceeb_exact,100.0,high
A1500117,YESHIVA HIGH SCHOOL OF ARIZONA,PHOENIX,AZ,private,030736,Yeshiva High School Of Arizona,PHOENIX,exact_normalized_name,99.0,high
A0300076,YUMA CATHOLIC HIGH SCHOOL,YUMA,AZ,private,030570,Yuma High School,Yuma,ceeb_exact,100.0,high
00077164,ACADEMY OF OUR LADY OF PEACE,SAN DIEGO,CA,private,052820,Academy Our Lady Of Peace,San Diego,ceeb_exact,100.0,high
A2300077,ALKAVAIN ACADEMY,SAN RAMON,CA,private,,,,unmatched,,
00076706,AQUINAS HIGH SCHOOL,SAN BERNARDINO,CA,private,052772,Aquinas High School,San Bernardino,ceeb_exact,100.0,high
01609418,ARCHBISHOP MITTY HIGH SCHOOL,SAN JOSE,CA,private,053078,Archbishop Mitty High School,San Jose,ceeb_exact,100.0,high
00072596,ARCHBISHOP RIORDAN HIGH SCHOOL,SAN FRANCISCO,CA,private,053000,Archbishop Riordan High School,San Francisco,ceeb_exact,100.0,high
BB220040,BAIS YAAKOV MACHON,LOS ANGELES,CA,private,052703,Machon,LOS ANGELES,subset_same_city,97.0,high
A9100696,BAKERSFIELD CHRISTIAN HIGH SCHOOL,BAKERSFIELD,CA,private,050205,Bakersfield High School,Bakersfield,ceeb_exact,100.0,high
A0900219,BAYHILL HIGH SCHOOL,BERKELEY,CA,private,054279,Bayhill High School,BERKELEY,exact_normalized_name,99.0,high
A1900237,BELLARMINE COLLEGE PREPARATORY,SAN JOSE,CA,private,053080,Bellarmine College Preparatory,SAN JOSE,exact_normalized_name,99.0,high
00081443,BEREAN CHRISTIAN HIGH SCHOOL,WALNUT CREEK,CA,private,053683,Berean Christian High School,Walnut Creek,ceeb_exact,100.0,high
A2100280,BESANT HILL SCHOOL OF HAPPY VALLEY,OJAI,CA,private,,,,unmatched,,
A9100516,BISHOP ALEMANY HIGH SCHOOL,MISSION HILLS,CA,private,052898,Bishop Alemany High School,Mission Hills,ceeb_exact,100.0,high
00071399,BISHOP AMAT MEMORIAL HIGH SCHOOL,LA PUENTE,CA,private,051362,Bishop Amat Memorial HS,LA Puente,ceeb_exact,100.0,high
A9300090,BISHOP CONATY-OUR LADY OF LORETTO HIGH SCHOOL,LOS ANGELES,CA,private,051552,Bishop Conaty Our Lady Loretto,LOS ANGELES,exact_normalized_name,99.0,high
00070012,BISHOP GARCIA DIEGO HIGH SCHOOL,SANTA BARBARA,CA,private,053245,Bishop Garcia Diego High Sch,Santa Barbara,ceeb_exact,100.0,high
A1900251,BISHOP MONTGOMERY HIGH,TORRANCE,CA,private,053512,Bishop Montgomery High School,TORRANCE,exact_normalized_name,99.0,high
00070792,BISHOP MORA SALESIAN,LOS ANGELES,CA,private,051554,Bishop Mora Salesian HS,LOS ANGELES,exact_normalized_name,99.0,high
00074833,BISHOP ODOWD HIGH SCHOOL,OAKLAND,CA,private,052185,Bishop Odowd High School,Oakland,ceeb_exact,100.0,high
A1700135,BNOS ESTHER H.S.,LOS ANGELES,CA,private,051657,Bnos Esther High School,LOS ANGELES,exact_normalized_name,99.0,high
A1300163,BROOKSHIRE INTERNATIONAL ACADEMY,LA MESA,CA,private,054443,Brookshire International Acad,SAN DIEGO,exact_normalized_name,99.0,high
A1700151,C4L ACADEMY,IRVINE,CA,private,,,,unmatched,,
A9500298,CALIFORNIA LUTHERAN HIGH SCHOOL,WILDOMAR,CA,private,053566,California Lutheran High Schl,WILDOMAR,exact_normalized_name,99.0,high
