custom_id,school_A,ceeb_A_as_stored,city_A,state_A,school_B,ceeb_B_as_stored,city_B,state_B
0006598,Academy Of Our Lady Of Guam,525040,Agana,,Pomona Catholic High School,052504,Pomona,
0027279,Almond Bancroft School,500030,Almond,,Agoura High School,050003,Agoura Hills,
0015912,Alvirne High School,300280,Hudson,,Canyon State Academy,030028,Boys Ranch,
0027283,Appleton West High School,500060,Appleton,,Oak Park High School,050006,Oak Park,
0022054,Barrington High School,400000,Barrington,,Alma High School,040000,Alma,
0011472,Bonny Eagle High School,201100,Standish,,Petersburg High School,020110,Petersburg,
0015952,Coe Brown Northwood Academy,300470,Northwood,,Seton Catholic Preparatory,030047,Chandler,
0011521,Cony High School,200040,Augusta,,Robert Service High School,020004,Anchorage,
0026905,De Forest Area High School,500500,De Forest,,Alhambra High School,050050,Alhambra,
0026862,Divine Savior-Holy Angels HS,501350,Milwaukee,,Arcata High School,050135,Arcata,
0026763,Elkhorn Area High School,500600,Elkhorn,,Ramona Convent Secondary Sch,050060,Alhambra,
0001423,Faga'itua High School,520030,Pago Pago,,Calvary Temple Christian HS,052003,Modesto,
0006612,Father Duenas Memorial HS,525080,Hagatna,,International Polytechnic HS,052508,Pomona,
0011596,Fort Fairfield Middle HS,200370,Ft Fairfield,,Monroe Catholic Jr-Sr HS,020037,Fairbanks,
0006399,Georgia Military College HS,112100,Milledgeville,,Gaylesville High School,011210,Gaylesville,
0027060,Gibraltar High School,500660,Fish Creek,,Six Rivers Charter School,050066,Arcata,
0013963,Grace Christian Academy,529040,Saipan,,Mission High School,052904,San Fernando,
0026704,Grafton Senior High School,500770,Grafton,,Alta Loma High School,050077,Rancho Cucamonga,
0011452,Greely High School,200280,Cumberland Cente,,West Valley High School,020028,Fairbanks,
0026765,Greendale Senior High School,500820,Greendale,,Cornelia Connelly School,050082,Anaheim,
0005646,H B Plant High School,101700,Tampa,,Athens Bible School,010170,Athens,
0011522,Hall-Dale High School,200420,Farmingdale,,Gustavus School,020042,Gustavus,
0006103,Heard County Comprehensive HS,111350,Franklin,,Rogers High School,011135,Florence,
0005615,Howard W Blake High School,101750,Tampa,,Athens High School,010175,Athens,
0026740,Howards Grove High School,502090,Howards Grove,,Centennial High School,050209,Bakersfield,
0027013,Hudson Senior High School,500920,Hudson,,Western High School,050092,Anaheim,
0026710,Hustisford Jr-Sr High School,500930,Hustisford,,Esperanza High School,050093,Anaheim,
0027649,Jackson Hole High School,510210,Jackson,,Nawa Academy,051021,French Gulch,
0006599,John F Kennedy High School,525160,Tamuning,,Diamond Ranch High School,052516,Pomona,
0027034,Kaukauna Senior High School,500990,Kaukauna,,American Christian Academy,050099,Anderson,
0016004,Kimball Union Academy,300400,Meriden,,Casa Grande Union High School,030040,Casa Grande,
0026967,Lancaster Senior High School,501080,Lancaster,,Hamilton High School,050108,Anza,
0022260,Landrum High School,411250,Landrum,,Hope High School,041125,Hope,
0001431,Leone High School,520070,Pago Pago,,Saddleback Christian Academy,052007,Mission Viejo,
0011501,Lewiston High School,200550,Lewiston,,Juneau-Douglas High School,020055,Juneau,
0027297,Little Wolf Jr/Sr High School,501180,Manawa,,Apple Valley High School,050118,Apple Valley,
0027160,Logan High School,501050,LA Crosse,,Pacific Union College Prep Sch,050105,Angwin,
0026719,Lomira High School,501120,Lomira,,Prospects High School,050112,Antioch,
0027594,Lovell High School,510260,Lovell,,Bible Baptist School,051026,Gardena,
0022166,Lugoff-Elgin High School,410200,Lugoff,,Harrisburg College Career Prep,041020,Harrisburg,
0027041,Marinette Senior High School,501200,Marinette,,Pierce High School,050120,Arbuckle,
0026923,Marshall High School,501220,Marshall,,Apple Valley Christian Academy,050122,Apple Valley,
0011443,Marshwood High School,200350,South Berwick,,Austin E Lathrop High School,020035,Fairbanks,
0011567,Medomak Valley High School,201050,Waldoboro,,Palmer High School,020105,Palmer,
0027222,Menomonie Senior High School,501300,Menomonie,,Arcadia High School,050130,Arcadia,
0026925,Middleton High School,501320,Middleton,,Foothill Preparatory School,050132,Temple City,
0026926,Milton High School,501330,Milton,,Rio Hondo Prep School,050133,Arcadia,
0026927,Mineral Point High School,501520,Mineral Point,,Coastal Christian School,050152,Pismo Beach,
0027079,Notre Dame Academy,500800,Green Bay,,Modoc High School,050080,Alturas,
0011514,Oxford Hills High School,200950,South Paris,,Nenana High School,020095,Nenana,
0026784,Palmyra-Eagle High School,501750,Palmyra,,Placer High School,050175,Auburn,
0027596,Powell High School,510340,Powell,,Pacifica High School,051034,Garden Grove,
0001425,Samoana High School,520050,Utulei,,Mojave High School,052005,Mojave,
0011490,South Portland High School,200960,South Portland,,Newhalen School,020096,Iliamna,
0022616,Webster Area High School,421400,Webster,,Oak Ridge Central HS,042140,Ravenden Springs,
0027587,Worland High School,510450,Worland,,Sunnyside High School,051045,Fresno,
0005920,Xavier High School,529080,Chuuk,,Sylmar High School,052908,Sylmar,
0022579,Yankton Senior High School,421500,Yankton,,Rison High School,042150,Rison,
