guid,name,city,ceeb,ceeb_padded,suspected_counterpart_ceeb,custom_id
4db26537-f948-4387-877b-1a306ffa5980,Abbeville High School,Abbeville,410000,410000,041000,0022418
69339fa5-db8f-4aa0-9eff-6cbe48cc891c,Academia Adventista Metroplita,San Juan,545480,545480,054548,0021993
20f00538-321b-4ce2-8347-34788a446f82,Academia Barbara Ann Roessler,San Juan,544310,544310,054431,0022003
3422a7c2-ab08-4cd4-b708-bcd386fde77e,Academia Bautista Puerto Nuevo,Caparra Hills,544170,544170,054417,0021969
c8d2f561-dc4d-4e57-b98e-1b845e9e15bd,Academia Cristo Rey,Ponce,543780,543780,054378,0021899
cd3593d8-3456-4822-bc99-f2fb54da42bf,Academia Del Carmen,Carolina,541230,541230,054123,0022046
340a56a9-f1e5-49b8-90b5-acbd585a77ee,Academia Del Perpetuo Socorro,San Juan,543440,543440,054344,0021946
a5fb0b42-ec79-43a6-aa1d-335d2edfb868,Academia Del Sagrado Corazon,San Juan,545520,545520,054552,0021950
ad751d24-ba78-4953-9f2d-5a9c0dd36552,Academia Discipulos De Cristo,Bayamon,540790,540790,054079,0022020
bb360fcd-0ed1-4b15-b28b-79a6e8c854aa,Academia Garcia,Ponce,544080,544080,054408,0021898
22f0103e-31d8-48e0-b903-335a18f1b532,Academia La Milagrosa De Cayey,Cayey,541350,541350,054135,2873145
84166b19-0461-43a1-8e85-53d8414a7b97,Academia San Jorge,San Juan,545560,545560,054556,0021955
f75e0f35-ee00-4bac-8aed-384929cacbdf,Academia San Jose High School,Guaynabo,546580,546580,054658,0022024
958b81e7-dd48-4110-9579-a5bd8098d6ea,Academia San Luis,Lajas,542800,542800,054280,0021834
c63dd7f6-5a81-4df6-8911-3521989a5e11,Academia Santa Maria,Ponce,543800,543800,054380,0021901
81868287-e24f-4084-883b-51781711373a,Academia Santa Monica,San Juan,545600,545600,054560,0021948
b1845d37-2202-40c0-858b-fff15558cdd1,Academia Santa Teresita,Naranjito,543640,543640,054364,0021876
1b901c3b-da6f-4763-b2f0-bc8fd6de2d71,Academia Santa Teresita,San Juan,545640,545640,054564,0021953
2690a155-cdf9-4526-845d-bd68370d932e,Academia Sn Antonio De Guayama,Guayama,541950,541950,054195,0021936
65adb898-fd21-461f-9d45-c2fb1f171eb9,Academy Of Our Lady Of Guam,Agana,525040,525040,052504,0006598
d093baa3-522f-c6c5-81e6-ef494c9feaf5,Adult Virtual Academy,Palm Springs,100120,100120,010012,
5afdfabb-ab37-4a48-87a1-1eb5faa705dc,Advance Academy Of Georgia The,Carrollton,110600,110600,011060,0006030
b84f9864-74c7-4ed0-8274-0818da65f4d4,Albert Einstein High School,Santurce,545680,545680,054568,0021957
5cfff7ca-dc89-41d8-87dd-c460416a310c,Alcester-Hudson School,Alcester,420010,420010,042001,0022537
e211752d-fc7b-4af4-8d6e-33eed596d979,Alfonso Casta Martinez HS,Maunabo,543180,543180,054318,0021868
c707d36c-a5c4-432f-b5d2-3a02177f9f06,Allentown High School,Allentown,310000,310000,031000,0016543
184b8a87-62cb-4528-a8d8-c4356a3445f1,Almond Bancroft School,Almond,500030,500030,050003,0027279
e318cce5-4d8e-4806-90ac-4ae2a93c2900,Altha High School,Altha,100010,100010,010001,0005091
ea989d16-d8c6-47ad-8675-6c8b96ec1404,Alvirne High School,Hudson,300280,300280,030028,0015912
6a5d9cf4-42ab-45e7-b159-ebd22c1330e6,Ambassador Christian Academy,Merritt Is,100400,100400,010040,0005221
2d45d9c1-2af9-708b-0700-80d14a5d5e4a,American High School Academy I,Miami,102010,102010,010201,
96f6d161-334d-4070-acf4-8332b8f9d911,American Military Academy,Guaynabo,542110,542110,054211,0022035
396f438d-0233-4355-8254-2fa12aadb555,Amherst High School,Amherst,500050,500050,050005,0027094
6f29882a-32e8-834c-1bca-217822601a57,Ami Kids Jacksonville,Jacksonville,100190,100190,010019,
75128051-efcb-4dc2-bec1-278ed0569dfa,Ana Roque Senior High School,Humacao,542480,542480,054248,0021828
efd16680-dac0-4450-aef8-f03d502cfeeb,Annville Cleona Secondary Schl,Annville,390080,390080,039008,0021108
538ae5a6-eed0-43ef-a8b8-156876a00dd7,Antilles High School,Fort Buchanan,541900,541900,054190,0021999
8b73722a-bee2-44cf-92b2-66e1071fd6f9,Antilles Military Academy,Trujillo Alto,546280,546280,054628,0021920
a43dd417-e7f7-4cab-a076-b2d818ceec45,Antilles School,St. Thomas,550280,550280,055028,0026058
aa27564b-6040-ed35-52f1-ace02f56495a,Antonio Fernos Isern Voc HS,San Lorenzo,544970,544970,054497,3261095 
a9681152-38f4-4ff2-b0e2-25163bb624ed,Antonio Lucchetti Vocationl HS,Arecibo,540560,540560,054056,0021789
968561b3-11d2-f0af-e752-7700901cad51,Antonio Reyes-Padilla Escuela,Utuado,546420,546420,054642,
63f13946-6ae0-48d4-bb85-514af6651cbf,Appleton West High School,Appleton,500060,500060,050006,0027283
811538b3-3713-4882-8fbb-b817f41d3d22,Aquinas High School,LA Crosse,501040,501040,050104,0027159
5c58cd72-278e-431f-87a6-0bcf40277e1b,Arvada-Clearmont High School,Clearmont,510080,510080,051008,0027638
281ff6b0-85d4-4666-b394-e6f4405139dc,Athens High School,Athens,500100,500100,050010,0027096
21d32116-7ce2-4f3d-8e28-f79c4ac2e55c,Atlantic Community High School,Delray Beach,100420,100420,010042,0005555
f3bdb91b-e7a9-4024-a53e-17c8b69b41d9,Aubrey Rogers High School,Naples,530700,530700,053070,3694358
ffd05ee4-e6e6-4c76-b715-88fabbfca10b,Augusta High School,Augusta,500110,500110,050011,0027202
e50584b2-4611-4241-a242-c1df7f9ccaf7,Autec School,Fpo,800050,800050,080005,0029659
8b6e395d-91af-4244-968d-3cf735657053,Avon Park High School,Avon Park,100060,100060,010006,0005697
3a1ad4d0-fa20-2ffa-df47-bf5e6235d854,Azalea Park Baptist School,Orlando,100350,100350,010035,
