total_population,fips_state,fips_distid,district_name,state_abbr,child_poverty_estimate,child_population_5_17,leaid,pct_child_poverty
35276,1,190,Alabaster City School District,AL,675,6592,0100190,10.24
23438,1,5,Albertville City School District,AL,1059,4884,0100005,21.68
16830,1,30,Alexander City City School District,AL,693,2685,0100030,25.81
8890,1,60,Andalusia City School District,AL,451,1508,0100060,29.91
21578,1,90,Anniston City School District,AL,1051,2937,0100090,35.78
8862,1,100,Arab City School District,AL,218,1582,0100100,13.78
29364,1,120,Athens City School District,AL,600,4467,0100120,13.43
5814,1,180,Attalla City School District,AL,295,985,0100180,29.95
82487,1,210,Auburn City School District,AL,1192,11073,0100210,10.76
61464,1,240,Autauga County School District,AL,1858,10617,0100240,17.5
235420,1,270,Baldwin County School District,AL,5334,38149,0100270,13.98
11918,1,300,Barbour County School District,AL,587,1362,0100300,43.1
25652,1,330,Bessemer City School District,AL,1455,4293,0100330,33.89
22258,1,360,Bibb County School District,AL,802,3193,0100360,25.12
197810,1,390,Birmingham City School District,AL,8612,26914,0100390,32
53104,1,420,Blount County School District,AL,1314,9110,0100420,14.42
10524,1,12,Boaz City School District,AL,385,2035,0100012,18.92
5258,1,450,Brewton City School District,AL,215,856,0100450,25.12
9901,1,480,Bullock County School District,AL,581,1496,0100480,38.84
18256,1,510,Butler County School District,AL,893,3027,0100510,29.5
54858,1,540,Calhoun County School District,AL,1841,9227,0100540,19.95
27035,1,600,Chambers County School District,AL,983,4057,0100600,24.23
26138,1,630,Cherokee County School District,AL,731,3551,0100630,20.59
6419,1,188,Chickasaw City School District,AL,325,1135,0100188,28.63
47262,1,660,Chilton County School District,AL,1691,8480,0100660,19.94
12052,1,690,Choctaw County School District,AL,456,1690,0100690,26.98
17208,1,720,Clarke County School District,AL,754,2705,0100720,27.87
14239,1,750,Clay County School District,AL,520,2164,0100750,24.03
15648,1,780,Cleburne County School District,AL,477,2708,0100780,17.61
21658,1,810,Coffee County School District,AL,501,3823,0100810,13.1
23088,1,840,Colbert County School District,AL,708,3452,0100840,20.51
11109,1,870,Conecuh County School District,AL,545,1636,0100870,33.31
10291,1,900,Coosa County School District,AL,325,1215,0100900,26.75
22055,1,930,Covington County School District,AL,777,3600,0100930,21.58
13114,1,960,Crenshaw County School District,AL,600,2176,0100960,27.57
18090,1,990,Cullman City School District,AL,447,2984,0100990,14.98
74483,1,1020,Cullman County School District,AL,2303,12374,0101020,18.61
15782,1,1050,Dale County School District,AL,563,2625,0101050,21.45
10860,1,1080,Daleville City School District,AL,454,1657,0101080,27.4
18937,1,1110,Dallas County School District,AL,1173,3099,0101110,37.85
57930,1,1140,DeKalb County School District,AL,2593,10170,0101140,25.5
59220,1,1170,Decatur City School District,AL,1887,9958,0101170,18.95
6861,1,1200,Demopolis City School District,AL,357,1223,0101200,29.19
72521,1,1230,Dothan City School District,AL,2807,11678,0101230,24.04
5026,1,1260,Elba City School District,AL,195,749,0101260,26.03
83255,1,1290,Elmore County School District,AL,1902,13321,0101290,14.28
30294,1,1320,Enterprise City School District,AL,925,5694,0101320,16.25
31372,1,1350,Escambia County School District,AL,1304,5240,0101350,24.89
62411,1,1380,Etowah County School District,AL,1819,10195,0101380,17.84
12440,1,1410,Eufaula City School District,AL,876,2324,0101410,37.69
9852,1,1440,Fairfield City School District,AL,522,1703,0101440,30.65
14620,1,1470,Fayette County School District,AL,538,2310,0101470,23.29
41891,1,1530,Florence City School District,AL,940,5351,0101530,17.57
15192,1,1560,Fort Payne City School District,AL,804,2774,0101560,28.98
4547,1,1,Fort Rucker School District,AL,21,855,0100001,2.46
21098,1,1590,Franklin County School District,AL,771,3648,0101590,21.13
33874,1,1620,Gadsden City School District,AL,1773,5389,0101620,32.9
6106,1,1640,Geneva City School District,AL,205,930,0101640,22.04
21153,1,1660,Geneva County School District,AL,813,3526,0101660,23.06
7127,1,1680,Greene County School District,AL,583,1097,0101680,53.14
17051,1,202,Gulf Shores City School District,AL,269,2002,0100202,13.44
8952,1,1690,Guntersville City School District,AL,247,1414,0101690,17.47
15116,1,1710,Hale County School District,AL,827,2666,0101710,31.02
8413,1,1720,Haleyville City School District,AL,324,1366,0101720,23.72
15032,1,1730,Hartselle City School District,AL,248,2823,0101730,8.78
18138,1,1740,Henry County School District,AL,529,2790,0101740,18.96
26023,1,1760,Homewood City School District,AL,252,4409,0101760,5.72
92358,1,7,Hoover City School District,AL,1018,15825,0100007,6.43
38396,1,1770,Houston County School District,AL,1245,6703,0101770,18.57
234659,1,1800,Huntsville City School District,AL,4625,32629,0101800,14.17
37848,1,1830,Jackson County School District,AL,1061,5900,0101830,17.98
14383,1,1860,Jacksonville City School District,AL,323,1661,0101860,19.45
14596,1,1890,Jasper City School District,AL,545,2538,0101890,21.47
237489,1,1920,Jefferson County School District,AL,7324,40861,0101920,17.92
13543,1,1950,Lamar County School District,AL,463,2165,0101950,21.39
6778,1,1980,Lanett City School District,AL,474,1147,0101980,41.33
55611,1,2010,Lauderdale County School District,AL,953,8406,0102010,11.34
33567,1,2040,Lawrence County School District,AL,1182,5428,0102040,21.78
64612,1,2070,Lee County School District,AL,1499,10932,0102070,13.71
12314,1,11,Leeds City School District,AL,303,2041,0100011,14.85
71599,1,2100,Limestone County School District,AL,1312,10849,0102100,12.09
3935,1,2130,Linden City School District,AL,189,599,0102130,31.55
9485,1,2160,Lowndes County School District,AL,577,1496,0102160,38.57
18159,1,2190,Macon County School District,AL,756,2176,0102190,34.74
62780,1,8,Madison City School District,AL,674,13195,0100008,5.11
143828,1,2220,Madison County School District,AL,2119,24892,0102220,8.51
7716,1,2250,Marengo County School District,AL,347,1219,0102250,28.47
23475,1,2310,Marion County School District,AL,984,3674,0102310,26.78
51519,1,6,Marshall County School District,AL,1652,9292,0100006,17.78
2096,1,3,Maxwell AFB School District,AL,2,286,0100003,0.7
5134,1,2350,Midfield City School District,AL,347,1052,0102350,32.98
383013,1,2370,Mobile County School District,AL,13130,64167,0102370,20.46
19057,1,2400,Monroe County School District,AL,853,2884,0102400,29.58
214485,1,2430,Montgomery County School District,AL,10189,36875,0102430,27.63
51899,1,2480,Morgan County School District,AL,1150,8971,0102480,12.82
22232,1,2490,Mountain Brook City School District,AL,89,5127,0102490,1.74
16742,1,2520,Muscle Shoals City School District,AL,465,2956,0102520,15.73
7059,1,2550,Oneonta City School District,AL,174,1080,0102550,16.11
33444,1,2580,Opelika City School District,AL,1243,5165,0102580,24.07
6803,1,2610,Opp City School District,AL,368,1179,0102610,31.21
9137,1,3581,Orange Beach City School District,AL,118,1076,0103581,10.97
23804,1,2635,Oxford City School District,AL,863,4192,0102635,20.59
16710,1,2640,Ozark City School District,AL,839,2731,0102640,30.72
25578,1,194,Pelham City School District,AL,365,4051,0100194,9.01
30082,1,2650,Pell City City School District,AL,645,4659,0102650,13.84
7719,1,2670,Perry County School District,AL,571,1187,0102670,48.1
39158,1,2700,Phenix City City School District,AL,2046,7280,0102700,28.1
18508,1,2730,Pickens County School District,AL,705,2573,0102730,27.4
6420,1,2760,Piedmont City School District,AL,300,1053,0102760,28.49
15335,1,2790,Pike County School District,AL,859,2570,0102790,33.42
9313,1,195,Pike Road City School District,AL,138,2144,0100195,6.44
17490,1,2820,Randolph County School District,AL,560,2630,0102820,21.29
5577,1,2850,Roanoke City School District,AL,266,937,0102850,28.39
26983,1,2880,Russell County School District,AL,1058,4634,0102880,22.83
10776,1,2910,Russellville City School District,AL,535,2107,0102910,25.39
16198,1,185,Saraland City School District,AL,341,2992,0100185,11.4
6709,1,189,Satsuma City School District,AL,90,1140,0100189,7.89
15932,1,2940,Scottsboro City School District,AL,482,2409,0102940,20.01
16608,1,2970,Selma City School District,AL,1357,2951,0102970,45.98
9654,1,3000,Sheffield City School District,AL,474,1484,0103000,31.94
144520,1,3030,Shelby County School District,AL,1976,24637,0103030,8.02
62949,1,3062,St. Clair County School District,AL,1195,10586,0103062,11.29
11607,1,3090,Sumter County School District,AL,635,1661,0103090,38.23
12463,1,3120,Sylacauga City School District,AL,614,1928,0103120,31.85
15712,1,3150,Talladega City School District,AL,714,2381,0103150,29.99
48841,1,3180,Talladega County School District,AL,1991,7064,0103180,28.19
22248,1,3210,Tallapoosa County School District,AL,715,3168,0103210,22.57
9408,1,3240,Tallassee City School District,AL,286,1489,0103240,19.21
6034,1,3270,Tarrant City School District,AL,412,1219,0103270,33.8
4934,1,3300,Thomasville City School District,AL,205,789,0103300,25.98
17789,1,3330,Troy City School District,AL,749,2181,0103330,34.34
25743,1,13,Trussville City School District,AL,208,5458,0100013,3.81
105005,1,3360,Tuscaloosa City School District,AL,2741,12279,0103360,22.32
136207,1,3390,Tuscaloosa County School District,AL,3441,23586,0103390,14.59
9301,1,3420,Tuscumbia City School District,AL,354,1386,0103420,25.54
38594,1,3430,Vestavia Hills City School District,AL,195,7911,0103430,2.46
50664,1,3450,Walker County School District,AL,1868,8628,0103450,21.65
15018,1,3480,Washington County School District,AL,587,2252,0103480,26.07
9865,1,3510,Wilcox County School District,AL,722,1567,0103510,46.08
6636,1,3540,Winfield City School District,AL,234,1028,0103540,22.76
15911,1,3580,Winston County School District,AL,499,2315,0103580,21.56
2397,2,50,Alaska Gateway School District,AK,78,466,0200050,16.74
516,2,10,Aleutian Region School District,AK,2,20,0200010,10
3632,2,7,Aleutians East Borough School District,AK,18,134,0200007,13.43
289600,2,180,Anchorage School District,AK,4744,49233,0200180,9.64
1560,2,525,Annette Island School District,AK,61,287,0200525,21.25
6214,2,20,Bering Strait School District,AK,551,1681,0200020,32.78
884,2,30,Bristol Bay Borough School District,AK,26,124,0200030,20.97
1306,2,730,Chatham School District,AK,43,139,0200730,30.94
472,2,800,Chugach School District,AK,11,74,0200800,14.86
2502,2,70,Copper River School District,AK,96,486,0200070,19.75
2426,2,60,Cordova City School District,AK,33,391,0200060,8.44
1035,2,90,Craig City School District,AK,23,170,0200090,13.53
5044,2,100,Delta/Greely School District,AK,137,930,0200100,14.73
1621,2,770,Denali Borough School District,AK,22,225,0200770,9.78
2149,2,120,Dillingham City School District,AK,89,425,0200120,20.94
94951,2,600,Fairbanks North Star Borough School District,AK,1210,15647,0200600,7.73
450,2,130,Galena City School District,AK,19,114,0200130,16.67
2104,2,270,Haines Borough School District,AK,32,242,0200270,13.22
910,2,300,Hoonah City School District,AK,19,126,0200300,15.08
380,2,330,Hydaburg City School District,AK,21,65,0200330,32.31
1048,2,520,Iditarod Area School District,AK,84,224,0200520,37.5
31572,2,210,Juneau Borough School District,AK,331,4823,0200210,6.86
542,2,360,Kake City School District,AK,27,111,0200360,24.32
903,2,5,Kashunamiut School District,AK,97,251,0200005,38.65
61259,2,390,Kenai Peninsula Borough School District,AK,1138,10020,0200390,11.36
13677,2,150,Ketchikan Gateway Borough School District,AK,185,2048,0200150,9.03
719,2,450,Klawock City School District,AK,34,122,0200450,27.87
12654,2,480,Kodiak Island Borough School District,AK,155,2147,0200480,7.22
1397,2,760,Kuspuk School District,AK,104,324,0200760,32.1
1315,2,485,Lake and Peninsula Borough School District,AK,78,257,0200485,30.35
15263,2,1,Lower Kuskokwim School District,AK,1197,3804,0200001,31.47
6474,2,3,Lower Yukon School District,AK,735,1904,0200003,38.6
117613,2,510,Matanuska-Susitna Borough School District,AK,1743,22303,0200510,7.82
342,2,540,Nenana City School District,AK,13,73,0200540,17.81
3622,2,570,Nome School District,AK,143,777,0200570,18.4
10663,2,610,North Slope Borough School District,AK,294,1978,0200610,14.86
7134,2,625,Northwest Arctic Borough School District,AK,640,2014,0200625,31.78
96,2,630,Pelican City School District,AK,2,11,0200630,18.18
3436,2,660,Petersburg Borough School District,AK,46,523,0200660,8.8
498,2,670,Pribilof School District,AK,7,65,0200670,10.77
8355,2,240,Sitka School District,AK,94,1172,0200240,8.02
1119,2,690,Skagway School District,AK,3,127,0200690,2.36
1510,2,700,Southeast Island School District,AK,47,190,0200700,24.74
2493,2,710,Southwest Region School District,AK,303,629,0200710,48.17
569,2,680,St. Marys City School District,AK,61,154,0200680,39.61
4410,2,720,Unalaska City School District,AK,9,267,0200720,3.37
3706,2,780,Valdez City School District,AK,39,648,0200780,6.02
2064,2,810,Wrangell School District,AK,50,270,0200810,18.52
690,2,840,Yakutat School District,AK,34,119,0200840,28.57
1105,2,775,Yukon Flats School District,AK,37,215,0200775,17.21
2180,2,862,Yukon-Koyukuk School District,AK,92,426,0200862,21.6
1552,2,4,Yupiit School District,AK,188,436,0200004,43.12
171324,4,450,Agua Fria Union High School District,AZ,761,9169,0400450,8.3
846,4,480,Aguila Elementary District,AZ,5,149,0400480,3.36
3146,4,520,Ajo Unified District,AZ,42,327,0400520,12.84
101524,4,600,Alhambra Elementary District,AZ,3652,14146,0400600,25.82
671,4,630,Alpine Elementary District,AZ,13,68,0400630,19.12
6887,4,4770,Altar Valley Elementary District,AZ,227,1021,0404770,22.23
152224,4,680,Amphitheater Unified District,AZ,2651,18447,0400680,14.37
4811,4,720,Antelope Union High School District,AZ,55,210,0400720,26.19
132,4,750,Apache Elementary District,AZ,4,10,0400750,40
73100,4,790,Apache Junction Unified District,AZ,899,7130,0400790,12.61
1390,4,840,Arlington Elementary District,AZ,18,179,0400840,10.06
589,4,870,Ash Creek Elementary District,AZ,6,36,0400870,16.67
2077,4,910,Ash Fork Joint Unified District,AZ,52,241,0400910,21.58
58888,4,960,Avondale Elementary District,AZ,1180,8300,0400960,14.22
2338,4,1000,Bagdad Unified School District,AZ,12,498,0401000,2.41
34808,4,1050,Balsz Elementary District,AZ,885,3691,0401050,23.98
5566,4,1080,Beaver Creek Elementary District,AZ,65,763,0401080,8.52
8119,4,212,Benson Unified School District,AZ,220,1140,0400212,19.3
7354,4,1160,Bicentennial Union High School District,AZ,53,153,0401160,34.64
6472,4,1180,Bisbee Unified District,AZ,151,628,0401180,24.04
54,4,1230,Blue Elementary District,AZ,0,1,0401230,0
13806,4,6580,Blue Ridge Unified District,AZ,427,1998,0406580,21.37
924,4,1260,Bonita Elementary District,AZ,12,47,0401260,25.53
870,4,1290,Bouse Elementary District,AZ,16,38,0401290,42.11
646,4,1330,Bowie Unified District,AZ,20,108,0401330,18.52
56291,4,1380,Buckeye Elementary District,AZ,978,7802,0401380,12.54
103873,4,1410,Buckeye Union High School District,AZ,523,5743,0401410,9.11
44484,4,1500,Bullhead City School District,AZ,944,3296,0401500,28.64
13535,4,1600,Camp Verde Unified District,AZ,223,1973,0401600,11.3
2943,4,1650,Canon Elementary District,AZ,42,295,0401650,14.24
126652,4,1680,Cartwright Elementary District,AZ,4600,19920,0401680,23.09
79270,4,1710,Casa Grande Elementary District,AZ,1420,9642,0401710,14.73
111572,4,1740,Casa Grande Union High School District,AZ,645,5527,0401740,11.67
32725,4,1760,Catalina Foothills Unified District,AZ,182,3966,0401760,4.59
67367,4,1,Cave Creek Unified District,AZ,251,7067,0400001,3.55
6908,4,1810,Cedar Unified District,AZ,539,1306,0401810,41.27
292751,4,1870,Chandler Unified District,AZ,3293,51340,0401870,6.41
578,4,1920,Chevelon Butte School District,AZ,8,25,0401920,32
18694,4,1940,Chinle Unified District,AZ,1470,4089,0401940,35.95
26259,4,3,Chino Valley Unified District,AZ,264,3602,0400003,7.33
4405,4,4,Clarkdale-Jerome Elementary District,AZ,33,344,0400004,9.59
196,4,2130,Cochise Elementary District,AZ,4,25,0402130,16
4349,4,21,Colorado City Unified District,AZ,231,1420,0400021,16.27
72222,4,82,Colorado River Union High School District,AZ,533,2697,0400082,19.76
2653,4,2190,Concho Elementary District,AZ,128,296,0402190,43.24
2301,4,2220,Congress Elementary District,AZ,14,140,0402220,10
32601,4,2250,Continental Elementary District,AZ,83,1096,0402250,7.57
23363,4,2320,Coolidge Unified District,AZ,714,4490,0402320,15.9
33050,4,2370,Cottonwood-Oak Creek Elementary District,AZ,354,2845,0402370,12.44
48382,4,2400,Crane Elementary District,AZ,1049,6764,0402400,15.51
68759,4,2430,Creighton Elementary District,AZ,1428,7408,0402430,19.28
94,4,2460,Crown King Elementary District,AZ,0,2,0402460,0
283987,4,7750,Deer Valley Unified District,AZ,3428,46618,0407750,7.35
388,4,2490,Double Adobe Elementary District,AZ,15,43,0402490,34.88
20342,4,2530,Douglas Unified District,AZ,1172,4070,0402530,28.8
2541,4,2600,Duncan Unified District,AZ,72,450,0402600,16
207474,4,2690,Dysart Unified District,AZ,3426,34797,0402690,9.85
74,4,2710,Eagle Elementary District,AZ,0,7,0402710,0
879,4,2760,Elfrida Elementary District,AZ,17,85,0402760,20
6840,4,2790,Eloy Elementary District,AZ,264,971,0402790,27.19
487,4,2820,Empire Elementary District,AZ,9,65,0402820,13.85
100629,4,2860,Flagstaff Unified District,AZ,1482,13271,0402860,11.17
127395,4,2920,Florence Unified School District,AZ,2089,20742,0402920,10.07
31534,4,3010,Flowing Wells Unified District,AZ,1259,4980,0403010,25.28
5253,4,3150,Fort Huachuca Accommodation District,AZ,21,772,0403150,2.72
2678,4,3200,Fort Thomas Unified District,AZ,125,611,0403200,20.46
25780,4,3040,Fountain Hills Unified District,AZ,125,1934,0403040,6.46
36823,4,3060,Fowler Elementary District,AZ,1164,5732,0403060,20.31
2750,4,3080,Fredonia-Moccasin Unified District,AZ,88,438,0403080,20.09
27965,4,3240,Gadsden Elementary District,AZ,1527,4110,0403240,37.15
6124,4,3290,Ganado Unified District,AZ,481,1228,0403290,39.17
2433,4,3310,Gila Bend Unified District,AZ,44,554,0403310,7.94
223491,4,3400,Gilbert Unified District,AZ,2497,42471,0403400,5.88
115385,4,3420,Glendale Elementary District,AZ,3446,15741,0403420,21.89
377002,4,3450,Glendale Union High School District,AZ,3229,20015,0403450,16.13
10109,4,3500,Globe Unified District,AZ,268,1584,0403500,16.92
2424,4,3550,Grand Canyon Unified District,AZ,64,198,0403550,32.32
1281,4,3660,Hackberry School District,AZ,12,75,0403660,16
1060,4,3730,Hayden-Winkelman Unified District,AZ,46,165,0403730,27.88
4432,4,26,Heber-Overgaard Unified District,AZ,194,470,0400026,41.28
95599,4,3780,Higley Unified District,AZ,1013,20055,0403780,5.05
95,4,8460,Hillside Elementary District,AZ,1,17,0408460,5.88
9970,4,3820,Holbrook Unified District,AZ,563,1926,0403820,29.23
65864,4,3870,Humboldt Unified District,AZ,853,8858,0403870,9.63
368,4,3900,Hyder Elementary District,AZ,14,37,0403900,37.84
6644,4,3950,Indian Oasis-Baboquivari Unified District,AZ,101,1396,0403950,7.23
45560,4,3960,Isaac Elementary District,AZ,1816,6844,0403960,26.53
53036,4,3990,J. O. Combs Unified School District,AZ,786,10628,0403990,7.4
1805,4,4010,Joseph City Unified District,AZ,112,375,0404010,29.87
10362,4,4060,Kayenta Unified District,AZ,1053,2362,0404060,44.58
77013,4,295,Kingman Unified School District,AZ,1906,9462,0400295,20.14
1187,4,4170,Kirkland Elementary District,AZ,17,122,0404170,13.93
93,4,4200,Klondyke Elementary District,AZ,7,13,0404200,53.85
169170,4,4230,Kyrene Elementary District,AZ,1112,16978,0404230,6.55
64455,4,4280,Lake Havasu Unified District,AZ,1096,6679,0404280,16.41
58360,4,4290,Laveen Elementary District,AZ,1312,8711,0404290,15.06
42953,4,4320,Liberty Elementary District,AZ,536,5683,0404320,9.43
112436,4,4380,Litchfield Elementary District,AZ,1071,13760,0404380,7.78
3368,4,4410,Littlefield Unified District,AZ,31,358,0404410,8.66
55284,4,4440,Littleton Elementary District,AZ,1123,8479,0404440,13.24
66150,4,4500,Madison Elementary District,AZ,517,5127,0404500,10.08
1461,4,4530,Maine Consolidated School District,AZ,36,176,0404530,20.45
5382,4,4570,Mammoth-San Manuel Unified District,AZ,107,810,0404570,13.21
107917,4,4630,Marana Unified District,AZ,1559,17458,0404630,8.93
74245,4,4720,Maricopa Unified School District,AZ,1510,13671,0404720,11.05
6215,4,4820,Mayer Unified District,AZ,86,714,0404820,12.04
508,4,4860,McNary Elementary District,AZ,50,152,0404860,32.89
440,4,4920,McNeal Elementary District,AZ,13,82,0404920,15.85
523580,4,4970,Mesa Unified District,AZ,10503,79556,0404970,13.2
6876,4,5030,Miami Unified District,AZ,293,1171,0405030,25.02
37456,4,5070,Mingus Union High School District,AZ,145,1436,0405070,10.1
76,4,5100,Mobile Elementary District,AZ,0,5,0405100,0
25200,4,5190,Mohave Valley Elementary District,AZ,413,2093,0405190,19.73
1094,4,5220,Mohawk Valley Elementary District,AZ,32,100,0405220,32
6741,4,5320,Morenci Unified District,AZ,104,1431,0405320,7.27
1821,4,5340,Morristown Elementary District,AZ,18,184,0405340,9.78
16373,4,5400,Murphy Elementary District,AZ,512,1706,0405400,30.01
1221,4,5430,Naco Elementary District,AZ,66,271,0405430,24.35
10561,4,5460,Nadaburg Unified School District,AZ,172,1679,0405460,10.24
22204,4,5530,Nogales Unified District,AZ,1327,4394,0405530,30.2
19161,4,5640,Oracle Elementary District,AZ,88,912,0405640,9.65
44532,4,5670,Osborn Elementary District,AZ,652,3385,0405670,19.26
586,4,5730,Owens-Whitney Elementary District,AZ,10,67,0405730,14.93
12634,4,5820,Page Unified District,AZ,567,2575,0405820,22.02
3239,4,5850,Palo Verde Elementary District,AZ,56,458,0405850,12.23
182,4,8430,Paloma School District,AZ,3,57,0408430,5.26
10169,4,5880,Palominas Elementary District,AZ,231,1381,0405880,16.73
282625,4,5930,Paradise Valley Unified District,AZ,3424,40221,0405930,8.51
9638,4,5980,Parker Unified School District,AZ,270,1416,0405980,19.07
1462,4,6000,Patagonia Elementary District,AZ,14,96,0406000,14.58
3351,4,6030,Patagonia Union High School District,AZ,8,109,0406030,7.34
23077,4,6070,Payson Unified District,AZ,441,2638,0406070,16.72
1415,4,6120,Peach Springs Unified District,AZ,39,332,0406120,11.75
1927,4,6150,Pearce Elementary District,AZ,19,115,0406150,16.52
81216,4,6210,Pendergast Elementary District,AZ,1874,11117,0406210,16.86
265801,4,6250,Peoria Unified School District,AZ,4169,43230,0406250,9.64
62027,4,6300,Phoenix Elementary District,AZ,1391,5480,0406300,25.38
763992,4,6330,Phoenix Union High School District,AZ,6973,39833,0406330,17.51
8168,4,6360,Picacho Elementary District,AZ,15,118,0406360,12.71
4408,4,6440,Pima Unified District,AZ,118,1018,0406440,11.59
2952,4,6510,Pine Strawberry Elementary District,AZ,76,207,0406510,36.71
