state,pid6,unit_type,fipst,name,conum,csa,cbsa,schlev,leaid,yrdata,v33,totalrev,tfedrev,c14,c15,c19,c22,c23,c26,c27,b11,c20,c25,c36,b10,b12,b14,b13,tstrev,c01,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c24,c35,c38,c39,tlocrev,t02,t06,t09,t15,t40,t99,d11,d23,a07,a08,a09,a11,a13,a15,a20,a40,u11,u22,u30,u50,u97,totalexp,tcurelsc,tcurinst,e13,j13,j12,j14,v91,v92,tcurssvc,e17,e07,e08,e09,v40,v45,v90,v85,j17,j07,j08,j09,j40,j45,j90,j11,j96,tcuroth,e11,v60,v65,j10,j97,nonelsec,v70,v75,v80,j98,tcapout,f12,g15,k09,k10,k11,j99,l12,m12,q11,i86,z32,z33,v11,v13,v15,v17,v21,v23,v37,v29,z34,v10,v12,v14,v16,v18,v22,v24,v38,v30,v32,19h,21f,31f,41f,61v,66v,w01,w31,w61,ar1,ar1a,ar1b,ar2,ar2a,ar3,ar6,ar6a,ae1,ae1a,ae1b,ae1c,ae1d,ae1e,ae1f,ae1g,ae2,ae2a,ae2b,ae2c,ae2d,ae2e,ae2f,ae2g,ae3,ae4,ae4a,ae4b,ae4c,ae4d,ae4e,ae4f,ae4g,ae5,ae6,ae7,ae8
1,100191,5,1,BALDWIN COUNTY SCHOOL DISTRICT,1003,380,19300,3,0100270,24,31818,626970,58642,7107,7690,515,1045,0,0,0,308,28594,13062,0,0,0,0,321,287000,188416,835,0,3537,659,0,0,0,9019,17479,67055,0,0,0,0,281328,0,91577,0,0,0,293,0,149729,0,0,3602,0,7261,0,2174,2532,2782,11658,21,3632,6067,617631,459596,263942,263942,0,0,0,201,0,173844,29979,18332,6806,27091,57491,21607,12538,0,0,0,0,0,0,0,0,0,0,21810,21810,0,0,0,0,5175,3448,0,1727,0,145357,128504,2136,1847,12870,0,0,0,0,396,7107,250747,163721,17070,10460,1774,19923,11457,11814,5697,6587,86083,54961,5577,3165,458,6677,4955,4573,1849,3500,0,175295,40000,22661,192634,0,0,7286,273881,140068,0,11,27114,0,0,0,0,0,22324,0,11,22314,0,0,0,0,18409,0,0,18409,0,0,0,0,3854,4133,0,0,4133,0,0,0,0,7053,0,0,0
1,100192,5,1,ONEONTA CITY SCHOOL DISTRICT,1009,142,13820,3,0102550,24,1378,21063,2228,236,333,1,23,0,0,0,12,798,825,0,0,0,0,0,13180,9563,192,0,166,52,0,0,0,536,519,2152,0,0,0,0,5655,0,1642,0,0,0,1,12,1714,0,0,122,0,884,0,129,0,36,535,0,80,500,19788,17296,10105,10105,0,0,0,0,0,5954,1132,777,607,1010,1672,474,282,0,0,0,0,0,0,0,0,0,0,1237,1237,0,0,0,0,573,101,0,472,0,1451,1271,0,22,158,0,0,0,0,239,229,9486,6429,659,337,295,733,284,274,74,324,3324,2219,185,118,93,248,119,123,23,184,0,315,0,315,0,0,0,3068,1701,6669,0,4,615,0,0,0,0,0,514,0,4,510,0,0,0,0,303,0,0,303,0,0,0,0,211,10,0,0,10,0,0,0,0,54,0,78,0
1,100193,5,1,PIEDMONT CITY SCHOOL DISTRICT,1015,N,11500,3,0102760,24,1079,18215,2125,370,300,24,72,0,0,0,0,530,818,0,11,0,0,0,12070,7785,133,0,151,1,0,0,0,596,0,3404,0,0,0,0,4020,0,1164,0,0,0,2,0,1348,0,0,31,0,317,0,43,13,67,287,0,179,569,15312,13265,7819,7819,0,0,0,0,0,4583,942,459,831,831,1073,26,421,0,0,0,0,0,0,0,0,0,0,863,863,0,0,0,0,144,67,0,77,0,1868,1827,0,30,11,0,0,0,0,7,28,7960,5353,441,285,498,559,212,7,329,240,2692,1772,160,96,140,185,108,1,92,130,0,1501,0,0,1501,0,0,3070,8124,2485,0,4,362,0,0,0,0,0,366,0,4,362,0,0,0,0,348,0,0,348,0,0,0,0,18,0,0,0,0,0,0,0,0,48,0,0,0
1,100194,5,1,CHOCTAW COUNTY SCHOOL DISTRICT,1023,N,N,3,0100690,24,1034,25029,7730,891,374,39,116,0,0,0,0,5350,960,0,0,0,0,0,8881,4394,228,0,218,0,0,0,0,180,1564,2297,0,0,0,0,8418,0,5491,0,0,0,22,0,1982,0,0,78,0,397,0,81,3,11,9,0,54,290,21607,18665,7822,7822,0,0,0,0,0,9618,1638,1581,1509,714,2411,1254,511,0,0,0,0,0,0,0,0,0,0,1225,1225,0,0,0,0,1498,1319,0,179,0,1257,152,0,0,1105,0,0,0,0,50,137,9217,4807,929,658,600,487,244,601,246,385,3336,1628,363,220,166,171,134,325,75,204,0,5092,0,1467,3625,0,0,407,5201,3947,0,0,4927,0,0,0,0,0,2726,0,0,2726,0,0,0,0,1340,0,0,1340,0,0,0,0,1353,909,0,0,909,0,0,0,0,354,0,40,0
1,100195,5,1,COOSA COUNTY SCHOOL DISTRICT,1037,142,45180,3,0100900,24,781,15913,3025,468,347,25,23,0,0,0,0,1448,714,0,0,0,0,0,8711,4439,526,133,152,4,0,0,0,319,1261,1877,0,0,0,0,4177,0,2516,0,0,0,7,0,831,0,0,59,0,282,0,22,0,28,74,1,68,289,13520,12933,6375,6375,0,0,0,0,0,5724,878,642,664,848,1111,1153,428,0,0,0,0,0,0,0,0,0,0,834,834,0,0,0,0,151,43,6,102,0,356,168,0,39,149,0,0,0,0,29,51,6746,3725,563,305,337,604,162,561,227,262,2527,1333,191,89,92,207,72,344,74,125,0,1249,0,365,884,0,0,0,574,4733,0,0,980,0,0,0,0,0,980,0,0,980,0,0,0,0,708,0,0,708,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0
1,100196,5,1,SELMA CITY SCHOOL DISTRICT,1047,388,42820,3,0102970,24,2623,54896,20495,3159,943,95,333,0,0,0,0,14077,1829,0,0,0,0,59,26990,18043,246,0,880,2,0,0,0,882,451,6486,0,0,0,0,7411,0,3910,0,0,0,5,0,1896,0,0,162,0,300,0,36,9,57,669,0,117,250,51141,39062,20403,20403,0,0,0,23,0,15996,2510,4412,1553,2010,4119,482,910,0,0,0,0,0,0,0,0,0,0,2663,2663,0,0,0,0,1089,1022,0,67,0,10582,10265,0,127,190,0,0,0,0,34,374,21702,11298,1582,3291,786,1399,966,231,491,840,7415,4180,553,586,251,501,455,80,172,482,0,28431,0,368,28063,0,0,17870,199,10648,0,10,13473,0,0,0,0,0,3876,0,10,3867,0,0,0,0,1189,0,0,1189,0,0,0,0,2687,8836,0,0,8836,0,0,0,0,1056,0,29,0
1,100197,5,1,DOTHAN CITY SCHOOL DISTRICT,1069,222,20020,3,0101230,24,8035,130232,29470,6189,2410,246,637,0,0,0,19,10163,6613,0,0,0,0,3193,70229,47097,559,0,1503,68,0,0,0,3114,3830,14058,0,0,0,0,30533,0,11775,0,0,0,340,0,13126,0,0,252,0,645,0,250,655,354,271,2,43,2820,124762,115256,59582,59582,0,0,0,797,0,47436,7746,6652,3893,6938,14149,5379,2679,0,0,0,0,0,0,0,0,0,0,8238,8238,0,0,0,0,1145,908,0,237,0,6911,6362,0,22,527,0,0,0,0,169,1281,60841,37936,5249,3017,1048,4900,2318,2192,1465,2145,22700,13948,1683,944,379,1638,1047,1308,458,1182,0,37351,4056,2561,38847,0,0,3216,4277,28955,0,16,9366,0,0,0,0,0,8420,0,23,8397,0,0,0,0,4648,0,0,4648,0,0,0,0,3768,629,0,0,629,0,0,0,0,953,0,611,0
1,100198,5,1,FAIRFIELD CITY SCHOOL DISTRICT,1073,142,13820,3,0101440,24,1321,28806,7109,1009,482,43,97,0,0,0,0,2806,975,0,31,0,0,1666,14790,9444,132,0,273,7,0,0,0,449,426,4059,0,0,0,0,6907,0,4014,0,0,0,3,0,1623,0,0,73,0,188,0,2,9,66,0,0,207,722,26782,24622,11218,11218,0,0,0,19,0,11840,2218,2647,1230,1388,3206,544,607,0,0,0,0,0,0,0,0,0,0,1564,1564,0,0,0,0,201,158,0,43,0,1920,1868,0,0,52,0,0,0,0,4,35,12486,6769,1093,1742,623,889,204,269,287,528,4916,2829,352,624,217,299,94,122,88,264,0,833,0,52,780,0,0,45,1810,5062,0,0,2582,0,0,0,0,0,1492,0,0,1492,0,0,0,0,46,0,0,46,0,0,0,0,1434,384,0,0,384,0,0,0,0,46,0,36,0
1,100199,5,1,ATHENS CITY SCHOOL DISTRICT,1083,290,26620,3,0100120,24,5034,96519,8347,696,1144,58,131,0,0,0,53,3954,2145,0,0,0,0,166,45240,30562,272,0,673,245,0,0,0,1439,1299,10750,0,0,0,0,42932,0,5713,0,0,0,4,0,29590,264,0,589,0,1397,0,170,15,521,2588,1,133,1947,84197,59008,34682,34682,0,0,0,61,0,21251,3370,2364,1249,3659,8239,1546,824,0,0,0,0,0,0,0,0,0,0,3075,3075,0,0,0,0,515,179,9,327,0,21658,20871,398,93,296,0,0,0,0,294,2722,33272,22580,2261,1517,604,2633,1515,770,411,835,11401,7700,717,457,176,851,522,376,125,442,0,3376,31,2957,450,0,0,0,24133,41168,0,14,3735,0,0,0,0,0,2647,0,14,2632,0,0,0,0,1595,0,0,1595,0,0,0,0,1023,462,0,0,462,0,0,0,0,385,0,0,0
1,100200,5,1,PICKENS COUNTY SCHOOL DISTRICT,1107,N,46220,3,0102730,24,2249,40221,9986,1135,790,90,165,0,0,0,3,6409,1394,0,0,0,0,0,22948,16374,205,0,407,14,0,0,0,847,2276,2825,0,0,0,0,7287,0,2305,0,0,0,12,0,2752,0,0,71,0,862,0,364,5,92,14,1,188,621,38161,33830,18687,18687,0,0,0,5,0,12954,2058,1370,1382,2193,3140,2261,550,0,0,0,0,0,0,0,0,0,0,2189,2189,0,0,0,0,1067,541,0,526,0,2887,2625,0,50,212,0,0,0,0,100,277,18847,11568,1148,700,778,1634,687,1109,175,836,6790,4076,375,231,197,516,253,629,64,408,0,8149,0,522,7628,0,0,1972,2155,6573,0,22,6214,0,0,0,0,0,3846,0,22,3824,0,0,0,0,2817,0,0,2817,0,0,0,0,977,1982,0,0,1982,0,0,0,0,902,0,379,0
