leaid,district_name,fips_state,state_code,fiscal_year,total_revenue_000s,federal_revenue_000s,state_revenue_000s,local_revenue_000s,total_expenditure_000s,current_exp_elem_secondary_000s,instruction_expenditure_000s,support_services_expenditure_000s,capital_outlay_000s,total_salaries_000s,instruction_salaries_000s,total_benefits_000s
0100270,BALDWIN COUNTY SCHOOL DISTRICT,1,1,24,626970,58642,287000,281328,617631,459596,263942,173844,145357,31818,263942,201
0102550,ONEONTA CITY SCHOOL DISTRICT,1,1,24,21063,2228,13180,5655,19788,17296,10105,5954,1451,1378,10105,0
0102760,PIEDMONT CITY SCHOOL DISTRICT,1,1,24,18215,2125,12070,4020,15312,13265,7819,4583,1868,1079,7819,0
0100690,CHOCTAW COUNTY SCHOOL DISTRICT,1,1,24,25029,7730,8881,8418,21607,18665,7822,9618,1257,1034,7822,0
0100900,COOSA COUNTY SCHOOL DISTRICT,1,1,24,15913,3025,8711,4177,13520,12933,6375,5724,356,781,6375,0
0102970,SELMA CITY SCHOOL DISTRICT,1,1,24,54896,20495,26990,7411,51141,39062,20403,15996,10582,2623,20403,23
0101230,DOTHAN CITY SCHOOL DISTRICT,1,1,24,130232,29470,70229,30533,124762,115256,59582,47436,6911,8035,59582,797
0101440,FAIRFIELD CITY SCHOOL DISTRICT,1,1,24,28806,7109,14790,6907,26782,24622,11218,11840,1920,1321,11218,19
0100120,ATHENS CITY SCHOOL DISTRICT,1,1,24,96519,8347,45240,42932,84197,59008,34682,21251,21658,5034,34682,61
0102730,PICKENS COUNTY SCHOOL DISTRICT,1,1,24,40221,9986,22948,7287,38161,33830,18687,12954,2887,2249,18687,5
0103062,ST CLAIR COUNTY SCHOOL DISTRICT,1,1,24,144848,15697,88088,41063,148015,108675,61252,40739,31493,9592,61252,0
0103030,SHELBY COUNTY SCHOOL DISTRICT,1,1,24,350862,24399,185701,140762,322763,281069,160860,104769,32852,20937,160860,48
0103120,SYLACAUGA CITY SCHOOL DISTRICT,1,1,24,31937,4660,19749,7528,30813,28388,16361,10119,2010,2045,16361,5
0103180,TALLADEGA COUNTY SCHOOL DISTRICT,1,1,24,116608,23071,61713,31824,110132,91747,44652,40186,14624,7157,44652,0
0103210,TALLAPOOSA COUNTY SCHOOL DISTRICT,1,1,24,50603,9666,23927,17010,47822,40782,23137,14739,4900,2788,23137,4
0101890,JASPER CITY SCHOOL DISTRICT,1,1,24,45386,5219,25643,14524,45261,36682,21006,13267,7256,2869,21006,0
0101720,HALEYVILLE CITY SCHOOL DISTRICT,1,1,24,25337,4450,15047,5840,23704,22993,13447,7721,192,1604,13447,0
0100750,CLAY COUNTY SCHOOL DISTRICT,1,1,24,30027,5950,19723,4354,26804,22916,12570,8407,3366,1776,12570,67
0101260,ELBA CITY SCHOOL DISTRICT,1,1,24,12121,2049,7533,2539,10264,9813,5405,3746,151,636,5405,0
0100840,COLBERT COUNTY SCHOOL DISTRICT,1,1,24,47410,8025,23705,15680,45014,41356,22423,15841,2347,2645,22423,0
0100060,ANDALUSIA CITY SCHOOL DISTRICT,1,1,24,31180,6222,16091,8867,27524,25017,13768,9464,1545,1884,13768,0
0102610,OPP CITY SCHOOL DISTRICT,1,1,24,23280,3389,14840,5051,21315,17968,10166,6287,2608,1330,10166,0
0101020,CULLMAN COUNTY SCHOOL DISTRICT,1,1,24,153650,19499,91983,42168,143654,123712,69853,45925,16536,9902,69853,0
0101080,DALEVILLE CITY SCHOOL DISTRICT,1,1,24,19518,4818,11511,3189,16907,14457,7678,5752,2041,1221,7678,0
0101140,DE KALB COUNTY SCHOOL DISTRICT,1,1,24,146930,32224,90777,23929,142233,115659,66628,39609,25198,8704,66628,0
0101560,FORT PAYNE CITY SCHOOL DISTRICT,1,1,24,52953,8831,32357,11765,48956,42472,26802,12232,5800,3550,26802,0
0100450,BREWTON CITY SCHOOL DISTRICT,1,1,24,21759,3126,11769,6864,17323,16419,9591,6122,271,1171,9591,0
0101470,FAYETTE COUNTY SCHOOL DISTRICT,1,1,24,35728,5405,22778,7545,33327,28910,15492,11081,3656,2238,15492,0
0101830,JACKSON COUNTY SCHOOL DISTRICT,1,1,24,89402,15872,48209,25321,83120,68806,36980,26517,11276,5181,36980,3
0100390,BIRMINGHAM CITY SCHOOL DISTRICT,1,1,24,470121,133218,175941,160962,441245,374734,181302,172428,43767,20884,181302,1029
0101760,HOMEWOOD CITY SCHOOL DISTRICT,1,1,24,88108,3723,33566,50819,76381,68802,41766,23274,6422,4464,41766,21
0103430,VESTAVIA HILLS CITY SCHOOL DISTRICT,1,1,24,135452,3583,59221,72648,122821,109206,65714,38723,9578,6937,65714,4
0102580,OPELIKA CITY SCHOOLS,1,1,24,92281,13187,41733,37361,77780,67230,40330,22886,8757,5204,40330,2
0100210,AUBURN CITY SCHOOL DISTRICT,1,1,24,178344,13224,79527,85593,152242,124334,67499,50830,18309,9466,67499,7
0102160,LOWNDES COUNTY SCHOOL DISTRICT,1,1,24,29667,9398,13566,6703,30383,25845,11867,12179,3410,1173,11867,0
0102220,MADISON COUNTY SCHOOL DISTRICT,1,1,24,321102,27098,183816,110188,256417,232632,134977,83520,15919,20639,134977,2
0100006,MARSHALL COUNTY SCHOOL DISTRICT,1,1,24,106769,22041,57674,27054,99811,82535,42408,33676,13237,6040,42408,0
0101690,GUNTERSVILLE CITY SCHOOL DISTRICT,1,1,24,34755,2772,16706,15277,57570,25413,13371,10097,29584,1781,13371,0
0101170,DECATUR CITY SCHOOL DISTRICT,1,1,24,164872,23459,80415,60998,161693,132759,76277,49580,21470,8665,76277,90
0102670,PERRY COUNTY SCHOOL DISTRICT,1,1,24,25004,9636,11988,3380,25231,17234,8048,7897,7317,879,8048,1
0103450,WALKER COUNTY SCHOOL DISTRICT,1,1,24,119947,20649,71967,27331,109809,99164,52505,40624,6156,7146,52505,6
0103580,WINSTON COUNTY SCHOOL DISTRICT,1,1,24,46502,8350,24891,13261,42016,35785,18250,15072,4314,2308,18250,0
0100240,AUTAUGA COUNTY SCHOOL DISTRICT,1,1,24,130496,18613,82975,28908,130946,106163,58100,40153,19336,8977,58100,0
0100300,BARBOUR COUNTY SCHOOL DISTRICT,1,1,24,16680,4553,8592,3535,15304,14069,6542,6576,564,679,6542,0
0100480,BULLOCK COUNTY SCHOOL DISTRICT,1,1,24,24166,6038,14343,3785,22605,20376,9658,9276,1809,1367,9658,13
0100090,ANNISTON CITY SCHOOL DISTRICT,1,1,24,39550,11376,17927,10247,39150,32818,14630,15956,5243,1909,14630,0
0100600,CHAMBERS COUNTY SCHOOL DISTRICT,1,1,24,51958,13464,26962,11532,49633,44458,22778,18043,4156,3123,22778,13
0100660,CHILTON COUNTY SCHOOL DISTRICT,1,1,24,116337,21322,72672,22343,99274,90966,51915,30467,4043,7930,51915,24
0100720,CLARKE COUNTY SCHOOL DISTRICT,1,1,24,38366,6971,22382,9013,34578,31260,14661,13941,1951,2158,14661,2
0103300,THOMASVILLE CITY SCHOOL DISTRICT,1,1,24,18479,2825,11031,4623,16507,15436,7621,6722,523,1029,7621,0
0100810,COFFEE COUNTY SCHOOL DISTRICT,1,1,24,44331,6398,28735,9198,39914,33601,19711,11643,5545,2904,19711,0
0101320,ENTERPRISE CITY SCHOOL DISTRICT,1,1,24,100920,13435,61904,25581,90317,81145,43776,31631,7984,6585,43776,4
0103000,SHEFFIELD CITY SCHOOL DISTRICT,1,1,24,20329,4530,10042,5757,18525,15971,8562,6248,2079,993,8562,0
0100870,CONECUH COUNTY SCHOOL DISTRICT,1,1,24,34771,11017,17652,6102,35251,26280,13662,11177,8441,1411,13662,3
0100930,COVINGTON COUNTY SCHOOL DISTRICT,1,1,24,48227,7612,28993,11622,43792,38990,22735,14010,3508,3085,22735,0
0100960,CRENSHAW COUNTY SCHOOL DISTRICT,1,1,24,39330,8829,23639,6862,35635,30711,18158,9908,3186,2088,18158,14
0101050,DALE COUNTY SCHOOL DISTRICT,1,1,24,56424,9170,35830,11424,49681,41639,24606,14135,6479,3313,24606,0
0102640,OZARK CITY SCHOOL DISTRICT,1,1,24,37364,9141,20187,8036,35592,29368,15870,11380,5234,2029,15870,0
0101110,DALLAS COUNTY SCHOOL DISTRICT,1,1,24,53693,19422,27351,6920,51575,45270,19329,22864,3080,2331,19329,0
0103240,TALLASSEE CITY SCHOOL DISTRICT,1,1,24,23367,3071,14095,6201,23690,21360,12524,7342,1268,1510,12524,0
0100180,ATTALLA CITY SCHOOL DISTRICT,1,1,24,22165,3436,15219,3510,21180,19281,10476,7224,1276,1538,10476,0
0101590,FRANKLIN COUNTY SCHOOL DISTRICT,1,1,24,60416,10904,38062,11450,57676,49821,29002,15865,5780,3640,29002,0
0102910,RUSSELLVILLE CITY SCHOOLS,1,1,24,46412,8553,27487,10372,42463,35110,20672,11147,4523,2608,20672,0
0100330,BESSEMER CITY SCHOOL DISTRICT,1,1,24,65533,19629,29315,16589,62462,57148,26919,26650,2591,3121,26919,7
0101920,JEFFERSON COUNTY BOARD OF EDUCATION,1,1,24,591614,76968,337113,177533,520668,450449,241540,178378,57997,35671,241540,90
0102490,MOUNTAIN BROOK SCHOOLS,1,1,24,105568,1955,33214,70399,101709,80681,49677,27761,16795,4387,49677,0
0102070,LEE COUNTY SCHOOL DISTRICT,1,1,24,166119,27680,89580,48859,174053,128419,75149,47034,40027,9141,75149,0
0102190,MACON COUNTY SCHOOL DISTRICT,1,1,24,37956,6799,20575,10582,34618,32493,14807,15520,210,1769,14807,0
0101800,HUNTSVILLE CITY SCHOOL DISTRICT,1,1,24,472640,53639,182730,236271,404626,336390,177751,142262,52310,23649,177751,410
0102310,MARION COUNTY SCHOOL DISTRICT,1,1,24,53790,10419,33455,9916,51250,43478,24389,16005,5977,3358,24389,0
0103540,WINFIELD CITY SCHOOL DISTRICT,1,1,24,21841,3214,13161,5466,20775,16794,9525,6135,3108,1221,9525,0
