ceeb,org_name,sc_instnm,state,region,urbanicity,latitude,longitude,sc_control,sc_preddeg,iclevel,carnegie_basic,sc_ugds,sc_tuition_in,net_price,sc_pct_pell,sc_adm_rate,sc_sat_avg,sc_completion_150_4yr,cluster,cluster_fine,pca_1,pca_2
005001,Abraham Baldwin Agric College,Abraham Baldwin Agricultural College,GA,South,2.0,31.481889,-83.528281,1.0,3.0,1.0,23.0,3218.0,3195.0,6061.0,0.3412,0.7716,994.0,0.2912,0.0,3.0,-1.8647942788722527,-0.4104710900650748
006001,Abilene Christian University,Abilene Christian University,TX,South,4.0,32.468943,-99.709797,2.0,3.0,1.0,17.0,3129.0,42380.0,27401.0,0.2202,0.6388,1189.0,0.6021,1.0,4.0,1.8865410751798077,0.9362050823710186
003311,Academy Educ Ctr,Academy College,MN,Midwest,4.0,44.855722,-93.299809,3.0,3.0,1.0,28.0,112.0,18252.0,31307.0,0.3243,,,1.0,1.0,2.0,1.863488378901108,-1.1786314625864598
002002,Academy of the New Church,Bryn Athyn College of the New Church,PA,Northeast,3.0,40.134393,-75.060808,2.0,3.0,1.0,21.0,273.0,27804.0,19600.0,0.4632,0.742,1174.0,0.4632,1.0,2.0,1.2147943275735318,-1.6933739580051501
004001,Adams State University,Adams State University,CO,West,2.0,37.473636,-105.879642,1.0,3.0,1.0,18.0,1239.0,9776.0,14173.0,0.3499,,,0.3165,0.0,3.0,-1.0787515024974017,-0.679786387461412
001001,Adrian College,Adrian College,MI,Midwest,2.0,41.898591,-84.061481,2.0,3.0,1.0,22.0,1635.0,40556.0,21504.0,0.3114,0.6837,1030.0,0.5595,1.0,5.0,1.3660493389098132,-0.6228103445892565
002003,Adelphi University,Adelphi University,NY,Northeast,3.0,40.721439,-73.653321,2.0,3.0,1.0,17.0,5077.0,47290.0,28348.0,0.2944,0.7751,1224.0,0.6893,1.0,4.0,1.9419141339774593,0.5859300098949122
005002,Agnes Scott College,Agnes Scott College,GA,South,3.0,33.769268,-84.295459,2.0,3.0,1.0,21.0,898.0,48150.0,24224.0,0.3613,0.6731,1296.0,0.7052,1.0,2.0,1.8569535009688583,-0.5907233512238289
001003,Alabama A&M University,Alabama A & M University,AL,South,4.0,34.783368,-86.568502,1.0,3.0,1.0,18.0,5726.0,10024.0,14559.0,0.6441,0.6622,947.0,0.2874,0.0,0.0,-1.2904586445762238,-0.21663089818031747
005790,Alamance Community College,Alamance Community College,NC,South,3.0,36.066683,-79.357657,1.0,2.0,2.0,6.0,2393.0,2528.0,14047.0,0.3074,,,,0.0,0.0,-1.2677233856806513,0.07579181812509606
001237,Alaska Bible College,Alaska Bible College,AK,West,3.0,61.598553,-149.111972,2.0,3.0,1.0,24.0,34.0,10930.0,14093.0,0.4872,,,1.0,1.0,1.0,0.6216072093567772,-2.933571027873912
004201,Alaska Pacific University,Alaska Pacific University,AK,West,4.0,61.190968,-149.804168,2.0,3.0,1.0,22.0,400.0,20760.0,18976.0,0.3442,0.8621,,0.4688,1.0,2.0,1.0265358108927072,-0.6894348555498259
001006,Alabama State University,Alabama State University,AL,South,4.0,32.364317,-86.295677,1.0,3.0,1.0,17.0,3322.0,11248.0,13889.0,0.7203,0.9564,977.0,0.3018,0.0,1.0,-1.2633178265823437,-0.7548882525844622
002013,Albany College of Pharmacy,Albany College of Pharmacy and Health Sciences,NY,Northeast,4.0,42.650371,-73.779063,2.0,3.0,1.0,26.0,509.0,40375.0,26027.0,0.2928,0.5908,1280.0,0.6882,1.0,2.0,2.0878855285780453,-0.21080980712754588
005004,Albany State University,Albany State University,GA,South,4.0,31.56928,-84.141825,1.0,3.0,1.0,19.0,5829.0,5934.0,14251.0,0.6498,,,0.2279,0.0,0.0,-1.4367345112804142,-0.25817360156791874
002005,Alfred University,Alfred University,NY,Northeast,1.0,42.254476,-77.788106,2.0,3.0,1.0,18.0,1401.0,39530.0,22701.0,0.3898,0.4833,1205.0,0.555,1.0,5.0,1.296960412509665,-1.3274078273353291
005028,Allegany College Of Maryland,Allegany College of Maryland,MD,South,2.0,39.652152,-78.730398,1.0,2.0,2.0,7.0,1743.0,4730.0,10107.0,0.3029,,,,0.0,3.0,-1.478119029466186,-0.5125776128606986
003610,Allen C,Allen College,IA,Midwest,4.0,42.530084,-92.340148,2.0,3.0,1.0,26.0,279.0,20444.0,,0.2662,,,,,,,
006305,Allen County Community College,Allen County Community College,KS,Midwest,2.0,37.938038,-95.396377,1.0,2.0,2.0,3.0,761.0,3920.0,5899.0,0.172,,,,0.0,3.0,-1.4422417373057381,-0.5331947662212156
001011,Alpena Community College,Alpena Community College,MI,Midwest,2.0,45.081647,-83.445069,1.0,2.0,1.0,14.0,715.0,5130.0,4067.0,0.2077,,,0.502,0.0,3.0,-1.5214350111121875,-0.7071171775806822
001010,Alma College,Alma College,MI,Midwest,2.0,43.38004,-84.672053,2.0,3.0,1.0,22.0,1208.0,47430.0,24663.0,0.2092,0.6566,,0.6373,1.0,5.0,1.8662726627788124,-0.3250412194806875
005006,Allen University,Allen University,SC,South,4.0,34.010348,-81.020045,2.0,3.0,1.0,21.0,635.0,14304.0,11081.0,0.7977,0.3212,,0.1323,1.0,1.0,-0.02196812767030024,-2.286453288026796
002006,Allegheny College,Allegheny College,PA,Northeast,2.0,41.64869,-80.147168,2.0,3.0,1.0,21.0,1209.0,54960.0,21900.0,0.2515,0.5853,1292.0,0.6653,1.0,5.0,1.9648251356012527,-0.41842654804901763
004002,Allan Hancock College,Allan Hancock College,CA,West,4.0,34.943716,-120.421144,1.0,2.0,2.0,2.0,7911.0,1156.0,4638.0,0.2327,,,,0.0,0.0,-1.8069377866705063,1.2763462586467826
001098,Alice Lloyd College,Alice Lloyd College,KY,South,1.0,37.335087,-82.875068,2.0,3.0,1.0,22.0,528.0,14080.0,17839.0,0.5565,0.8557,980.0,0.2636,1.0,5.0,0.1891969628860732,-2.659594074609132
000771,Alexandria Technical College,Alexandria Technical & Community College,MN,Midwest,2.0,45.873107,-95.372369,1.0,2.0,2.0,9.0,1438.0,6213.0,14150.0,0.1557,,,,0.0,3.0,-1.0193237967505675,-0.033879558529520154
001008,Alcorn State University,Alcorn State University,MS,South,1.0,31.877216,-91.142854,1.0,3.0,1.0,20.0,2290.0,8549.0,14040.0,0.7742,0.2466,1039.0,0.4615,0.0,1.0,-1.6761925079434372,-2.366163228118253
002004,Albright College,Albright College,PA,Northeast,4.0,40.361351,-75.909742,2.0,3.0,1.0,21.0,1296.0,28794.0,21664.0,0.5039,0.8615,,0.4215,1.0,2.0,1.200609480046872,-0.6271328136975706
001007,Albion College,Albion College,MI,Midwest,2.0,42.245049,-84.745639,2.0,3.0,1.0,21.0,1347.0,55746.0,16882.0,0.4526,0.8316,,0.5709,1.0,5.0,1.4968213665139132,-1.1823713638475075
003001,Albertus Magnus College,Albertus Magnus College,CT,Northeast,4.0,41.332519,-72.923848,2.0,3.0,1.0,19.0,882.0,39924.0,32681.0,0.4711,0.6437,,0.4609,1.0,2.0,2.2075272010395435,-0.4788177293952405
002431,Alvernia College,Alvernia University,PA,Northeast,4.0,40.310028,-75.936754,2.0,3.0,1.0,17.0,2042.0,42810.0,28329.0,0.337,0.6232,1160.0,0.5849,1.0,2.0,2.0341996954089177,0.36557501394064734
001012,Alverno College,Alverno College,WI,Midwest,4.0,42.982842,-87.965174,2.0,3.0,1.0,18.0,724.0,32794.0,16722.0,0.4911,0.931,,0.5051,1.0,2.0,1.1042884398426573,-0.9569163084380556
006005,Alvin Community College,Alvin Community College,TX,South,3.0,29.396244,-95.240671,1.0,2.0,2.0,9.0,3451.0,1834.0,4233.0,0.2312,,,,0.0,0.0,-1.8109101385824686,0.38503225426378057
006006,Amarillo College,Amarillo College,TX,South,4.0,35.187839,-101.846988,1.0,2.0,2.0,4.0,7347.0,2136.0,6040.0,0.4395,,,,0.0,0.0,-1.8637221656660596,0.4590294105277339
006140,Amber University,Amberton University,TX,South,3.0,32.859931,-96.65302,2.0,3.0,1.0,18.0,110.0,,,0.2276,,,,,,,
007024,American Acad Dramatic Arts West,American Academy of Dramatic Arts-Los Angeles,CA,West,4.0,34.095378,-118.343701,2.0,2.0,2.0,-2.0,169.0,39475.0,40991.0,0.2785,0.8968,,,1.0,2.0,2.9469555641275957,-0.4592891547030969
000774,American Academy McAllister Inst,American Academy McAllister Institute of Funeral Service,NY,Northeast,4.0,40.757105,-73.986466,2.0,2.0,2.0,12.0,282.0,20018.0,21682.0,0.3665,,,,1.0,2.0,1.2803094375421427,-0.9502653872466104
001013,American Academy Of Art,American Academy of Art College,IL,Midwest,4.0,41.87742,-87.624788,3.0,3.0,1.0,30.0,90.0,39510.0,34298.0,0.6306,,,0.45,1.0,2.0,2.45966387809034,-2.1871864831474594
002603,American Academy Of Dramatics,American Academy of Dramatic Arts-New York,NY,Northeast,4.0,40.745545,-73.984843,2.0,2.0,2.0,12.0,225.0,39475.0,54625.0,0.2249,0.8135,,,1.0,4.0,3.766113774124163,0.014755036038436461
003002,American International College,American International College,MA,Northeast,4.0,42.112346,-72.558338,2.0,3.0,1.0,17.0,1097.0,42970.0,25299.0,0.5004,0.969,,0.4228,1.0,2.0,1.8484868207226557,-0.556710664023001
001031,American Islamic College,American Islamic College,IL,Midwest,4.0,41.954969,-87.646898,2.0,3.0,1.0,-2.0,6.0,7650.0,,0.0,1.0,,,,,,
006000,American Public University,American Public University System,WV,South,2.0,39.287826,-77.860121,3.0,3.0,1.0,18.0,38976.0,8400.0,9104.0,0.2467,,,0.5323,0.0,0.0,-0.7595362459237688,0.8037650644300961
000020,American Samoa Cmty College,American Samoa Community College,AS,Other/Territory,1.0,-14.322636,-170.742774,1.0,2.0,1.0,14.0,884.0,5460.0,4812.0,0.6717,,,0.4774,0.0,3.0,-1.9967155841166224,-2.614561598263941
003003,Amherst College,Amherst College,MA,Northeast,4.0,42.372459,-72.518493,2.0,3.0,1.0,21.0,1907.0,67280.0,18246.0,0.216,0.0982,1494.0,0.9342,1.0,4.0,2.333397399418344,0.7746485991715986
001030,Andrews U,Andrews University,MI,Midwest,2.0,41.963859,-86.355815,2.0,3.0,1.0,17.0,1262.0,33710.0,18597.0,0.22,0.874,1177.0,0.6593,1.0,5.0,1.115802996360696,-0.512366266241447
006644,Angelo State University,Angelo State University,TX,South,4.0,31.440914,-100.465051,1.0,3.0,1.0,18.0,5515.0,8319.0,12893.0,0.2707,0.7923,1049.0,0.4073,0.0,0.0,-1.1384039357071603,1.0454556093939003
003005,Anna Maria College,Anna Maria College,MA,Northeast,1.0,42.330542,-71.91896,2.0,3.0,1.0,19.0,948.0,43064.0,29396.0,0.3424,0.8956,,0.4044,1.0,5.0,1.857380898928877,-1.2384145973180538
006024,Anoka-Ramsey Community College,Anoka-Ramsey Community College,MN,Midwest,3.0,45.172978,-93.351697,1.0,2.0,2.0,3.0,3983.0,5682.0,11471.0,0.1962,,,,0.0,0.0,-1.248803131328618,0.693410647721196
004005,Antelope Valley College,Antelope Valley Community College District,CA,West,3.0,34.676207,-118.186166,1.0,2.0,1.0,14.0,10905.0,1124.0,8263.0,0.4203,,,0.3061,0.0,0.0,-1.926932040635238,0.41640826918240187
001862,Antioch S Calif Los Angeles,Antioch University-Los Angeles,CA,West,3.0,33.988533,-118.384458,2.0,3.0,1.0,18.0,61.0,,,0.3514,,,,,,,
003071,Antioch S Calif Santa Barbara,Santa Barbara City College,CA,West,4.0,34.406788,-119.698045,1.0,2.0,2.0,1.0,10070.0,1234.0,10029.0,0.1552,,,,0.0,0.0,-1.4948945770097728,1.7429550680776116
004527,Antioch School for Adult and Experiential Learning,Antioch College,OH,Midwest,1.0,39.799806,-83.888077,2.0,3.0,1.0,21.0,127.0,37143.0,6602.0,0.748,0.8167,,0.2632,1.0,1.0,0.41065968064855124,-4.051560403994063
000971,Antonelli Inst Art Photograhy,PITC Institute,PA,Northeast,3.0,40.097592,-75.145122,3.0,2.0,2.0,-2.0,113.0,,19304.0,0.3509,,,,,,,
001017,Antioch College,Antioch College,OH,Midwest,1.0,39.799806,-83.888077,2.0,3.0,1.0,21.0,127.0,37143.0,6602.0,0.748,0.8167,,0.2632,1.0,1.0,0.41065968064855124,-4.051560403994063
005019,Anne Arundel Community College,Anne Arundel Community College,MD,South,3.0,39.049813,-76.512223,1.0,2.0,2.0,5.0,8570.0,4178.0,15929.0,0.1977,,,,0.0,0.0,-1.2319126093318282,1.1277048098773332
005009,Andrew College,Andrew College,GA,South,1.0,31.772321,-84.795021,2.0,2.0,1.0,14.0,293.0,19126.0,21934.0,0.6235,0.5115,,0.2696,1.0,5.0,0.5991124107709217,-3.096773055105621
