cps_school_id,cps_school_name,ncessch,nces_match_score_set,nces_match_score_sort,nces_match_tier,rcdts,isbe_match_score_set,isbe_match_score_sort,isbe_match_tier
400009,GLOBAL CITIZENSHIP,1706035,100,75,review,15-016-2990-25-229C,100,75,review
400011,LOCKE A,1703564,100,40,reject,15-016-2990-25-206C,100,40,reject
400021,CATALYST - CIRCLE ROCK,1705935,100,78.43137254901961,review,15-016-2990-25-228C,100,78.43137254901961,review
400023,CICS - AVALON/SOUTH SHORE,1706507,100,100,auto_accept,15-016-2990-25-252C,100,100,auto_accept
400024,CICS - BASIL,1706488,100,74.07407407407408,review,15-016-2990-25-277C,100,74.07407407407408,review
400025,CICS - BUCKTOWN,1706446,100,78.78787878787878,review,15-016-2990-25-246C,100,78.78787878787878,review
400026,CICS - LOOMIS,1706487,100,59.45945945945945,reject,15-016-2990-25-255C,100,59.45945945945945,reject
400027,CICS - IRVING PARK,1706462,100,82.05128205128204,review,15-016-2990-25-254C,100,82.05128205128204,review
400028,CICS - PRAIRIE,1706498,100,77.41935483870968,review,15-016-2990-25-248C,100,77.41935483870968,review
400029,CICS - WASHINGTON PARK,1706512,85.71428571428571,80,review,15-016-2990-25-249C,85.71428571428571,80,review
400030,CICS - WEST BELDEN,1706475,100,82.05128205128204,review,15-016-2990-25-251C,100,82.05128205128204,review
400031,CICS - WRIGHTWOOD,1706465,100,100,auto_accept,15-016-2990-25-278C,100,100,auto_accept
400039,ERIE,1705797,100,28.57142857142857,reject,15-016-2990-25-219C,100,28.57142857142857,reject
400044,KIPP - ASCEND,1706509,100,52.38095238095239,reject,15-016-2990-25-282C,100,46.808510638297875,reject
400046,LEARN - BUTLER,1706471,100,82.75862068965517,review,15-016-2990-25-283C,100,82.75862068965517,review
400047,LEARN - CAMPBELL,1706502,100,70,review,15-016-2990-25-273C,100,70,review
400048,LEARN - EXCEL,1706457,100,59.45945945945945,reject,15-016-2990-25-272C,100,59.45945945945945,reject
400049,LEGACY,1705799,100,37.5,reject,15-016-2990-25-221C,100,37.5,reject
400050,NAMASTE,1705102,100,41.17647058823529,reject,15-016-2990-25-218C,100,41.17647058823529,reject
400060,PASSAGES,1700590,41.666666666666664,41.666666666666664,reject,15-016-2990-25-2069,41.666666666666664,41.666666666666664,reject
400069,POLARIS,1705919,100,40,reject,15-016-2990-25-226C,100,40,reject
