school_id,school_name,grade_category,network,governance,school_type,community_area,indicator_sum,average_score
400009,GLOBAL CITIZENSHIP,ES,Charter,Charter,Traditional,GARFIELD RIDGE,33,3
400011,LOCKE A,ES,Charter,Charter,Traditional,EAST GARFIELD PARK,38,3.45
400021,CATALYST - CIRCLE ROCK,ES,Charter,Charter,Traditional,AUSTIN,35,3.18
400023,CICS - AVALON/SOUTH SHORE,ES,Charter,Charter,Traditional,AVALON PARK,33,3
400024,CICS - BASIL,ES,Charter,Charter,Traditional,NEW CITY,36,3.27
400025,CICS - BUCKTOWN,ES,Charter,Charter,Traditional,LOGAN SQUARE,31,2.82
400026,CICS - LOOMIS,ES,Charter,Charter,Traditional,WASHINGTON HEIGHTS,31,2.82
400027,CICS - IRVING PARK,ES,Charter,Charter,Traditional,IRVING PARK,30,2.73
400028,CICS - PRAIRIE,ES,Charter,Charter,Traditional,WEST PULLMAN,37,3.36
400029,CICS - WASHINGTON PARK,ES,Charter,Charter,Traditional,WASHINGTON PARK,35,3.18
400030,CICS - WEST BELDEN,ES,Charter,Charter,Traditional,BELMONT CRAGIN,37,3.36
400031,CICS - WRIGHTWOOD,ES,Charter,Charter,Traditional,ASHBURN,30,2.73
400039,ERIE,ES,Charter,Charter,Traditional,WEST TOWN,29,2.64
400044,KIPP - ASCEND,ES,Charter,Charter,Traditional,NORTH LAWNDALE,40,3.64
400046,LEARN - BUTLER,ES,Charter,Charter,Traditional,NORTH LAWNDALE,37,3.36
400047,LEARN - CAMPBELL,ES,Charter,Charter,Traditional,EAST GARFIELD PARK,37,3.36
400048,LEARN - EXCEL,ES,Charter,Charter,Traditional,EAST GARFIELD PARK,35,3.18
400049,LEGACY,ES,Charter,Charter,Traditional,NORTH LAWNDALE,36,3.27
400050,NAMASTE,ES,Charter,Charter,Traditional,MCKINLEY PARK,37,3.36
400060,PASSAGES,ES,Charter,Charter,Traditional,EDGEWATER,34,3.09
400069,POLARIS,ES,Charter,Charter,Traditional,HUMBOLDT PARK,37,3.36
400071,PROVIDENCE ENGLEWOOD,ES,Charter,Charter,Traditional,WEST ENGLEWOOD,39,3.55
400075,U OF C - DONOGHUE,ES,Charter,Charter,Traditional,OAKLAND,32,2.91
400076,U OF C - NKO,ES,Charter,Charter,Traditional,KENWOOD,33,3
400079,ACERO - ZIZUMBO,ES,Charter,Charter,Traditional,ARCHER HEIGHTS,31,2.82
400080,ACERO - TORRES,ES,Charter,Charter,Traditional,ARCHER HEIGHTS,33,3
400081,ACERO - DE LAS CASAS,ES,Charter,Charter,Traditional,LOWER WEST SIDE,41,3.73
400082,ACERO - FUENTES,ES,Charter,Charter,Traditional,AVONDALE,35,3.18
400084,ACERO - TAMAYO,ES,Charter,Charter,Traditional,GAGE PARK,40,3.64
400089,ACERO - MARQUEZ,ES,Charter,Charter,Traditional,BRIGHTON PARK,38,3.45
400092,CICS - BOND,ES,Charter,Charter,Traditional,RIVERDALE,36,3.27
400096,ROWE,ES,Charter,Charter,Traditional,WEST TOWN,31,2.82
400101,ACERO - CISNEROS,ES,Charter,Charter,Traditional,BRIGHTON PARK,39,3.55
400107,LEARN - SOUTH CHICAGO,ES,Charter,Charter,Traditional,SOUTH CHICAGO,38,3.45
400111,LEARN - PERKINS,ES,Charter,Charter,Traditional,AUBURN GRESHAM,31,2.82
400112,ACERO - IDAR,ES,Charter,Charter,Traditional,GAGE PARK,37,3.36
400114,ACERO - SANTIAGO,ES,Charter,Charter,Traditional,WEST TOWN,38,3.45
400115,CATALYST - MARIA,ES,Charter,Charter,Traditional,CHICAGO LAWN,35,3.18
400116,MONTESSORI ENGLEWOOD,ES,Charter,Charter,Traditional,WEST ENGLEWOOD,39,3.55
400120,ACERO - CLEMENTE,ES,Charter,Charter,Traditional,BELMONT CRAGIN,34,3.09
400146,KIPP - ACADEMY,ES,Charter,Charter,Traditional,AUSTIN,40,3.64
400151,LEARN - 7,ES,Charter,Charter,Traditional,EAST GARFIELD PARK,40,3.64
400153,ACERO - BRIGHTON PARK,ES,Charter,Charter,Traditional,BRIGHTON PARK,35,3.18
400159,CHRISTOPHER HOUSE,ES,Charter,Charter,Traditional,BELMONT CRAGIN,35,3.18
400163,KIPP - BLOOM,ES,Charter,Charter,Traditional,ENGLEWOOD,35,3.18
400165,LEARN - MIDDLE,ES,Charter,Charter,Traditional,EAST GARFIELD PARK,34,3.09
400167,HORIZON - SOUTHWEST,ES,Charter,Charter,Traditional,GAGE PARK,34,3.09
400168,GREAT LAKES,ES,Charter,Charter,Traditional,SOUTH CHICAGO,35,3.18
400178,MOVING EVEREST,ES,Charter,Charter,Traditional,AUSTIN,36,3.27
400180,KIPP - ONE,ES,Charter,Charter,Traditional,HUMBOLDT PARK,39,3.55
609772,ADDAMS,ES,Network 13,District,Traditional,EAST SIDE,31,2.82
609773,TUBMAN,ES,Network 4,District,Traditional,LAKE VIEW,22,2
609774,ALCOTT ES,ES,Network 4,District,Traditional,LINCOLN PARK,19,1.73
609777,ARMOUR,ES,Network 6,District,Traditional,BRIDGEPORT,32,2.91
609779,ARMSTRONG G,ES,ISP,District,Traditional,WEST RIDGE,29,2.64
609782,AUDUBON,ES,Network 4,District,Traditional,NORTH CENTER,15,1.36
609786,AVALON PARK,ES,Network 12,District,Traditional,AVALON PARK,33,3
609788,BARNARD,ES,Network 10,District,Traditional,BEVERLY,29,2.64
609789,BARRY,ES,Network 4,District,Traditional,HERMOSA,42,3.82
609790,BARTON,ES,Network 11,District,Traditional,AUBURN GRESHAM,40,3.64
609791,BASS,ES,Network 11,District,Traditional,ENGLEWOOD,40,3.64
609792,BATEMAN,ES,Network 1,District,Traditional,IRVING PARK,26,2.36
609793,NICHOLSON,ES,Network 11,District,Traditional,ENGLEWOOD,42,3.82
609794,EDISON,ES,Network 1,District,Traditional,ALBANY PARK,24,2.18
609795,CLARK ES,ES,ISP,District,Traditional,AUSTIN,39,3.55
609796,BEAUBIEN,ES,Network 1,District,Traditional,JEFFERSON PARK,24,2.18
609797,BEIDLER,ES,Network 5,District,Traditional,EAST GARFIELD PARK,37,3.36
609798,BELDING,ES,Network 1,District,Traditional,IRVING PARK,22,2
609799,BELL,ES,Network 4,District,Traditional,NORTH CENTER,13,1.18
609800,BENNETT,ES,Network 13,District,Traditional,ROSELAND,35,3.18
609803,BLAINE,ES,Network 4,District,Traditional,LAKE VIEW,19,1.73
609804,MOSAIC,ES,Network 2,District,Traditional,WEST RIDGE,29,2.64
609805,JOPLIN,ES,Network 11,District,Traditional,AUBURN GRESHAM,37,3.36
609806,BRADWELL,ES,Network 12,District,Traditional,SOUTH SHORE,37,3.36
609807,HAMPTON,ES,Network 10,District,Traditional,ASHBURN,35,3.18
609808,HALEY,ES,Network 13,District,Traditional,ROSELAND,39,3.55
609809,BRENTANO,ES,Network 4,District,Traditional,LOGAN SQUARE,21,1.91
609810,BRIDGE,ES,Network 1,District,Traditional,DUNNING,23,2.09
609811,BRIGHT,ES,Network 13,District,Traditional,SOUTH DEERING,39,3.55
609812,BROWN W,ES,Network 6,District,Traditional,NEAR WEST SIDE,33,3
609813,BROWNELL,ES,Network 12,District,Traditional,GREATER GRAND CROSSING,38,3.45
609815,BOUCHET,ES,Network 12,District,Traditional,SOUTH SHORE,35,3.18
609817,BUDLONG,ES,ISP,District,Traditional,LINCOLN SQUARE,28,2.55
609818,BURBANK,ES,Network 3,District,Traditional,BELMONT CRAGIN,32,2.91
609819,BURKE,ES,Network 9,District,Traditional,WASHINGTON PARK,34,3.09
609820,BURLEY,ES,Network 4,District,Traditional,LAKE VIEW,20,1.82
609821,BURNHAM,ES,Network 13,District,Traditional,SOUTH DEERING,37,3.36
609827,BURNSIDE,ES,Network 12,District,Traditional,CHATHAM,36,3.27
609828,BURR,ES,Network 6,District,Traditional,WEST TOWN,19,1.73
609829,BURROUGHS,ES,Network 8,District,Traditional,BRIGHTON PARK,41,3.73
609830,BRUNSON,ES,Network 3,District,Traditional,AUSTIN,38,3.45
609832,BYRNE,ES,Network 10,District,Traditional,GARFIELD RIDGE,22,2
609833,DAISY BATES,ES,ISP,District,Traditional,AVALON PARK,35,3.18
609834,LITTLE VILLAGE,ES,ISP,District,Traditional,SOUTH LAWNDALE,38,3.45
609835,CAMERON,ES,Network 5,District,Traditional,HUMBOLDT PARK,40,3.64
609836,CANTY,ES,Network 1,District,Traditional,DUNNING,18,1.64
609837,CARNEGIE,ES,Network 9,District,Traditional,WOODLAWN,34,3.09
609839,CARROLL,ES,Network 10,District,Traditional,ASHBURN,33,3
609842,CARSON,ES,ISP,District,Traditional,GAGE PARK,35,3.18
609844,CARTER,ES,Network 9,District,Traditional,WASHINGTON PARK,42,3.82
609845,CARVER G,ES,Network 13,District,Traditional,RIVERDALE,35,3.18
609848,ALDRIDGE,ES,Network 13,District,Traditional,RIVERDALE,40,3.64
609849,CASSELL,ES,ISP,District,Traditional,MOUNT GREENWOOD,21,1.91
609850,GREELEY,ES,Network 4,District,Traditional,LAKE VIEW,31,2.82
609851,CHALMERS,ES,Network 5,District,Traditional,NORTH LAWNDALE,47,4.27
609852,CHAPPELL,ES,Network 2,District,Traditional,LINCOLN SQUARE,23,2.09
609853,CHASE,ES,Network 4,District,Traditional,LOGAN SQUARE,25,2.27
609854,CHOPIN,ES,Network 5,District,Traditional,WEST TOWN,27,2.45
609855,CHRISTOPHER,ES,Network 8,District,Traditional,GAGE PARK,36,3.27
609856,CLAY,ES,Network 13,District,Traditional,HEGEWISCH,26,2.36
609857,CLEVELAND,ES,Network 1,District,Traditional,IRVING PARK,30,2.73
609859,CLINTON,ES,ISP,District,Traditional,WEST RIDGE,27,2.45
609861,CLISSOLD,ES,Network 10,District,Traditional,MORGAN PARK,21,1.91
609862,COLES,ES,Network 12,District,Traditional,SOUTH CHICAGO,38,3.45
609863,GINSBURG,ES,ISP,District,Traditional,WEST TOWN,27,2.45
609864,COOK,ES,Network 11,District,Traditional,AUBURN GRESHAM,36,3.27
609865,JORDAN,ES,Network 2,District,Traditional,ROGERS PARK,37,3.36
609866,COONLEY,ES,Network 2,District,Traditional,NORTH CENTER,17,1.55
609867,COOPER,ES,Network 7,District,Traditional,LOWER WEST SIDE,35,3.18
609869,LANGFORD,ES,Network 11,District,Traditional,WEST ENGLEWOOD,38,3.45
609870,CORKERY,ES,Network 7,District,Traditional,SOUTH LAWNDALE,45,4.09
609872,PEREZ,ES,Network 7,District,Traditional,LOWER WEST SIDE,36,3.27
609873,CROWN,ES,Network 5,District,Traditional,NORTH LAWNDALE,38,3.45
609874,DIRKSEN,ES,Network 1,District,Traditional,OHARE,22,2
609875,DARWIN,ES,Network 4,District,Traditional,LOGAN SQUARE,25,2.27
609876,DAVIS N,ES,Network 8,District,Traditional,BRIGHTON PARK,39,3.55
609879,DAWES,ES,Network 10,District,Traditional,ASHBURN,28,2.55
609880,DECATUR,ES,Network 2,District,Traditional,WEST RIDGE,18,1.64
609883,DENEEN,ES,Network 12,District,Traditional,GREATER GRAND CROSSING,41,3.73
609884,DEVER,ES,Network 1,District,Traditional,DUNNING,23,2.09
609885,DEWEY,ES,Network 8,District,Traditional,NEW CITY,42,3.82
609887,DIXON,ES,Network 12,District,Traditional,CHATHAM,30,2.73
609891,DOOLITTLE,ES,Network 9,District,Traditional,DOUGLAS,42,3.82
609893,DORE,ES,Network 10,District,Traditional,CLEARING,24,2.18
609894,DRAKE,ES,Network 9,District,Traditional,DOUGLAS,36,3.27
609895,TURNER-DREW,ES,Network 11,District,Traditional,ROSELAND,37,3.36
609896,DRUMMOND,ES,Network 6,District,Traditional,LOGAN SQUARE,25,2.27
609897,EARLE,ES,Network 11,District,Traditional,WEST ENGLEWOOD,43,3.91
609898,EBERHART,ES,Network 10,District,Traditional,CHICAGO LAWN,34,3.09
609899,EBINGER,ES,Network 1,District,Traditional,EDISON PARK,15,1.36
609900,CURTIS,ES,Network 13,District,Traditional,ROSELAND,37,3.36
609901,EDGEBROOK,ES,Network 1,District,Traditional,FOREST GLEN,18,1.64
609902,METCALFE,ES,Network 13,District,Traditional,WEST PULLMAN,41,3.73
609903,EDWARDS,ES,Network 8,District,Traditional,ARCHER HEIGHTS,33,3
609904,ELLINGTON,ES,Network 3,District,Traditional,AUSTIN,41,3.73
609907,ERICSON,ES,Network 5,District,Traditional,EAST GARFIELD PARK,40,3.64
609908,ESMOND,ES,Network 10,District,Traditional,MORGAN PARK,29,2.64
609909,EVERETT,ES,ISP,District,Traditional,MCKINLEY PARK,36,3.27
609910,FALCONER,ES,Network 3,District,Traditional,BELMONT CRAGIN,31,2.82
609912,FARNSWORTH,ES,Network 1,District,Traditional,JEFFERSON PARK,22,2
609917,FERNWOOD,ES,Network 13,District,Traditional,WASHINGTON HEIGHTS,37,3.36
609918,FIELD,ES,Network 2,District,Traditional,ROGERS PARK,39,3.55
609919,FISKE,ES,Network 9,District,Traditional,WOODLAWN,39,3.55
609920,KANOON,ES,Network 7,District,Traditional,SOUTH LAWNDALE,44,4
609921,TELPOCHCALLI,ES,Network 7,District,Traditional,SOUTH LAWNDALE,43,3.91
609922,BELMONT-CRAGIN,ES,Network 3,District,Traditional,BELMONT CRAGIN,37,3.36
609924,FORT DEARBORN,ES,Network 11,District,Traditional,WASHINGTON HEIGHTS,37,3.36
609925,KELLMAN,ES,Network 5,District,Traditional,EAST GARFIELD PARK,42,3.82
609926,FRANKLIN,ES,Network 4,District,Traditional,NEAR NORTH SIDE,20,1.82
609927,FOSTER PARK,ES,Network 11,District,Traditional,AUBURN GRESHAM,40,3.64
609928,FARMER,ES,Network 9,District,Traditional,GRAND BOULEVARD,31,2.82
609929,FULTON,ES,Network 8,District,Traditional,NEW CITY,38,3.45
609930,FUNSTON,ES,Network 4,District,Traditional,LOGAN SQUARE,41,3.73
609933,GALE,ES,Network 2,District,Traditional,ROGERS PARK,39,3.55
609935,GALLISTEL,ES,Network 13,District,Traditional,EAST SIDE,36,3.27
609937,GARVY,ES,Network 1,District,Traditional,NORWOOD PARK,18,1.64
609938,GARY,ES,Network 7,District,Traditional,SOUTH LAWNDALE,38,3.45
609939,GILLESPIE,ES,Network 12,District,Traditional,ROSELAND,39,3.55
609941,RANDOLPH,ES,Network 11,District,Traditional,WEST ENGLEWOOD,40,3.64
609942,GOETHE,ES,Network 4,District,Traditional,LOGAN SQUARE,24,2.18
609943,OWENS,ES,Network 13,District,Traditional,WEST PULLMAN,38,3.45
609944,GRISSOM,ES,Network 13,District,Traditional,HEGEWISCH,25,2.27
609945,GOUDY,ES,Network 2,District,Traditional,UPTOWN,25,2.27
609947,GRAHAM ES,ES,Network 6,District,Traditional,NEW CITY,39,3.55
609949,GRAY,ES,Network 1,District,Traditional,PORTAGE PARK,24,2.18
609950,ORTIZ DE DOMINGUEZ,ES,Network 7,District,Traditional,SOUTH LAWNDALE,42,3.82
609951,ARIEL,ES,Network 9,District,Traditional,KENWOOD,32,2.91
609952,GREENE,ES,Network 8,District,Traditional,MCKINLEY PARK,38,3.45
609954,GREGORY,ES,Network 5,District,Traditional,EAST GARFIELD PARK,41,3.73
609955,GRESHAM,ES,Network 11,District,Traditional,AUBURN GRESHAM,33,3
609956,GRIMES,ES,Network 10,District,Traditional,CLEARING,30,2.73
609958,GUNSAULUS,ES,Network 8,District,Traditional,BRIGHTON PARK,36,3.27
609959,HAINES,ES,Network 6,District,Traditional,ARMOUR SQUARE,34,3.09
609960,HALE,ES,Network 10,District,Traditional,CLEARING,21,1.91
609961,NINOS HEROES,ES,Network 12,District,Traditional,SOUTH CHICAGO,34,3.09
609963,HAMILTON,ES,Network 4,District,Traditional,LAKE VIEW,25,2.27
609964,HAMLINE,ES,Network 8,District,Traditional,NEW CITY,43,3.91
609966,HAMMOND,ES,Network 7,District,Traditional,SOUTH LAWNDALE,42,3.82
609967,FINKL,ES,Network 7,District,Traditional,LOWER WEST SIDE,45,4.09
609968,MCAULIFFE,ES,Network 4,District,Traditional,HERMOSA,36,3.27
609969,HARTE,ES,Network 9,District,Traditional,HYDE PARK,32,2.91
609971,HARVARD,ES,Network 11,District,Traditional,GREATER GRAND CROSSING,39,3.55
609972,HAUGAN,ES,ISP,District,Traditional,ALBANY PARK,30,2.73
609973,ZAPATA,ES,Network 7,District,Traditional,SOUTH LAWNDALE,35,3.18
609974,HAWTHORNE,ES,Network 4,District,Traditional,LAKE VIEW,16,1.45
609975,HAY,ES,Network 3,District,Traditional,AUSTIN,40,3.64
609976,HAYT,ES,Network 2,District,Traditional,EDGEWATER,29,2.64
609977,WOODLAWN,ES,Network 9,District,Traditional,WOODLAWN,35,3.18
609978,SMITH,ES,Network 13,District,Traditional,PULLMAN,35,3.18
609979,HEALY,ES,Network 6,District,Traditional,BRIDGEPORT,21,1.91
609981,HEARST,ES,Network 10,District,Traditional,GARFIELD RIDGE,31,2.82
609983,HEDGES,ES,Network 8,District,Traditional,NEW CITY,46,4.18
609985,HEFFERAN,ES,Network 5,District,Traditional,WEST GARFIELD PARK,39,3.55
609986,HENDERSON,ES,Network 8,District,Traditional,WEST ENGLEWOOD,44,4
609987,HENDRICKS,ES,Network 9,District,Traditional,FULLER PARK,42,3.82
609988,HENRY,ES,Network 1,District,Traditional,IRVING PARK,36,3.27
609990,SOUTH LOOP,ES,ISP,District,Traditional,NEAR SOUTH SIDE,16,1.45
609991,HERZL,ES,Network 7,District,Traditional,NORTH LAWNDALE,37,3.36
609993,LARA,ES,ISP,District,Traditional,NEW CITY,43,3.91
609994,HIBBARD,ES,Network 1,District,Traditional,ALBANY PARK,29,2.64
609995,HITCH,ES,Network 1,District,Traditional,NORWOOD PARK,21,1.91
609996,HOLDEN,ES,ISP,District,Traditional,BRIDGEPORT,30,2.73
609997,HOLMES,ES,Network 8,District,Traditional,ENGLEWOOD,42,3.82
610000,HOWE,ES,Network 3,District,Traditional,AUSTIN,39,3.55
610002,HOYNE,ES,Network 12,District,Traditional,CALUMET HEIGHTS,31,2.82
610003,CUFFE,ES,Network 11,District,Traditional,AUBURN GRESHAM,41,3.73
610004,CULLEN,ES,Network 13,District,Traditional,ROSELAND,39,3.55
610005,HUGHES C,ES,Network 7,District,Traditional,NORTH LAWNDALE,40,3.64
610006,HURLEY,ES,Network 10,District,Traditional,WEST LAWN,34,3.09
610009,GALILEO,ES,Network 6,District,Traditional,NEAR WEST SIDE,27,2.45
610010,JAHN,ES,Network 4,District,Traditional,NORTH CENTER,28,2.55
610011,JAMIESON,ES,Network 2,District,Traditional,WEST RIDGE,22,2
610013,PILSEN,ES,Network 7,District,Traditional,LOWER WEST SIDE,39,3.55
610015,JUNGMAN,ES,ISP,District,Traditional,LOWER WEST SIDE,27,2.45
610016,KELLOGG,ES,Network 10,District,Traditional,BEVERLY,25,2.27
610017,SAUCEDO,ES,Network 7,District,Traditional,SOUTH LAWNDALE,39,3.55
610019,KERSHAW,ES,Network 11,District,Traditional,ENGLEWOOD,39,3.55
610021,CASALS,ES,Network 5,District,Traditional,HUMBOLDT PARK,38,3.45
610022,KILMER,ES,Network 2,District,Traditional,ROGERS PARK,31,2.82
610024,CARDENAS,ES,ISP,District,Traditional,SOUTH LAWNDALE,35,3.18
610026,KINZIE,ES,Network 10,District,Traditional,GARFIELD RIDGE,30,2.73
610027,KIPLING,ES,Network 11,District,Traditional,WASHINGTON HEIGHTS,35,3.18
610029,LOZANO,ES,Network 6,District,Traditional,WEST TOWN,33,3
610030,KOZMINSKI,ES,Network 9,District,Traditional,HYDE PARK,33,3
610032,GREEN,ES,Network 11,District,Traditional,WASHINGTON HEIGHTS,34,3.09
610033,LASALLE,ES,Network 4,District,Traditional,LINCOLN PARK,23,2.09
610034,LAWNDALE,ES,Network 5,District,Traditional,NORTH LAWNDALE,43,3.91
610036,LEWIS,ES,Network 3,District,Traditional,AUSTIN,41,3.73
610037,LIBBY,ES,Network 8,District,Traditional,NEW CITY,42,3.82
610038,LINCOLN,ES,Network 4,District,Traditional,LINCOLN PARK,15,1.36
610039,VON LINNE,ES,Network 4,District,Traditional,AVONDALE,29,2.64
610040,LLOYD,ES,Network 3,District,Traditional,BELMONT CRAGIN,41,3.73
610041,LOCKE J,ES,Network 3,District,Traditional,MONTCLARE,22,2
610043,LOVETT,ES,Network 3,District,Traditional,AUSTIN,37,3.36
610044,LOWELL,ES,Network 5,District,Traditional,HUMBOLDT PARK,41,3.73
610046,LYON,ES,Network 3,District,Traditional,BELMONT CRAGIN,33,3
610047,MADISON,ES,Network 12,District,Traditional,SOUTH SHORE,35,3.18
610048,MANIERRE,ES,Network 4,District,Traditional,NEAR NORTH SIDE,33,3
610051,NORTHWEST,ES,Network 3,District,Traditional,BELMONT CRAGIN,40,3.64
610052,MANN,ES,Network 12,District,Traditional,SOUTH CHICAGO,34,3.09
610053,MARQUETTE,ES,Network 10,District,Traditional,CHICAGO LAWN,35,3.18
610054,MARSH,ES,Network 13,District,Traditional,SOUTH DEERING,39,3.55
610055,FARADAY,ES,Network 5,District,Traditional,EAST GARFIELD PARK,46,4.18
