nces_id_12,calculus_offered,advmath_offered,chemistry_offered,physics_offered,stem_advanced_offered
010000299995,0.0,0.0,1.0,0.0,1.0
010000500870,,,,,
010000500871,1.0,1.0,1.0,1.0,4.0
010000500879,,,,,
010000500889,,,,,
010000501616,,,,,
010000502150,,,,,
010000600193,,,,,
010000600872,0.0,1.0,1.0,0.0,2.0
010000600877,,,,,
010000600878,1.0,1.0,1.0,0.0,3.0
010000600880,,,,,
010000600883,0.0,1.0,1.0,0.0,2.0
010000600887,,,,,
010000601413,,,,,
010000601585,0.0,1.0,1.0,1.0,3.0
010000601685,,,,,
010000601812,,,,,
010000602209,,,,,
010000700091,,,,,
010000700248,,,,,
010000700251,1.0,1.0,0.0,0.0,2.0
010000700337,0.0,0.0,0.0,0.0,0.0
010000700342,,,,,
010000701422,,,,,
010000701456,1.0,1.0,0.0,0.0,2.0
010000701483,,,,,
010000701738,,,,,
010000701739,,,,,
010000701740,,,,,
010000701741,,,,,
010000701742,,,,,
010000701743,,,,,
010000702091,,,,,
010000702186,,,,,
010000800303,,,,,
010000800495,,,,,
010000800831,1.0,1.0,1.0,1.0,4.0
010000800839,,,,,
010000800851,,,,,
010000801423,,,,,
010000801485,,,,,
010000801798,,,,,
010000802097,,,,,
010000802133,,,,,
010000802198,1.0,1.0,1.0,1.0,4.0
010000901403,0.0,0.0,0.0,0.0,0.0
010000901404,0.0,1.0,0.0,0.0,1.0
010000901405,0.0,0.0,0.0,0.0,0.0
010001102094,,,,,
010001102095,,,,,
010001102096,1.0,1.0,1.0,0.0,3.0
010001102430,,,,,
010001200123,,,,,
010001200874,1.0,1.0,1.0,1.0,4.0
010001200884,,,,,
010001201630,,,,,
010001201781,,,,,
010001300714,,,,,
010001301498,,,,,
010001301682,1.0,1.0,1.0,1.0,4.0
010001302401,,,,,
010001302402,,,,,
010003000001,,,,,
010003000003,1.0,1.0,1.0,0.0,3.0
010003000004,,,,,
010003000005,,,,,
010003000006,,,,,
010003399998,0.0,0.0,0.0,0.0,0.0
010003399999,,,,,
010006000007,1.0,1.0,1.0,0.0,3.0
010006000008,,,,,
010006001467,,,,,
010009000011,1.0,1.0,1.0,0.0,3.0
010009000017,,,,,
010009000020,,,,,
010009001725,,,,,
010009001782,,,,,
010010000022,,,,,
010010000025,,,,,
010010000027,,,,,
010010000028,1.0,1.0,1.0,1.0,4.0
010012000522,,,,,
010012001471,,,,,
010012001472,1.0,1.0,1.0,1.0,4.0
010012001473,,,,,
010012001474,,,,,
010012001475,,,,,
010012001758,,,,,
010012002417,1.0,1.0,1.0,1.0,4.0
010018000033,1.0,1.0,1.0,1.0,4.0
010018000034,,,,,
010018000035,,,,,
010018500893,,,,,
010018500952,,,,,
010018502137,1.0,1.0,1.0,1.0,4.0
010018502427,,,,,
010018802193,,,,,
010018802194,0.0,0.0,0.0,0.0,0.0
010018802428,,,,,
010018802514,0.0,0.0,0.0,0.0,0.0
010018902195,0.0,1.0,1.0,0.0,2.0
010018902196,,,,,
010019001182,,,,,
010019001183,1.0,1.0,1.0,1.0,4.0
010019001184,,,,,
010019001460,,,,,
010019001815,,,,,
010019402395,,,,,
010019402396,,,,,
010019402398,,,,,
010019402399,1.0,1.0,1.0,1.0,4.0
010019502407,,,,,
010019502424,,,,,
