variable,data_type,source_dataset,grain,vintage_as_of,vintage_confidence,range,pct_non_null,description
ceeb,str,"UC Boulder NCES<->CEEB crosswalk (oda_nces_ceeb_crosswalk.csv), linked via exact 12-digit NCESSCH / PSS-ID join with adjudicated fuzzy fallback",school,Crosswalk compiled ~2024-2025 (upstream last update 2025-01-06),confirmed,28991 distinct values,84.3,College Board CEEB code (join key back to schools_org_all)
school_name,str,NCES CCD ELSI (public) / NCES PSS (private); NU org export name where org-only row,school,CCD SY 2024-25; PSS SY 2023-24; NU export 2026-06,confirmed,30221 distinct values,100.0,"School name, school-side if matched else NU org name"
state,str,NCES CCD ELSI (public) / NCES PSS (private),school,CCD SY 2024-25; PSS SY 2023-24,confirmed,55 distinct values,63.5,State abbreviation
latitude,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),-14.2731 - 71.2936,83.2,"School latitude, for location-based clustering (Section 4.4)"
longitude,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),-171.157 - 171.237,83.2,"School longitude, for location-based clustering (Section 4.4)"
us_region,str,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),"US - Illinois, US - Midwest, US - Northeast, US - South, US - West",81.8,NU-assigned US region bucket (South/West/Midwest/Northeast/Illinois) -- region peer-group key for performance benchmarking (Section 4.5)
is_school_match,bool,Derived in build_features.py,school,n/a (derived flag),derived,0 - 1,100.0,True if row matched both a school-side record and an NU org record
is_public_hs,bool,Derived in build_features.py,school,n/a (derived flag),derived,0 - 1,100.0,"True if school-side record present and school_level in {High, Secondary}"
is_private_hs,bool,Derived in build_features.py,school,n/a (derived flag),derived,0 - 1,100.0,"True if NU-flagged private type OR has a school-side pss_id, and not public -- fixed 2026-07-17, previously excluded pss_id-only rows (see EDA update)"
sector,str,Derived in build_features.py,school,n/a (derived flag),derived,"private, public",100.0,public / private / other-oos -- other-oos rows are excluded from modeling_dataset
has_nu_analytics,bool,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),0 - 1,100.0,True if nu_avg_num_ap_tests_taken or nu_avg_freshman_sat is present
