leaid,district_name,fips_state,total_revenue,federal_revenue,state_local_revenue,state_abbr,saipe_district_name,total_pop,child_poverty_est,child_pop,pct_child_poverty
0100270,BALDWIN COUNTY SCHOOL DISTRICT,1,626970,58642,568328,,,,,,
0102550,ONEONTA CITY SCHOOL DISTRICT,1,21063,2228,18835,,,,,,
0102760,PIEDMONT CITY SCHOOL DISTRICT,1,18215,2125,16090,,,,,,
0100690,CHOCTAW COUNTY SCHOOL DISTRICT,1,25029,7730,17299,,,,,,
0100900,COOSA COUNTY SCHOOL DISTRICT,1,15913,3025,12888,,,,,,
0102970,SELMA CITY SCHOOL DISTRICT,1,54896,20495,34401,,,,,,
0101230,DOTHAN CITY SCHOOL DISTRICT,1,130232,29470,100762,,,,,,
0101440,FAIRFIELD CITY SCHOOL DISTRICT,1,28806,7109,21697,,,,,,
0100120,ATHENS CITY SCHOOL DISTRICT,1,96519,8347,88172,,,,,,
0102730,PICKENS COUNTY SCHOOL DISTRICT,1,40221,9986,30235,,,,,,
0103062,ST CLAIR COUNTY SCHOOL DISTRICT,1,144848,15697,129151,,,,,,
0103030,SHELBY COUNTY SCHOOL DISTRICT,1,350862,24399,326463,,,,,,
0103120,SYLACAUGA CITY SCHOOL DISTRICT,1,31937,4660,27277,,,,,,
0103180,TALLADEGA COUNTY SCHOOL DISTRICT,1,116608,23071,93537,,,,,,
0103210,TALLAPOOSA COUNTY SCHOOL DISTRICT,1,50603,9666,40937,,,,,,
0101890,JASPER CITY SCHOOL DISTRICT,1,45386,5219,40167,,,,,,
0101720,HALEYVILLE CITY SCHOOL DISTRICT,1,25337,4450,20887,,,,,,
0100750,CLAY COUNTY SCHOOL DISTRICT,1,30027,5950,24077,,,,,,
0101260,ELBA CITY SCHOOL DISTRICT,1,12121,2049,10072,,,,,,
0100840,COLBERT COUNTY SCHOOL DISTRICT,1,47410,8025,39385,,,,,,
0100060,ANDALUSIA CITY SCHOOL DISTRICT,1,31180,6222,24958,,,,,,
0102610,OPP CITY SCHOOL DISTRICT,1,23280,3389,19891,,,,,,
0101020,CULLMAN COUNTY SCHOOL DISTRICT,1,153650,19499,134151,,,,,,
