source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
60989,A. Philip Randolph Elementary,,,100734,A Philip Randolph Acad Of Tech,JACKSONVILLE,75.55555555555556,65.51724137931035,f,reject,f
452,A.C. Davis Senior High School,,,481601,A C Davis Senior High School,YAKIMA,100,100,f,review,f
1227,A.C. Flora High School,,,410494,A C Flora High School,COLUMBIA,100,100,f,review,f
51031,A.L. Burruss Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,66.66666666666667,f,review,t
4965,Abby Kelley Foster Charter Public School,,,030794,A+ Charter School,MARICOPA,93.33333333333333,57.14285714285714,f,reject,f
60352,Abraham Lincoln Middle School,,,051928,Abraham Lincoln School,MARYSVILLE,100,86.27450980392157,f,review,f
61397,Academia de Lenguaje y Bellas Artes,,,054234,Ivy Academia,WOODLAND HLS,80,42.553191489361694,f,reject,f
49458,Academia Moderna Charter,,,051544,Denair Charter Academy,DENAIR,82.6086956521739,82.6086956521739,f,review,t
50738,Académie Lafayette,,,111272,Fayette Life Academy,FAYETTEVILLE,78.94736842105263,78.94736842105263,f,reject,f
51744,Academy for Discovery at Lakewood,,,051303,Discovery Academy,LAGUNA HILLS,100,68,f,review,t
4848,Academy for Global Citizenship,,,060622,Psd Global Academy,FORT COLLINS,87.5,58.33333333333333,f,reject,f
1888,Academy International Elementary School,,,331112,Academy School,BUFFALO,100,52.83018867924528,f,reject,f
4173,Academy of Accelerated Learning,,,230127,Accelerated Learning Academy,FLINT,100,94.91525423728814,f,review,f
1467,Academy of Richmond County,,,110275,Academy Of Richmond County,AUGUSTA,100,100,f,review,f
60130,ACE Charter High School,,,054660,Ace Charter High School,SAN JOSE,100,100,f,review,f
63858,ACTech High School,,,233835,AC-Tech High School,YPSILANTI,97.29729729729729,75.67567567567568,f,review,t
3001,Ada Merritt K-8 Center,,,450059,Cba Center,DELTA,75,50,f,reject,f
50646,Adams Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,75.55555555555556,f,review,t
50453,Adams Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,75.55555555555556,f,review,t
4793,Adrian High School,,,053276,Adrian C Wilcox High School,SANTA CLARA,100,80,f,review,t
3920,Agoura High School,,,050003,Agoura High School,AGOURA HILLS,100,100,f,review,f
27015,Aina Haina Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,68,f,review,t
3407,Al-Arqam Islamic School and College Preparatory,,,052192,College Preparatory School,OAKLAND,100,71.23287671232876,f,review,t
6092,Alameda International High School,,,050005,Alameda High School,ALAMEDA,100,73.07692307692308,f,review,t
3132,Albemarle Road Middle School,,,341118,Albemarle School,ELIZABETH CITY,100,72.72727272727273,f,review,t
3024,Albert Einstein Academies Charter School,,,470425,Einstein School,CHARLOTTESVLE,100,54.54545454545454,f,reject,f
1478,Albert Einstein High School,,,210677,Albert Einstein High School,KENSINGTON,100,100,f,review,f
3197,Alcuin School,,,441894,Alcuin School,DALLAS,100,100,f,review,f
50435,Alderwood Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,69.38775510204081,f,review,t
63320,Alex Sanger Preparatory School,,,391470,Mmi Preparatory School,FREELAND,90,73.07692307692308,f,review,t
4166,Alexander R. Shepherd Elementary School,,,5615,Shepherd C,SHEPHERDSTWN,88.88888888888889,41.666666666666664,f,reject,f
4935,Algonac JR/SR High School,,,230045,Algonac High School,ALGONAC,100,86.36363636363636,f,review,f
4985,Alice Birney Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,65.38461538461539,f,review,t
4208,Alice Deal Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,50,f,reject,f
