ibo_school_id,ib_name,offers_dp,offers_cp,offers_myp,offers_pyp,programmes,ncessch,nces_name,city,state
4965,Abby Kelley Foster Charter Public School,t,f,f,f,DP,2501247,Abby Kelley Foster Charter Public School,Worcester,MA 
60352,Abraham Lincoln Middle School,f,f,t,f,MYP,1200010,ABRAHAM LINCOLN MIDDLE SCHOOL,GAINESVILLE,FL 
60352,Abraham Lincoln Middle School,f,f,t,f,MYP,1703558,Abraham Lincoln Middle School,Rockford,IL 
61397,Academia de Lenguaje y Bellas Artes,f,f,f,t,PYP,,,,
49458,Academia Moderna Charter,f,f,f,t,PYP,,,,
50738,Académie Lafayette,t,f,t,f,"MYP, DP",,,,
51744,Academy for Discovery at Lakewood,f,f,t,f,MYP,5103018,Academy for Discovery at Lakewood,Norfolk,VA 
4848,Academy for Global Citizenship,f,f,t,t,"PYP, MYP",1706035,Academy for Global Citizenship,Chicago,IL 
1888,Academy International Elementary School,f,f,f,t,PYP,0801644,Academy International Elementary School,COLORADO SPRINGS,CO 
4173,Academy of Accelerated Learning,f,f,f,t,PYP,5501239,Academy of Accelerated Learning,Milwaukee,WI 
4173,Academy of Accelerated Learning,f,f,f,t,PYP,4808585,ACADEMY OF ACCELERATED LEARNING,HOUSTON,TX 
1467,Academy of Richmond County,t,t,f,f,"DP, CP",,,,
452,A.C. Davis Senior High School,t,t,f,f,"DP, CP",,,,
60130,ACE Charter High School,f,t,f,f,CP,,,,
1227,A.C. Flora High School,t,f,f,f,DP,,,,
63858,ACTech High School,f,t,f,f,CP,2608476,ACTech High School,YPSILANTI,MI 
3001,Ada Merritt K-8 Center,f,f,t,t,"PYP, MYP",1204072,ADA MERRITT K-8 CENTER,MIAMI,FL 
50453,Adams Elementary School,f,f,f,t,PYP,4100530,Adams Elementary School,Eugene,OR 
50453,Adams Elementary School,f,f,f,t,PYP,3102211,ADAMS ELEMENTARY SCHOOL,LINCOLN,NE 
50453,Adams Elementary School,f,f,f,t,PYP,0400378,Adams Elementary School,MESA,AZ 
50453,Adams Elementary School,f,f,f,t,PYP,2608300,Adams Elementary School,ZEELAND,MI 
50453,Adams Elementary School,f,f,f,t,PYP,1900456,Adams Elementary School,Davenport,IA 
50453,Adams Elementary School,f,f,f,t,PYP,0800239,Adams Elementary School,COLORADO SPRINGS,CO 
50453,Adams Elementary School,f,f,f,t,PYP,5301127,Adams Elementary School,SEATTLE,WA 
50453,Adams Elementary School,f,f,f,t,PYP,2500321,Adams Elementary School,East Boston,MA 
50453,Adams Elementary School,f,f,f,t,PYP,0801446,Adams Elementary School,WESTMINSTER,CO 
50453,Adams Elementary School,f,f,f,t,PYP,1800511,Adams Elementary School,Fort Wayne,IN 
50453,Adams Elementary School,f,f,f,t,PYP,3101348,ADAMS ELEMENTARY SCHOOL,OMAHA,NE 
50453,Adams Elementary School,f,f,f,t,PYP,1900522,Adams Elementary School,Carroll,IA 
50453,Adams Elementary School,f,f,f,t,PYP,0101665,Adams Elementary School,Gadsden,AL 
50453,Adams Elementary School,f,f,f,t,PYP,4100032,Adams Elementary School,Corvallis,OR 
50453,Adams Elementary School,f,f,f,t,PYP,1600333,ADAMS ELEMENTARY SCHOOL,REXBURG,ID 
50453,Adams Elementary School,f,f,f,t,PYP,5301685,Adams Elementary School,Yakima,WA 
50453,Adams Elementary School,f,f,f,t,PYP,1600042,ADAMS ELEMENTARY SCHOOL,BOISE,ID 
50453,Adams Elementary School,f,f,f,t,PYP,2603860,Adams Elementary School,BAD AXE,MI 
50453,Adams Elementary School,f,f,f,t,PYP,2606050,Adams Elementary School,MIDLAND,MI 
50646,Adams Elementary School,f,f,f,t,PYP,4100530,Adams Elementary School,Eugene,OR 
50646,Adams Elementary School,f,f,f,t,PYP,3102211,ADAMS ELEMENTARY SCHOOL,LINCOLN,NE 
50646,Adams Elementary School,f,f,f,t,PYP,0400378,Adams Elementary School,MESA,AZ 
50646,Adams Elementary School,f,f,f,t,PYP,2608300,Adams Elementary School,ZEELAND,MI 
50646,Adams Elementary School,f,f,f,t,PYP,1900456,Adams Elementary School,Davenport,IA 
50646,Adams Elementary School,f,f,f,t,PYP,0800239,Adams Elementary School,COLORADO SPRINGS,CO 
50646,Adams Elementary School,f,f,f,t,PYP,5301127,Adams Elementary School,SEATTLE,WA 
50646,Adams Elementary School,f,f,f,t,PYP,2500321,Adams Elementary School,East Boston,MA 
50646,Adams Elementary School,f,f,f,t,PYP,0801446,Adams Elementary School,WESTMINSTER,CO 
50646,Adams Elementary School,f,f,f,t,PYP,1800511,Adams Elementary School,Fort Wayne,IN 
