ibo_name,ibo_id,programmes,priv_name,city,state,pss_id,score,decision
Archbishop Spalding High School,48013,DP,ARCHBISHOP SPALDING HIGH SCHOOL,SEVERN,MD,00578728,100.0,accept
Beacon Academy,50937,DP,BEACON ACADEMY,EVANSTON,IL,A1501543,100.0,accept
Bishop Amat Memorial High School,2263,DP,BISHOP AMAT MEMORIAL HIGH SCHOOL,LA PUENTE,CA,00071399,100.0,accept
Clearwater Central Catholic High School,2812,DP,CLEARWATER CENTRAL CATHOLIC HIGH SCHOOL,CLEARWATER,FL,00258741,100.0,accept
DePaul College Prep,50431,DP,DEPAUL COLLEGE PREP,CHICAGO,IL,00342907,100.0,accept
EF Academy Pasadena,61787,DP,EF ACADEMY PASADENA,PASADENA,CA,A2300193,100.0,accept
George School,327,DP,GEORGE SCHOOL,NEWTOWN,PA,01195879,100.0,accept
Mercyhurst Preparatory School,356,DP,MERCYHURST PREPARATORY SCHOOL,ERIE,PA,01190611,100.0,accept
New Hampton School,3995,DP,NEW HAMPTON SCHOOL,NEW HAMPTON,NH,A2192906,100.0,accept
Notre Dame de la Baie Academy,2940,"DP, CP",NOTRE DAME DE LA BAIE ACADEMY,GREEN BAY,WI,A9106948,100.0,accept
Our Lady of Good Counsel High School,843,DP,OUR LADY OF GOOD COUNSEL HIGH SCHOOL,OLNEY,MD,01604475,100.0,accept
Purcell Marian High School,60773,DP,PURCELL MARIAN HIGH SCHOOL,CINCINNATI,OH,01056529,100.0,accept
The Hague School,61357,DP,THE HAGUE SCHOOL,NORFOLK,VA,A1990827,100.0,accept
Verde Valley School,2950,DP,VERDE VALLEY SCHOOL,SEDONA,AZ,00032156,100.0,accept
St. Timothy's School,2842,"MYP, DP",ST TIMOTHY'S SCHOOL,STEVENSON,MD,00579903,97.4,accept
Navajo Preparatory School Inc.,49464,"MYP, DP",NAVAJO PREPARATORY SCHOOL,FARMINGTON,NM,A1992105,90.9,accept
Cheshire Academy,6727,DP,THE CHESHIRE ACADEMY,CHESHIRE,CT,A0101540,88.9,accept
Brooklyn Friends School,2909,DP,BROOKLYN FRIENDS UPPER SCHOOL,BROOKLYN,NY,A1702565,88.5,accept
Concord High School,49605,"MYP, DP, CP",CONCORDIA HIGH SCHOOL,ROUND ROCK,TX,BB162854,95.0,reject
Allen High School,1130,DP,ALLEMAN HIGH SCHOOL,ROCK ISLAND,IL,00347133,94.4,reject
Howell High School,60382,DP,LOWELL HIGH SCHOOL,FLUSHING,NY,A1903066,94.4,reject
Carrollton High School,6989,DP,CARROLL HIGH SCHOOL,DAYTON,OH,01056879,92.7,reject
Adrian High School,4793,DP,ANDREAN HIGH SCHOOL,MERRILLVILLE,IN,00423376,91.9,reject
Miramar High School,1275,DP,Miriam High School,SAINT LOUIS,MO,BB201104,91.9,reject
Renton High School,49291,"DP, CP",PRESTON HIGH SCHOOL,BRONX,NY,00921553,91.9,reject
Midland High School,3051,DP,ILAN HIGH SCHOOL,OCEAN,NJ,A9702240,91.4,reject
Odessa High School,2300,DP,O'DEA HIGH SCHOOL,SEATTLE,WA,01460475,91.4,reject
Ogden High School,6994,"DP, CP",HOLDEN HIGH SCHOOL,ORINDA,CA,00094973,91.4,reject
Catholic Memorial High School,2290,"DP, CP",JUDGE MEMORIAL CATHOLIC HIGH SCHOOL,SALT LAKE CITY,UT,01412771,90.6,reject
Park High School,4773,DP,SAR HIGH SCHOOL,BRONX,NY,A0502542,90.3,reject
The Newman School,3349,"MYP, DP",THE NEW SCHOOL,ATLANTA,GA,BB160891,90.3,reject
Del Mar High School,50777,DP,MATER DEI HIGH SCHOOL,BREESE,IL,00345635,90.0,reject
Holmes High School,273,DP,HOLY NAMES HIGH SCHOOL,OAKLAND,CA,00074822,90.0,reject
Princeton High School,316,DP,PRESTON HIGH SCHOOL,BRONX,NY,00921553,90.0,reject
Rockwall High School,49467,DP,RONCALLI HIGH SCHOOL,INDIANAPOLIS,IN,00421903,90.0,reject
Andress High School,51763,DP,ANDREAN HIGH SCHOOL,MERRILLVILLE,IN,00423376,89.5,reject
Marietta High School,845,"MYP, DP, CP",MARIAN HIGH SCHOOL,MISHAWAKA,IN,00423048,89.5,reject
Pierson High School,6567,DP,PRESTON HIGH SCHOOL,BRONX,NY,00921553,89.5,reject
Westlake High School,50328,"MYP, DP",WESLEY HIGH SCHOOL,PITTSBURGH,PA,01196329,89.5,reject
Cathedral City High School,50306,DP,CATHEDRAL HIGH SCHOOL,LOS ANGELES,CA,A2400017,89.4,reject
Nauset Regional High School,52217,DP,NAZARETH REGIONAL HIGH SCHOOL,BROOKLYN,NY,A1903096,89.3,reject
Highland High School,3956,DP,ILAN HIGH SCHOOL,OCEAN,NJ,A9702240,88.9,reject
