name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
A. Philip Randolph Elementary,60989,t,f,f,f,PYP,t,English,https://ibo.org/school/060989/
A.C. Davis Senior High School,452,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/000452/
A.C. Flora High School,1227,f,f,t,f,DP,t,English,https://ibo.org/school/001227/
A.L. Burruss Elementary School,51031,t,f,f,f,PYP,t,English,https://ibo.org/school/051031/
Abby Kelley Foster Charter Public School,4965,f,f,t,f,DP,t,English,https://ibo.org/school/004965/
Abraham Lincoln Middle School,60352,f,t,f,f,MYP,t,English,https://ibo.org/school/060352/
Academia de Lenguaje y Bellas Artes,61397,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/061397/
Academia Moderna Charter,49458,t,f,f,f,PYP,t,English,https://ibo.org/school/049458/
Académie Lafayette,50738,f,t,t,f,"MYP, DP",t,"English, French",https://ibo.org/school/050738/
Academy for Discovery at Lakewood,51744,f,t,f,f,MYP,t,English,https://ibo.org/school/051744/
Academy for Global Citizenship,4848,t,t,f,f,"PYP, MYP",t,"English, Spanish",https://ibo.org/school/004848/
Academy International Elementary School,1888,t,f,f,f,PYP,t,English,https://ibo.org/school/001888/
Academy of Accelerated Learning,4173,t,f,f,f,PYP,t,English,https://ibo.org/school/004173/
Academy of Richmond County,1467,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/001467/
ACE Charter High School,60130,f,f,f,t,CP,t,"English, Spanish",https://ibo.org/school/060130/
ACTech High School,63858,f,f,f,t,CP,t,English,https://ibo.org/school/063858/
Ada Merritt K-8 Center,3001,t,t,f,f,"PYP, MYP",t,English,https://ibo.org/school/003001/
Adams Elementary School,50646,t,f,f,f,PYP,t,English,https://ibo.org/school/050646/
Adams Elementary School,50453,t,f,f,f,PYP,t,English,https://ibo.org/school/050453/
Adrian High School,4793,f,f,t,f,DP,t,English,https://ibo.org/school/004793/
