ncessch,school_name,city,state,zip,school_level,total_students,frl_students,pupil_teacher_ratio,rcdts,summative_designation,title_i_status,isbe_enrollment,district_total_revenue,district_federal_revenue,state_child_poverty_est,state_child_pop
1703429,21st Century Primary Center,Park Forest,IL ,60466,Elementary,152,121,10.7,07-016-1630-02-2008,Commendable,Title 1 Schoolwide,150,,,267982,2037081
1701664,Abbott Middle School,Elgin,IL ,60123,Middle,551,382,12.78,31-045-0460-22-1003,Targeted,Title 1 Schoolwide,542,,,267982,2037081
1701235,Abe Lincoln Elem School,Cicero,IL ,60804,Elementary,717,661,12.46,06-016-0990-02-2006,Commendable,Title 1 Schoolwide,749,,,267982,2037081
1706274,Abingdon-Avon High Sch,Abingdon,IL ,61410,High,278,143,11.39,33-048-2760-26-0001,Commendable,Title 1 Eligible but Not Served,270,,,267982,2037081
1706247,Abingdon-Avon Middle Sch,Avon,IL ,61415,Middle,204,105,14.76,33-048-2760-26-1001,Commendable,Title 1 Schoolwide,207,,,267982,2037081
1706889,ABLE Program,South Holland,IL ,60473,Not Reported,,,,,,,,,,267982,2037081
1700231,Abraham Lincoln Elem School,Belleville,IL ,62226,Elementary,542,451,16.4,50-082-1180-02-2001,Targeted,Title 1 Schoolwide,490,,,267982,2037081
1701981,Abraham Lincoln Elem School,Glen Ellyn,IL ,60137,Elementary,559,,15.35,19-022-0410-02-2001,Exemplary,Title 1 Ineligible Due to Ranking,531,,,267982,2037081
1703060,Abraham Lincoln Elem School,Oak Park,IL ,60304,Elementary,580,103,12.38,06-016-0970-02-2007,Commendable,Title 1 Ineligible Due to Ranking,558,,,267982,2037081
1703558,Abraham Lincoln Middle School,Rockford,IL ,61104,Middle,736,590,17.36,04-101-2050-25-1009,Targeted,Title 1 Schoolwide,722,,,267982,2037081
1700339,A B Shepard High Sch (Campus),Palos Heights,IL ,60463,High,1916,1298,15.35,07-016-2180-16-0007,Commendable,Title 1 Schoolwide,1809,,,267982,2037081
1706156,Academic Behavior&Community Acad,Quincy,IL ,62301,High,0,,0,,,,,,,267982,2037081
1706035,Academy for Global Citizenship,Chicago,IL ,60638,Elementary,486,280,13.89,15-016-2990-25-229C,Commendable,Title 1 Schoolwide,486,,,267982,2037081
1706887,Academy for Learning,Dolton,IL ,60419,Not Reported,,,,,,,,,,267982,2037081
1706337,Acad for Lifelong Learning,Chicago Heights,IL ,60411,Not Reported,,,,,,,,,,267982,2037081
1208738,ACCELERATION ACADEMIES LLC HOMESTEAD,CHICAGO,IL ,60607,High,170,13,,,,,,,,486025,3345306
1705359,A-C Central Elementary School,Chandlerville,IL ,62627,Elementary,129,56,8.38,01-009-2620-26-2001,Commendable,Title 1 Targeted,124,,,267982,2037081
1705357,A-C Central High School,Ashland,IL ,62612,High,96,37,12.39,01-009-2620-26-0002,Commendable,Title 1 Eligible but Not Served,92,,,267982,2037081
1700245,A-C Central Middle School,Ashland,IL ,62612,Middle,89,37,12.28,01-009-2620-26-1002,Commendable,Title 1 Targeted,86,,,267982,2037081
1706709,ACDC Penniman,Cahokia,IL ,62206,High,0,,0,,,,,,,267982,2037081
1706424,ACE Amandla Charter School,Chicago,IL ,60629,High,137,130,10.54,15-016-9020-25-201C,Commendable,Title 1 Schoolwide,137,,,267982,2037081
1706448,Acero Chtr - Bartolome de las,Chicago,IL ,60608,Elementary,225,199,13.24,,,,,,,267982,2037081
1706474,Acero Chtr-Brighton Park Elem Sch,Chicago,IL ,60632,Elementary,465,433,15.25,,,,,,,267982,2037081
1706481,Acero Chtr - Carlos Fuentes Elem,Chicago,IL ,60618,Elementary,370,322,12.98,,,,,,,267982,2037081
1706521,Acero Chtr - Esmera Santiago Cmps,Chicago,IL ,60622,Elementary,224,199,12.44,,,,,,,267982,2037081
1706467,Acero Chtr Netrk -  Major Garcia,Chicago,IL ,60632,High,666,597,12.93,,,,,,,267982,2037081
1706505,Acero Chtr Network - Jovita Idar,Chicago,IL ,60632,Elementary,528,467,18.53,,,,,,,267982,2037081
1706522,Acero Chtr Network - PFC Torress,Chicago,IL ,60632,Elementary,528,467,18.53,,,,,,,267982,2037081
1706482,Acero Chtr - Octavio Paz Elem Sch,Chicago,IL ,60608,Elementary,98,93,7.84,,,,,,,267982,2037081
1706497,Acero Chtr - Officer Marquez Elem,Chicago,IL ,60632,Elementary,508,473,14.11,,,,,,,267982,2037081
1706524,Acero Chtr  Roberto Clemente Elem,Chicago,IL ,60707,Elementary,461,376,18.08,,,,,,,267982,2037081
1706455,Acero Chtr - Rufino Tamayo Elem,Chicago,IL ,60632,Elementary,266,241,14,,,,,,,267982,2037081
1706436,Acero Chtr - Sandra Cisneros Elem,Chicago,IL ,60632,Elementary,326,294,12.3,,,,,,,267982,2037081
1706483,Acero Chtr Sch Netwrk- Victoria,Chicago,IL ,60632,High,561,552,13.36,,,,,,,267982,2037081
1706508,Acero Chtr  Sor Juana Ines de la,Chicago,IL ,60645,Other,432,388,9.6,,,,,,,267982,2037081
1706444,Acero Chtr - SPC Zizumbo Elem,Chicago,IL ,60632,Elementary,532,459,16.63,,,,,,,267982,2037081
1706836,ACHIEVE Program,East Moline,IL ,61244,Not Reported,,,,,,,,,,267982,2037081
1706352,ACTIONS Program,Champaign,IL ,61820,Other,0,,0,,,,,,,267982,2037081
1705082,Adams Co Juvenile Detention Cntr,Quincy,IL ,62305,High,0,,0,,,,,,,267982,2037081
1706022,Adams County RSSP,Quincy,IL ,62301,High,0,,0,,,,,,,267982,2037081
1702536,Adams Elem School,Lincoln,IL ,62656,Elementary,57,33,7.08,17-054-0270-02-2003,,Title 1 Targeted,103,,,267982,2037081
1702662,Adams School,Creal Springs,IL ,62922,Elementary,283,120,11.32,21-100-0020-26-2003,Targeted,Title 1 Schoolwide,283,,,267982,2037081
1700884,Addams Elem School,Chicago,IL ,60617,Elementary,544,426,13.77,15-016-2990-25-2051,Targeted,Title 1 Schoolwide,542,,,267982,2037081
1706390,Addison Early Learning Center,Addison,IL ,60101,Prekindergarten,190,128,14.62,19-022-0040-02-3002,,Title 1 Schoolwide,190,,,267982,2037081
1701737,Addison Trail High School,Addison,IL ,60101,High,1847,1161,16.38,19-022-0880-16-0001,Commendable,Title 1 Schoolwide,1839,,,267982,2037081
1703385,Adlai E Stevenson High School,Lincolnshire,IL ,60069,High,4758,,15.99,34-049-1250-13-0001,Commendable,Title 1 Targeted,4719,,,267982,2037081
1703631,Adlai Stevenson Elem School,Elk Grove Village,IL ,60007,Elementary,513,,10.15,05-016-0540-04-2028,Commendable,Title 1 Targeted,513,,,267982,2037081
1705318,Adler Park School,Libertyville,IL ,60048,Elementary,238,,11.11,34-049-0700-02-2007,Exemplary,Title 1 Eligible but Not Served,233,,,267982,2037081
1701713,Adm Richard E Byrd Elem School,Elk Grove Village,IL ,60007,Elementary,301,241,9.8,05-016-0590-04-2002,Commendable,Title 1 Schoolwide,291,,,267982,2037081
1703632,Adolph Link Elem School,Elk Grove Village,IL ,60007,Elementary,652,,14.08,05-016-0540-04-2023,Commendable,Title 1 Ineligible Due to Ranking,651,,,267982,2037081
1706578,Adult LIFE Academy,Mattoon,IL ,61938,Not Reported,,,,,,,,,,267982,2037081
1706893,A.E.R.O. Therapeutic Center,Burbank,IL ,60459,Not Reported,,,,,,,,,,267982,2037081
1703491,A F Ames Elem School,Riverside,IL ,60546,Elementary,482,151,15.45,06-016-0960-02-2001,Commendable,Title 1 Targeted,466,,,267982,2037081
1706055,Air Force Acad High School,Chicago,IL ,60609,High,131,115,7.38,15-016-2990-25-0848,Commendable,Title 1 Schoolwide,130,,,267982,2037081
1704814,A J Katzenmaier Academy,North Chicago,IL ,60064,Elementary,387,385,14.88,34-049-1870-26-2008,Comprehensive,Title 1 Schoolwide,376,,,267982,2037081
1700014,Akin Comm Cons Elem School,Akin,IL ,62890,Elementary,124,68,10.83,21-028-0910-04-2001,Commendable,Title 1 Schoolwide,124,,,267982,2037081
1700350,Alan B Shepard Elem School,Bourbonnais,IL ,60914,Elementary,483,297,15.56,32-046-0530-02-2003,Commendable,Title 1 Schoolwide,473,,,267982,2037081
