source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
01-009-2620-26-2001,A-C Central Elementary School,IL,CHANDLERVILLE,140115,A-C Central High School,ASHLAND,87.8048780487805,73.07692307692308,False,review,True
01-009-2620-26-0002,A-C Central High School,IL,ASHLAND,140115,A-C Central High School,ASHLAND,100.0,100.0,True,auto_accept,False
01-009-2620-26-1002,A-C Central Middle School,IL,ASHLAND,140115,A-C Central High School,ASHLAND,87.8048780487805,83.33333333333334,True,review,True
33-048-2760-26-0001,Abingdon-Avon High Sch,IL,ABINGDON,140021,Abingdon-Avon High School,ABINGDON,93.61702127659575,93.61702127659575,True,auto_accept,False
33-048-2760-26-1001,Abingdon-Avon Middle Sch,IL,AVON,140021,Abingdon-Avon High School,ABINGDON,77.55102040816327,77.55102040816327,False,reject,False
33-048-2760-26-2002,Avon Elem Sch,IL,AVON,140046,Allendale School,LAKE VILLA,55.172413793103445,55.172413793103445,False,reject,False
33-048-2760-26-2001,Hedding Grade Sch,IL,ABINGDON,142165,Gridley HS,GRIDLEY,66.66666666666666,66.66666666666667,False,reject,False
15-016-9020-25-201C,ACE Amandla Charter School,IL,CHICAGO,140626,Amandla Charter School,CHICAGO,100.0,91.66666666666666,True,auto_accept,False
19-022-0040-02-3002,Addison Early Learning Center,IL,ADDISON,143996,Stelle Learning Center,STELLE,81.08108108108108,58.82352941176471,False,reject,False
19-022-0040-02-2011,Ardmore Elem School,IL,ADDISON,141844,Cove School,NORTHBROOK,70.58823529411765,60.0,False,reject,False
19-022-0040-02-2002,Army Trail Elem School,IL,ADDISON,140003,Addison Trail High School,ADDISON,70.58823529411765,63.829787234042556,True,reject,False
19-022-0040-02-2003,Fullerton Elem School,IL,ADDISON,141844,Cove School,NORTHBROOK,70.58823529411765,50.0,False,reject,False
19-022-0040-02-1009,Indian Trail Jr High School,IL,ADDISON,143880,Indian Creek High School,SHABBONA,85.71428571428571,70.58823529411764,False,review,True
19-022-0040-02-2004,Lake Park Elem School,IL,ADDISON,142852,Lake Park HS-District 108,ROSELLE,86.48648648648648,61.81818181818181,False,reject,False
19-022-0040-02-2005,Lincoln Elem School,IL,ADDISON,142625,Lincoln Community High School,LINCOLN,84.84848484848484,66.66666666666667,False,review,True
19-022-0040-02-2010,Stone Elem School,IL,ADDISON,143800,Saint Elmo High School,ST. ELMO,72.22222222222223,72.22222222222221,False,reject,False
19-022-0040-02-2008,Wesley Elem School,IL,ADDISON,141844,Cove School,NORTHBROOK,70.58823529411765,55.172413793103445,False,reject,False
34-049-1250-13-0001,Adlai E Stevenson High School,IL,LINCOLNSHIRE,143550,Adlai E Stevenson High School,LINCOLNSHIRE,100.0,100.0,True,auto_accept,False
21-028-0910-04-2001,Akin Comm Cons Elem School,IL,AKIN,141844,Cove School,NORTHBROOK,70.58823529411765,54.054054054054056,False,reject,False
13-014-0630-02-2001,Albers Elem School,IL,ALBERS,142374,Liberty Valley School,JOLIET,71.7948717948718,56.41025641025641,False,reject,False
44-063-0190-24-2001,Alden Hebron Elem School,IL,HEBRON,142225,Alden Hebron High School,HEBRON,88.37209302325581,79.16666666666666,True,review,True
