destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,13-058-1350-02-3001,School,Centralia Pre-Kindergarten Ctr,,Centralia,Marion,Elementary District,Special School,PK,,,Title 1 Eligible but Not Served,55,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,15-016-2990-25-0053,School,Disney II Magnet HS,,Chicago,Cook,Unit District,High School,7 - 12,Commendable,All Students,Title 1 Ineligible Due to Ranking,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,65-108-9030-80-0001,School,Illinois Mathematics and Science Academy,,Aurora,State Of Illinois,Administrative Agent,High School,10 - 12,,,Not a Participant in Title One Program,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,15-016-2990-25-0855,School,Ogden Int High School,,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Ineligible Due to Ranking,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,07-016-1520-02-3001,School,Riley Early Childhood Center,,Harvey,Cook,Elementary District,Special School,,,,Title 1 Ineligible Due to Ranking,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,65-108-9010-80-2001,School,Thomas Metcalf School,,Normal,State Of Illinois,Administrative Agent,Elementary School,PK - 8,,,Not a Participant in Title One Program,46,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,65-108-9010-80-0001,School,University High School,,Normal,State Of Illinois,Administrative Agent,High School,9 - 12,,,Not a Participant in Title One Program,46,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,65-108-9020-80-0001,School,University of Illinois High Sch,,Urbana,State Of Illinois,Administrative Agent,High School,7 - 12,,,Not a Participant in Title One Program,52,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,01-009-2620-26-2001,School,A-C Central Elementary School,A-C Central CUSD 262,Chandlerville,Cass,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Targeted,50,99,,,122,369.94,6530.36,6900.3,522.66,9881.58,10404.24,892.6,16411.94,17304.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,01-009-2620-26-0002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,50,99,,,94,256.36,9173.76,9430.12,522.66,9881.58,10404.24,779.02,19055.34,19834.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,01-009-2620-26-1002,School,A-C Central Middle School,A-C Central CUSD 262,Ashland,Cass,Unit District,Middle/Junior High School,5 - 8,Commendable,All Students,Title 1 Targeted,50,99,,,89,25.49,5307.76,5333.26,522.66,9881.58,10404.24,548.15,15189.34,15737.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,33-048-2760-26-0001,School,Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,47,94,,,267,0,9923.41,9923.41,471.97,4987.32,5459.29,471.97,14910.73,15382.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,33-048-2760-26-1001,School,Abingdon-Avon Middle Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,47,94,,,204.6,145.65,10805.32,10950.98,471.97,4987.32,5459.29,617.63,15792.64,16410.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,33-048-2760-26-2002,School,Avon Elem Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Elementary School,PK - 1,,,Title 1 Schoolwide,47,94,,,47.5,29.56,10143.53,10173.1,471.97,4987.32,5459.29,501.54,15130.85,15632.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,33-048-2760-26-2001,School,Hedding Grade Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,Elementary School,PK - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,47,94,,,376.15,20.98,10242.39,10263.37,471.97,4987.32,5459.29,492.96,15229.71,15722.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
