destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,pct_isa_proficiency,pct_isa_proficiency_male,pct_isa_proficiency_female,pct_isa_proficiency_non_binary,pct_isa_proficiency_white,pct_isa_proficiency_black_or_african_american,pct_isa_proficiency_hispanic_or_latino,pct_isa_proficiency_asian,pct_isa_proficiency_native_hawaiian_or_other_pacific_islander,pct_isa_proficiency_american_indian_or_alaska_native,pct_isa_proficiency_two_or_more_races,pct_isa_proficiency_mena,pct_isa_proficiency_children_with_disabilities,pct_isa_proficiency_iep,pct_isa_proficiency_el,pct_isa_proficiency_low_income,pct_isa_proficiency_youth_in_care,pct_isa_proficiency_homeless,pct_isa_proficiency_migrant,pct_isa_proficiency_military,pct_isa_proficiency_grade_5,pct_isa_proficiency_grade_5_male,pct_isa_proficiency_grade_5_female,pct_isa_proficiency_grade_5_non_binary,pct_isa_proficiency_grade_5_white,pct_isa_proficiency_grade_5_black_or_african_american,pct_isa_proficiency_grade_5_hispanic_or_latino,pct_isa_proficiency_grade_5_asian,pct_isa_proficiency_grade_5_native_hawaiian_or_other_pacific_is,pct_isa_proficiency_grade_5_american_indian_or_alaska_native,pct_isa_proficiency_grade_5_two_or_more_races,pct_isa_proficiency_grade_5_mena,pct_isa_proficiency_grade_5_children_with_disabilities,pct_isa_proficiency_grade_5_iep,pct_isa_proficiency_grade_5_el,pct_isa_proficiency_grade_5_low_income,pct_isa_proficiency_grade_5_youth_in_care,pct_isa_proficiency_grade_5_homeless,pct_isa_proficiency_grade_5_migrant,pct_isa_proficiency_grade_5_military,pct_isa_proficiency_grade_8,pct_isa_proficiency_grade_8_male,pct_isa_proficiency_grade_8_female,pct_isa_proficiency_grade_8_non_binary,pct_isa_proficiency_grade_8_white,pct_isa_proficiency_grade_8_black_or_african_american,pct_isa_proficiency_grade_8_hispanic_or_latino,pct_isa_proficiency_grade_8_asian,pct_isa_proficiency_grade_8_native_hawaiian_or_other_pacific_is,pct_isa_proficiency_grade_8_american_indian_or_alaska_native,pct_isa_proficiency_grade_8_two_or_more_races,pct_isa_proficiency_grade_8_mena,pct_isa_proficiency_grade_8_children_with_disabilities,pct_isa_proficiency_grade_8_iep,pct_isa_proficiency_grade_8_el,pct_isa_proficiency_grade_8_low_income,pct_isa_proficiency_grade_8_youth_in_care,pct_isa_proficiency_grade_8_homeless,pct_isa_proficiency_grade_8_migrant,pct_isa_proficiency_grade_8_military,pct_isa_participation,pct_isa_participation_male,pct_isa_participation_female,pct_isa_participation_non_binary,pct_isa_participation_white,pct_isa_participation_black_or_african_american,pct_isa_participation_hispanic_or_latino,pct_isa_participation_asian,pct_isa_participation_native_hawaiian_or_other_pacific_islander,pct_isa_participation_american_indian_or_alaska_native,pct_isa_participation_two_or_more_races,pct_isa_participation_mena,pct_isa_participation_children_with_disabilities,pct_isa_participation_iep,pct_isa_participation_el,pct_isa_participation_low_income,pct_isa_participation_youth_in_care,pct_isa_participation_homeless,pct_isa_participation_migrant,pct_isa_participation_military,pct_isa_participation_grade_5,pct_isa_participation_grade_5_male,pct_isa_participation_grade_5_female,pct_isa_participation_grade_5_non_binary,pct_isa_participation_grade_5_white,pct_isa_participation_grade_5_black_or_african_american,pct_isa_participation_grade_5_hispanic_or_latino,pct_isa_participation_grade_5_asian,pct_isa_participation_grade_5_native_hawaiian_or_other_pacific_,pct_isa_participation_grade_5_american_indian_or_alaska_native,pct_isa_participation_grade_5_two_or_more_races,pct_isa_participation_grade_5_mena,pct_isa_participation_grade_5_children_with_disabilities,pct_isa_participation_grade_5_iep,pct_isa_participation_grade_5_el,pct_isa_participation_grade_5_low_income,pct_isa_participation_grade_5_youth_in_care,pct_isa_participation_grade_5_homeless,pct_isa_participation_grade_5_migrant,pct_isa_participation_grade_5_military,pct_isa_participation_grade_8,pct_isa_participation_grade_8_male,pct_isa_participation_grade_8_female,pct_isa_participation_grade_8_non_binary,pct_isa_participation_grade_8_white,pct_isa_participation_grade_8_black_or_african_american,pct_isa_participation_grade_8_hispanic_or_latino,pct_isa_participation_grade_8_asian,pct_isa_participation_grade_8_native_hawaiian_or_other_pacific_,pct_isa_participation_grade_8_american_indian_or_alaska_native,pct_isa_participation_grade_8_two_or_more_races,pct_isa_participation_grade_8_mena,pct_isa_participation_grade_8_children_with_disabilities,pct_isa_participation_grade_8_iep,pct_isa_participation_grade_8_el,pct_isa_participation_grade_8_low_income,pct_isa_participation_grade_8_youth_in_care,pct_isa_participation_grade_8_homeless,pct_isa_participation_grade_8_migrant,pct_isa_participation_grade_8_military
ISA1,65-000-0000-80-0000,Statewide,,,,,,,,43.0,43.8,42.2,72.9,56.2,18.4,29.4,71.4,50.0,33.2,46.6,41.2,22.4,12.8,11.6,26.6,17.0,17.2,13.5,47.9,40.6,41.8,39.3,70.0,53.5,16.8,26.9,67.6,50.0,30.5,44.8,33.5,21.1,13.4,10.3,24.4,15.8,15.5,3.6,45.7,45.4,45.7,45.1,74.0,58.9,20.1,31.7,75.0,50.0,36.1,48.5,47.5,23.8,12.2,12.9,28.7,18.5,18.9,25.0,50.2,98.5,98.5,98.5,96.0,98.8,97.6,98.6,99.1,98.7,98.2,98.2,99.0,97.2,96.9,98.3,98.2,92.7,95.5,96.3,98.9,98.9,98.9,98.9,100.0,99.2,98.1,98.9,99.1,99.0,98.4,98.7,98.9,98.0,97.7,98.6,98.7,95.5,96.3,95.5,99.1,98.2,98.2,98.1,94.3,98.4,97.1,98.3,99.0,98.4,97.9,97.7,99.0,96.4,95.9,98.1,97.7,89.6,94.8,97.3,98.6
ISA1,01-009-2620-26-0000,District,,A-C Central CUSD 262,Ashland,Cass,Unit District,,,31.0,33.3,29.2,,30.8,,*,,,,*,,*,*,,21.1,,,,,33.3,45.5,20.0,,35.0,,,,,,*,,*,*,,*,,,,,28.6,*,35.7,,26.3,,*,,,,*,,*,*,,25.0,,,,,95.5,94.7,96.0,,95.1,,*,,,,*,,*,*,,90.5,,*,,,95.5,100.0,90.9,,95.2,,,,,,*,,*,*,,*,,,,,95.5,*,100.0,,95.0,,*,,,,*,,*,*,,92.3,,*,,
ISA1,01-009-2620-26-2001,School,A-C Central Elementary School,A-C Central CUSD 262,Chandlerville,Cass,Unit District,Elementary School,PK - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISA1,01-009-2620-26-0002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISA1,01-009-2620-26-1002,School,A-C Central Middle School,A-C Central CUSD 262,Ashland,Cass,Unit District,Middle/Junior High School,5 - 8,31.0,33.3,29.2,,30.8,,*,,,,*,,*,*,,21.1,,,,,33.3,45.5,20.0,,35.0,,,,,,*,,*,*,,*,,,,,28.6,*,35.7,,26.3,,*,,,,*,,*,*,,25.0,,,,,95.5,94.7,96.0,,95.1,,*,,,,*,,*,*,,90.5,,*,,,95.5,100.0,90.9,,95.2,,,,,,*,,*,*,,*,,,,,95.5,*,100.0,,95.0,,*,,,,*,,*,*,,92.3,,*,,
ISA1,33-048-2760-26-0000,District,,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,,,37.1,37.9,36.2,,41.3,*,*,,,,16.7,,0.0,0.0,,26.1,*,*,,*,46.7,46.4,46.9,,51.0,*,*,,,,*,,0.0,0.0,,27.6,*,*,,*,28.1,31.6,23.1,,32.1,,*,,,,*,,0.0,0.0,,25.0,*,,,*,98.4,98.5,98.3,,98.1,*,*,,,,100.0,,96.6,96.6,,97.2,*,*,,*,100.0,100.0,100.0,,100.0,*,*,,,,*,,100.0,100.0,,100.0,*,*,,*,97.0,97.4,96.3,,96.4,,*,,,,*,,94.1,94.1,,95.2,*,,,*
ISA1,33-048-2760-26-0001,School,Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISA1,33-048-2760-26-1001,School,Abingdon-Avon Middle Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Middle/Junior High School,6 - 8,28.4,30.0,25.9,,32.1,,*,,,,*,,0.0,0.0,,25.6,*,,,*,,,,,,,,,,,,,,,,,,,,,28.1,31.6,23.1,,32.1,,*,,,,*,,0.0,0.0,,25.0,*,,,*,97.1,97.6,96.4,,96.6,,*,,,,*,,94.4,94.4,,95.6,*,,,*,,,,,,,,,,,,,,,,,,,,,97.0,97.4,96.3,,96.4,,*,,,,*,,94.1,94.1,,95.2,*,,,*
ISA1,33-048-2760-26-2002,School,Avon Elem Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Elementary School,PK - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISA1,33-048-2760-26-2001,School,Hedding Grade Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,Elementary School,PK - 5,47.4,50.0,45.2,,52.1,*,*,,,,*,,0.0,0.0,,26.9,*,*,,*,47.4,50.0,45.2,,52.1,*,*,,,,*,,0.0,0.0,,26.9,*,*,,*,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,100.0,*,*,,,,*,,100.0,100.0,,100.0,*,*,,*,100.0,100.0,100.0,,100.0,*,*,,,,*,,100.0,100.0,,100.0,*,*,,*,,,,,,,,,,,,,,,,,,,,
