destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,percent_of_kindergartners_rated_on_14_required_measures,percent_of_kindergartners_demonstrating_readiness_in_zero_devel,percent_of_kindergartners_demonstrating_readiness_in_one_develo,percent_of_kindergartners_demonstrating_readiness_in_two_develo,percent_of_kindergartners_demonstrating_readiness_in_all_three_,percent_of_kindergartners_demonstrating_readiness_in_all_thre_1,percent_of_kindergartners_demonstrating_readiness_in_all_thre_2,percent_of_kindergartners_demonstrating_readiness_in_all_thre_3,percent_of_kindergartners_demonstrating_readiness_in_all_thre_4,percent_of_kindergartners_demonstrating_readiness_in_all_thre_5,percent_of_kindergartners_demonstrating_readiness_in_all_thre_6,percent_of_kindergartners_demonstrating_readiness_in_all_thre_7,percent_of_kindergartners_demonstrating_readiness_in_all_thre_8,percent_of_kindergartners_demonstrating_readiness_in_all_thre_9,percent_of_kindergartners_demonstrating_readiness_in_all_thr_10,percent_of_kindergartners_demonstrating_readiness_in_all_thr_11,percent_of_kindergartners_demonstrating_readiness_in_all_thr_12,percent_of_kindergartners_demonstrating_readiness_in_all_thr_13,percent_of_kindergartners_demonstrating_readiness_in_all_thr_14,percent_of_kindergartners_demonstrating_readiness_in_all_thr_15,percent_of_kindergartners_demonstrating_readiness_in_all_thr_16,percent_of_kindergartners_demonstrating_readiness_in_social_and,percent_of_kindergartners_demonstrating_readiness_in_language_a,percent_of_kindergartners_demonstrating_readiness_in_math
KIDS1,01-009-2620-26-2001,School,A-C Central Elementary School,A-C Central CUSD 262,Chandlerville,Cass,Unit District,Elementary School,PK - 4,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,01-009-2620-26-0002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,01-009-2620-26-1002,School,A-C Central Middle School,A-C Central CUSD 262,Ashland,Cass,Unit District,Middle/Junior High School,5 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,33-048-2760-26-0001,School,Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,33-048-2760-26-1001,School,Abingdon-Avon Middle Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,33-048-2760-26-2002,School,Avon Elem Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Elementary School,PK - 1,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,33-048-2760-26-2001,School,Hedding Grade Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,Elementary School,PK - 5,78.6,,,,54.5,60.7,,*,,,,*,,55,,,*,*,,52.4,,69.7,66.7,57.6
KIDS1,15-016-9020-25-201C,School,ACE Amandla Charter School,ACE Amandla Charter School,Chicago,Cook,Unit District,Elementary School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,19-022-0040-02-3002,School,Addison Early Learning Center,Addison SD 4,Addison,Dupage,Elementary District,Special School,PK,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,19-022-0040-02-2011,School,Ardmore Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,95.5,33.3,47.6,,,,,*,*,,,,,,,,*,*,*,*,,66.7,,
KIDS1,19-022-0040-02-2002,School,Army Trail Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,97.7,45.2,28.6,,,,*,*,*,,*,*,,,,,*,*,*,*,,50,,28.6
KIDS1,19-022-0040-02-2003,School,Fullerton Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,98,36.7,30.6,,,,*,*,*,,,*,,,,,*,*,*,*,*,57.1,30.6,26.5
KIDS1,19-022-0040-02-1009,School,Indian Trail Jr High School,Addison SD 4,Addison,Dupage,Elementary District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,19-022-0040-02-2004,School,Lake Park Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,100,,27,29.7,,,*,*,*,,,,,,,,*,*,*,*,*,73,48.6,
KIDS1,19-022-0040-02-2005,School,Lincoln Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,96.1,46.9,,,24.5,,,25.0,,,,*,,32.3,,,*,*,*,*,,49,30.6,32.7
KIDS1,19-022-0040-02-2010,School,Stone Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,92.3,43.3,,,45,40,,50.0,*,,*,*,,51.5,37,,*,*,*,41.9,*,55,50,48.3
KIDS1,19-022-0040-02-2008,School,Wesley Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,100,37,40.7,,,,*,*,*,,,*,,,,,*,*,*,*,*,63,,
KIDS1,34-049-1250-13-0001,School,Adlai E Stevenson High School,Adlai E Stevenson HSD 125,Lincolnshire,Lake,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,21-028-0910-04-2001,School,Akin Comm Cons Elem School,Akin CCSD 91,Akin,Franklin,Elementary District,Elementary School,K - 8,,,,,,,,,,,,,,,,,,,,*,*,,,
KIDS1,13-014-0630-02-2001,School,Albers Elem School,Albers SD 63,Albers,Clinton,Elementary District,Elementary School,PK - 8,100,,,55,,,,,,,,*,,,,,*,*,,*,,75,65,
KIDS1,44-063-0190-24-2001,School,Alden Hebron Elem School,Alden Hebron SD 19,Hebron,McHenry,Unit District,Elementary School,PK - 5,100,85.7,,,,,,*,,,,,,,,,*,*,*,*,,,,
KIDS1,44-063-0190-24-0002,School,Alden-Hebron High School,Alden Hebron SD 19,Hebron,McHenry,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,44-063-0190-24-1001,School,Alden-Hebron Middle School,Alden Hebron SD 19,Hebron,McHenry,Unit District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,35-050-0650-04-2001,School,Ransom Grade School,Allen-Otter Creek CCSD 65,Ransom,La Salle,Elementary District,Elementary School,K - 8,,,,,,,,*,,,,,,,,,*,*,,*,,,,
KIDS1,20-093-0170-24-2001,School,Allendale Elementary School,Allendale CCSD 17,Allendale,Wabash,Unit District,Elementary School,PK - 8,,,,,,,,,,,,*,,,,,*,*,,*,*,,,
KIDS1,07-016-1260-02-3001,School,District 126 Early Childhood Center,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Special School,PK,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-1260-02-2001,School,Hazelgreen Elem School,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Elementary School,K - 6,100,55.2,,,,,*,*,*,,,,,,,,*,*,*,*,,37.9,,
KIDS1,07-016-1260-02-2002,School,Lane Elem School,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Elementary School,K - 6,94.3,33.3,36.4,,,,*,*,*,,,*,,,,,*,*,*,*,,60.6,30.3,
KIDS1,07-016-1260-02-1005,School,Prairie Jr High School,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Middle/Junior High School,7 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-1260-02-2004,School,Stony Creek Elem School,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Elementary School,K - 6,96.4,43.8,13.8,13.8,28.8,,*,23.4,*,,,*,*,36.6,,,*,*,*,*,,53.8,43.8,30
KIDS1,03-025-0100-26-2002,School,Altamont Grade School,Altamont CUSD 10,Altamont,Effingham,Unit District,Elementary School,PK - 8,93.2,53.7,,,,,,*,,,,*,,,,,*,*,,*,*,24.4,34.1,26.8
KIDS1,03-025-0100-26-0001,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,41-057-0110-26-0001,School,Alton High School,Alton CUSD 11,Alton,Madison,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,41-057-0110-26-1006,School,Alton Middle School,Alton CUSD 11,Alton,Madison,Unit District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,41-057-0110-26-3004,School,Early Childhood,Alton CUSD 11,Godfrey,Madison,Unit District,Special School,PK,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,41-057-0110-26-2029,School,East Elementary School,Alton CUSD 11,Alton,Madison,Unit District,Elementary School,3 - 5,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,41-057-0110-26-2007,School,Eunice Smith Elem School,Alton CUSD 11,Alton,Madison,Unit District,Elementary School,K - 2,95.7,31.3,16.4,14.9,37.3,41.7,*,*,,,,*,,35.3,39.4,,*,*,*,34.1,*,65.7,53.7,38.8
KIDS1,41-057-0110-26-2010,School,Gilson Brown Elem School,Alton CUSD 11,Godfrey,Madison,Unit District,Elementary School,K - 1,100,50,19,15.5,15.5,31.4,*,*,,,,*,,,,,*,*,,*,*,47.6,32.1,16.7
KIDS1,41-057-0110-26-2015,School,Lewis & Clark Elem School,Alton CUSD 11,Godfrey,Madison,Unit District,Elementary School,K - 1,96.4,31.1,27.4,23.6,17.9,21.6,*,*,,,,*,,16.7,,,*,*,*,*,*,65.1,43.4,19.8
KIDS1,41-057-0110-26-2024,School,Lovejoy Elem School,Alton CUSD 11,Alton,Madison,Unit District,Elementary School,K - 2,98.8,48.8,,18.3,22,,*,*,,,,*,,,21.6,,*,*,*,*,*,46.3,39,28
KIDS1,41-057-0110-26-2030,School,North Elementary School,Alton CUSD 11,Godfrey,Madison,Unit District,Elementary School,2 - 5,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,41-057-0110-26-2028,School,West Elementary School,Alton CUSD 11,Alton,Madison,Unit District,Elementary School,2 - 5,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,28-037-2250-26-0001,School,AlWood  Middle/High School,AlWood CUSD 225,Woodhull,Henry,Unit District,High School,6 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,28-037-2250-26-2003,School,AlWood Elem School,AlWood CUSD 225,Alpha,Henry,Unit District,Elementary School,PK - 5,100,,,,60,60,,,,,,,,,,,*,*,,*,,75,75,65
KIDS1,47-052-2720-26-2003,School,Amboy Central Elem School,Amboy CUSD 272,Amboy,Lee,Unit District,Elementary School,PK - 4,100,44,20,,30,32.6,,*,,,,,,,,,*,*,,*,*,52,36,34
KIDS1,47-052-2720-26-0001,School,Amboy High School,Amboy CUSD 272,Amboy,Lee,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,47-052-2720-26-1002,School,Amboy Jr High School,Amboy CUSD 272,Amboy,Lee,Unit District,Middle/Junior High School,5 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,30-091-0370-04-1001,School,Anna Junior High School,Anna CCSD 37,Anna,Union,Elementary District,Middle/Junior High School,5 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,30-091-0370-04-2002,School,Davie Elem School,Anna CCSD 37,Anna,Union,Elementary District,Elementary School,3 - 4,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,30-091-0370-04-2003,School,Lincoln Elem School,Anna CCSD 37,Anna,Union,Elementary District,Elementary School,PK - 2,98.4,59.7,,,17.7,17.9,,*,,,,*,,,,,*,*,,*,*,32.3,32.3,22.6
KIDS1,30-091-0810-16-0001,School,Anna-Jonesboro High School,Anna Jonesboro CHSD 81,Anna,Union,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,28-037-2260-26-2002,School,Annawan Grade School,Annawan CUSD 226,Annawan,Henry,Unit District,Elementary School,PK - 8,100,,,,68.2,66.7,,,,,*,,,,,,*,*,,*,,77.3,81.8,77.3
KIDS1,28-037-2260-26-0001,School,Annawan High School,Annawan CUSD 226,Annawan,Henry,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,34-049-0340-04-1002,School,Antioch Upper Grade School,Antioch CCSD 34,Antioch,Lake,Elementary District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,34-049-0340-04-2006,School,Hillcrest Elementary School,Antioch CCSD 34,Antioch,Lake,Elementary District,Elementary School,K - 5,100,29.9,13.8,20.7,35.6,41.4,*,*,*,*,,*,,29.2,43.6,,*,*,*,*,*,67.8,57.5,36.8
KIDS1,34-049-0340-04-3001,School,Mary Kay McNeill Early Learning Center,Antioch CCSD 34,Antioch,Lake,Elementary District,Special School,PK,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,34-049-0340-04-2004,School,Oakland Elementary School,Antioch CCSD 34,Lake Villa,Lake,Elementary District,Elementary School,K - 5,93.8,52,22.7,20,,,*,*,*,,,*,,,,,*,*,*,*,,42.7,28,
KIDS1,34-049-0340-04-2005,School,W C Petty Elementary School,Antioch CCSD 34,Antioch,Lake,Elementary District,Elementary School,K - 5,100,41.5,40,,,,*,*,*,,,*,,,,,*,*,*,*,,56.9,16.9,
KIDS1,34-049-1020-04-1002,School,Aptakisic Junior High School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,34-049-1020-04-2002,School,Earl Pritchett School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,Elementary School,K - 3,91.1,16.7,29.2,26.4,27.8,,*,*,23.8,,,*,,29.7,,,*,*,*,*,,79.2,55.6,30.6
KIDS1,34-049-1020-04-2005,School,Meridian School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,Elementary School,PK - 5,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,34-049-1020-04-2003,School,Tripp School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,Elementary School,K - 3,94.9,16.1,23.7,19.4,40.9,,*,*,57.1,*,,*,,51.2,32,,*,*,25.0,*,,77.4,59.1,48.4
KIDS1,07-016-1450-02-2004,School,Arbor Elementary School,Arbor Park SD 145,Oak Forest,Cook,Elementary District,Elementary School,1 - 2,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-1450-02-1001,School,Arbor Park Middle School,Arbor Park SD 145,Oak Forest,Cook,Elementary District,Middle/Junior High School,5 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-1450-02-2002,School,Kimberly Heights Elementary School,Arbor Park SD 145,Tinley Park,Cook,Elementary District,Elementary School,PK - K,48.8,59.3,,,20.3,,*,*,*,,*,*,,,,,*,*,*,*,*,40.7,27.1,23.7
KIDS1,07-016-1450-02-2003,School,Scarlet Oak Elementary School,Arbor Park SD 145,Oak Forest,Cook,Elementary District,Elementary School,3 - 4,,,,,,,,,,,,,,,,,,,,,,,,
