year,state,avg_scale_score,grade,subject
2024,National,273.833456014299,8,math
2024,Alabama,261.769896296059,8,math
2024,Alaska,263.962652757225,8,math
2024,Arizona,269.656164092934,8,math
2024,Arkansas,266.194833728906,8,math
2024,California,268.779817602202,8,math
2024,Colorado,278.107689530909,8,math
2024,Connecticut,276.674248483695,8,math
2024,Delaware,263.057137020663,8,math
2024,District of Columbia,261.538791377155,8,math
2024,DoDEA,291.412155399847,8,math
2024,Florida,267.242907869627,8,math
2024,Georgia,268.65580533609,8,math
2024,Hawaii,270.041103022353,8,math
2024,Idaho,278.104478921394,8,math
2024,Illinois,277.416365661062,8,math
2024,Indiana,278.185063694114,8,math
2024,Iowa,274.823931474603,8,math
2024,Kansas,274.136728097293,8,math
2024,Kentucky,270.813300352469,8,math
2024,Louisiana,266.783263695595,8,math
2024,Maine,272.621883145892,8,math
2024,Maryland,268.213759837437,8,math
2024,Massachusetts,283.465558985794,8,math
2024,Michigan,269.978773980969,8,math
2024,Minnesota,282.087420612381,8,math
2024,Mississippi,269.060485008035,8,math
2024,Missouri,270.363197434814,8,math
2024,Montana,279.082095551632,8,math
2024,Nebraska,279.8834957478,8,math
2024,Nevada,265.177161678326,8,math
2024,New Hampshire,279.7446422881,8,math
2024,New Jersey,281.684697993032,8,math
2024,New Mexico,256.210854081077,8,math
2024,New York,270.851723995752,8,math
2024,North Carolina,275.821517956785,8,math
2024,North Dakota,279.765445425712,8,math
2024,Ohio,278.81272056262,8,math
2024,Oklahoma,264.454031154883,8,math
2024,Oregon,267.940475829647,8,math
2024,Pennsylvania,276.245914941856,8,math
2024,Puerto Rico,216.087040632243,8,math
2024,Rhode Island,269.826789466172,8,math
2024,South Carolina,268.006371115326,8,math
2024,South Dakota,281.101137171665,8,math
2024,Tennessee,275.982987568614,8,math
2024,Texas,269.393041368541,8,math
2024,Utah,281.79013940125,8,math
2024,Vermont,275.617660941484,8,math
2024,Virginia,274.988689820791,8,math
2024,Washington,273.665174159465,8,math
2024,West Virginia,260.769078185284,8,math
2024,Wisconsin,282.649633523366,8,math
2024,Wyoming,278.315324001753,8,math
2024,National,258.049833763416,8,reading
2024,Alabama,249.60009682329,8,reading
2024,Alaska,246.448911890448,8,reading
2024,Arizona,254.343065835469,8,reading
2024,Arkansas,254.774995307253,8,reading
2024,California,254.372086569589,8,reading
2024,Colorado,264.537032597706,8,reading
2024,Connecticut,263.097427626236,8,reading
2024,Delaware,249.451534365685,8,reading
2024,District of Columbia,251.297742017382,8,reading
2024,DoDEA,282.121900159531,8,reading
2024,Florida,252.857903224996,8,reading
2024,Georgia,259.326928809736,8,reading
2024,Hawaii,257.283562729771,8,reading
2024,Idaho,260.728544479058,8,reading
2024,Illinois,261.61991010845,8,reading
2024,Indiana,261.657813224993,8,reading
2024,Iowa,260.700823621737,8,reading
2024,Kansas,255.490124899527,8,reading
2024,Kentucky,257.999548306392,8,reading
2024,Louisiana,256.534204237025,8,reading
2024,Maine,255.04307191495,8,reading
2024,Maryland,258.323688032782,8,reading
2024,Massachusetts,268.01134585951,8,reading
2024,Michigan,255.062217154613,8,reading
2024,Minnesota,260.066146684754,8,reading
2024,Mississippi,253.466620687592,8,reading
2024,Missouri,255.280888010341,8,reading
2024,Montana,260.53233472843,8,reading
2024,Nebraska,256.132485931986,8,reading
2024,Nevada,253.286888821065,8,reading
2024,New Hampshire,263.913058116918,8,reading
2024,New Jersey,265.962586543416,8,reading
2024,New Mexico,245.055931705886,8,reading
2024,New York,256.867847392969,8,reading
2024,North Carolina,254.901868130391,8,reading
2024,North Dakota,257.390714797099,8,reading
2024,Ohio,260.420681003641,8,reading
2024,Oklahoma,248.787388013967,8,reading
2024,Oregon,254.829850771172,8,reading
2024,Pennsylvania,259.147392115949,8,reading
2024,Rhode Island,257.767653131533,8,reading
2024,South Carolina,253.687785775905,8,reading
2024,South Dakota,259.886371256103,8,reading
2024,Tennessee,258.965371035822,8,reading
2024,Texas,252.267112664857,8,reading
2024,Utah,261.193782118997,8,reading
2024,Vermont,257.283374473835,8,reading
2024,Virginia,256.257512495574,8,reading
2024,Washington,259.269118662247,8,reading
2024,West Virginia,247.360374392079,8,reading
2024,Wisconsin,260.090272594273,8,reading
2024,Wyoming,259.967322974106,8,reading
2024,National,146.94708804436,12,math
2024,National public,145.459552396084,12,math
2024,National,282.64806978515,12,reading
2024,National public,281.073241699367,12,reading
