source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review,final_tier,decision_source,CEEB_final
A1900008,BUILD UP COMMUNITY SCHOOL,AL,BIRMINGHAM,010630,Bibb County High School,CENTREVILLE,70.83333333333333,66.66666666666667,f,reject,f,reject,original_reject,
00000237,HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL,AL,BIRMINGHAM,011483,catholic high school,HUNTSVILLE,100,63.49206349206349,f,reject,f,reject,original_reject,
00000226,JOHN CARROLL CATHOLIC HIGH SCHOOL,AL,BIRMINGHAM,012093,Carroll High School,OZARK,100,73.07692307692308,f,review,t,reject,llm_claude_fable_5,
01925841,MCGILL-TOOLEN CATHOLIC HIGH SCHOOL,AL,MOBILE,011820,Mcgill-Toolen Catholic High School,MOBILE,100,100,t,auto_accept,f,accept,original_auto_accept,011820
A2100130,SOUTHERN CHRISTIAN PREPARATORY ACADEMY,AL,BIRMINGHAM,011869,alabama christian academy,MONTGOMERY,80.95238095238095,53.968253968253975,f,reject,f,reject,original_reject,
A9900007,ST JOHN PAUL II CATHOLIC HIGH SCHOOL,AL,HUNTSVILLE,011483,catholic high school,HUNTSVILLE,100,71.42857142857143,t,review,t,accept,rule_same_city_superset,011483
00047854,CATHOLIC HIGH SCHOOL FOR BOYS,AR,LITTLE ROCK,040130,Bay High School,BAY,84.61538461538461,63.63636363636363,f,reject,f,reject,original_reject,
00047978,MT ST MARY ACADEMY,AR,LITTLE ROCK,041440,mount st mary academy,LITTLE ROCK,100,100,t,auto_accept,f,accept,original_auto_accept,041440
A2390028,OUACHITA HILLS ACADEMY,AR,AMITY,041486,lisa academy high,LITTLE ROCK,66.66666666666666,66.66666666666667,f,reject,f,reject,original_reject,
00048971,OZARK ADVENTIST ACADEMY,AR,GENTRY,040880,ozark adventist academy,GENTRY,100,100,t,auto_accept,f,accept,original_auto_accept,040880
01926277,ARIZONA LUTHERAN ACADEMY,AZ,PHOENIX,030262,arizona lutheran academy,PHOENIX,100,100,t,auto_accept,f,accept,original_auto_accept,030262
00031425,BOURGADE CATHOLIC HIGH SCHOOL,AZ,PHOENIX,030264,bourgade catholic high school,PHOENIX,100,100,t,auto_accept,f,accept,original_auto_accept,030264
A2190036,JOHN PAUL II CATHOLIC HIGH SCHOOL,AZ,AVONDALE,030000,Ajo High School,AJO,84.61538461538461,58.33333333333333,f,reject,f,reject,original_reject,
A0300071,NOTRE DAME PREPARATORY,AZ,SCOTTSDALE,030392,Notre Dame Preparatory Hs,SCOTTSDALE,100,78.57142857142857,t,review,t,accept,rule_same_city_superset,030392
A0100609,PUSCH RIDGE CHRISTIAN ACADEMY UPPER SCHOOL,AZ,TUCSON,030422,spring ridge academy,SPRING VALLEY,78.78787878787878,54.83870967741935,f,reject,f,reject,original_reject,
00030942,SALPOINTE CATHOLIC HIGH SCHOOL,AZ,TUCSON,030510,salpointe catholic high school,TUCSON,100,100,t,auto_accept,f,accept,original_auto_accept,030510
A0500087,SAN MIGUEL HIGH SCHOOL,AZ,TUCSON,030602,san miguel high school,TUCSON,100,100,t,auto_accept,f,accept,original_auto_accept,030602
A2100209,SAN PEDRO VALLEY ACADEMY,AZ,HUACHUCA CITY,030244,East Valley Academy,MESA,84.84848484848484,79.06976744186046,f,review,t,reject,llm_claude_fable_5,
00031491,SETON CATHOLIC PREPARATORY,AZ,CHANDLER,030528,Tucson Preparatory School,TUCSON,78.43137254901961,62.745098039215684,f,reject,f,reject,original_reject,
A1170278,SHEARIM TORAH HIGH SCHOOL,AZ,PHOENIX,030000,Ajo High School,AJO,84.61538461538461,55.00000000000001,f,reject,f,reject,original_reject,
A0700055,ST AUGUSTINE CATHOLIC HIGH SCHOOL,AZ,TUCSON,030542,saint augustine catholic hs,TUCSON,100,100,t,auto_accept,f,accept,original_auto_accept,030542
00031301,ST MARY'S CATHOLIC HIGH SCHOOL,AZ,PHOENIX,030542,saint augustine catholic hs,TUCSON,86.79245283018868,73.01587301587303,f,review,t,reject,llm_claude_fable_5,
00033331,THUNDERBIRD ADVENTIST ACADEMY,AZ,SCOTTSDALE,030312,Thunderbird High School,PHOENIX,64.70588235294117,53.84615384615385,f,reject,f,reject,original_reject,
A9100470,VALLEY LUTHERAN HIGH SCHOOL,AZ,PHOENIX,030385,Valley High School,SANDERS,100,80,f,review,t,reject,llm_claude_fable_5,
00032156,VERDE VALLEY SCHOOL,AZ,SEDONA,030410,verde valley school,SEDONA,100,100,t,auto_accept,f,accept,original_auto_accept,030410
00031265,XAVIER COLLEGE PREPARATORY,AZ,PHOENIX,030295,Xavier College Prep,PHOENIX,84.84848484848484,84.44444444444444,t,review,t,accept,llm_claude_fable_5,030295
A1500117,YESHIVA HIGH SCHOOL OF ARIZONA,AZ,PHOENIX,030000,Ajo High School,AJO,84.61538461538461,62.22222222222222,f,reject,f,reject,original_reject,
A0300076,YUMA CATHOLIC HIGH SCHOOL,AZ,YUMA,030570,Yuma High School,YUMA,100,78.04878048780488,t,review,t,accept,rule_same_city_superset,030570
00077164,ACADEMY OF OUR LADY OF PEACE,CA,SAN DIEGO,052820,academy lady of peace,SAN DIEGO,100,85.71428571428572,t,auto_accept,f,accept,original_auto_accept,052820
A2300077,ALKAVAIN ACADEMY,CA,SAN RAMON,052931,Pal Academy,SAN BERNARDINO,77.77777777777777,74.07407407407408,f,reject,f,reject,original_reject,
00076706,AQUINAS HIGH SCHOOL,CA,SAN BERNARDINO,052772,aquinas high school,SAN BERNARDINO,100,100,t,auto_accept,f,accept,original_auto_accept,052772
01609418,ARCHBISHOP MITTY HIGH SCHOOL,CA,SAN JOSE,053078,archbishop mitty high school,SAN JOSE,100,100,t,auto_accept,f,accept,original_auto_accept,053078
00072596,ARCHBISHOP RIORDAN HIGH SCHOOL,CA,SAN FRANCISCO,053000,archbishop riordan high school,SAN FRANCISCO,100,100,t,auto_accept,f,accept,original_auto_accept,053000
BB220040,BAIS YAAKOV MACHON,CA,LOS ANGELES,052695,branson school,ROSS,50,50,f,reject,f,reject,original_reject,
A9100696,BAKERSFIELD CHRISTIAN HIGH SCHOOL,CA,BAKERSFIELD,050205,Bakersfield High School,BAKERSFIELD,100,82.14285714285714,t,auto_accept,f,accept,original_auto_accept,050205
