pss_school_id,pss_inst,lograde,higrade,pss_address,pss_city,pss_county_no,pss_county_fips,pss_stabb,pss_fips,pss_zip5,pss_phone,pss_sch_days,pss_stu_day_hrs,pss_library,pss_enroll_ug,pss_enroll_pk,pss_enroll_k,pss_enroll_1,pss_enroll_2,pss_enroll_3,pss_enroll_4,pss_enroll_5,pss_enroll_6,pss_enroll_7,pss_enroll_8,pss_enroll_9,pss_enroll_10,pss_enroll_11,pss_enroll_12,pss_enroll_t,pss_enroll_tk12,pss_race_ai,pss_race_as,pss_race_h,pss_race_b,pss_race_w,pss_race_p,pss_race_2,pss_fte_teach,pss_locale,pss_coed,pss_type,pss_level,pss_relig,pss_comm_type,pss_indian_pct,pss_asian_pct,pss_hisp_pct,pss_black_pct,pss_white_pct,pss_pacisl_pct,pss_twomore_pct,pss_stdtch_rt,pss_orient,pss_county_name,pss_assoc_1,pss_assoc_2,pss_assoc_3,pss_assoc_4,pss_assoc_5,pss_assoc_6,pss_assoc_7,pss_assoc_8,pss_assoc_9,pss_assoc_10,pss_assoc_11,pss_assoc_12,pss_assoc_13,pss_assoc_14,pss_assoc_15,source_file
A0700688,ACADEME OF THE OAKS,14,17,146 NEW ST,DECATUR,13089,89,GA,13,30030,4044052173,160,,No,,,,,,,,,,,,27,16,20,17,80,80,0,6,9,19,46,0,0,8,21,1,1,2,3,2,0,7.5,11.25,23.75,57.5,0,0,10,30,DEKALB,Association of Waldorf Schools of North America (AWSNA),State or regional independent school association,,,,,,,,,,,,,,ncesdata_F46B8D9F.xls
A1901626,ACADEMY HIGH,14,17,2001 FOX DR,CHAMPAIGN,17019,19,IL,17,61820,2172396000,166,7.5,Yes,,,,,,,,,,,,5,10,7,15,37,37,0,2,1,1,29,0,4,7.1,13,1,1,2,3,1,0,5.4,2.7,2.7,78.37,0,10.81,5.21,30,CHAMPAIGN,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,,ncesdata_45ABC438.xls
A0902450,ACADEMY OF EXCELLENCE,14,17,612 S RACE ST,STATESVILLE,37097,97,NC,37,28677,7048739727,180,8,No,,,,,,,,,,,,1,1,1,1,4,4,0,0,0,4,0,0,0,4,31,1,1,2,2,3,0,0,0,100,0,0,0,1,29,IREDELL,Other religious school association(s),,,,,,,,,,,,,,,ncesdata_9159B56.xls
00920855,ACADEMY OF MOUNT ST URSULA,14,17,330 BEDFORD PARK BLVD,BRONX,36005,5,NY,36,10458,7183645353,180,8,Yes,,,,,,,,,,,,65,47,49,49,210,210,0,,,,,0,,16.8,11,2,1,2,1,1,0,,,,,0,,12.5,1,BRONX,Other religious school association(s),,,,,,,,,,,,,,,ncesdata_446C2DEC.xls
00230963,"ACADEMY OF OUR LADY OF MERCY, LAURALTON HALL",14,17,200 HIGH ST,MILFORD,9170,170,CT,9,6460,2038772786,165,6.33,Yes,,,,,,,,,,,,53,50,69,66,238,238,0,11,27,17,161,2,20,26,21,2,1,2,1,2,0,4.62,11.34,7.14,67.64,0.84,8.4,9.15,1,SOUTH CENTRAL CONNEC,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,,ncesdata_6AB262C0.xls
00077164,ACADEMY OF OUR LADY OF PEACE,14,17,4860 OREGON ST,SAN DIEGO,6073,73,CA,6,92116,6192972266,185,6.5,Yes,,,,,,,,,,,,174,176,181,199,730,730,2,35,300,9,225,10,149,41.4,11,2,1,2,1,1,0.27,4.79,41.09,1.23,30.82,1.36,20.41,17.63,1,SAN DIEGO,National Catholic Educational Association (NCEA),National Coalition of Girls’ Schools (NCGS),,,,,,,,,,,,,,ncesdata_47D4207F.xls
A2400107,ACADEMY OF ST. ELIZABETH,14,17,2 CONVENT RD,CONVENT STATION,34027,27,NJ,34,7961,9732905200,170,6.58,Yes,,,,,,,,,,,,,,,,236,,0,,,,,,,42.5,21,2,1,2,1,2,,,,,,,,,1,MORRIS,National Coalition of Girls’ Schools (NCGS),,,,,,,,,,,,,,,ncesdata_53805838.xls
01604497,ACADEMY OF THE HOLY CROSS,14,17,4920 STRATHMORE AVE,KENSINGTON,24031,31,MD,24,20895,3019422100,175,6.83,Yes,,,,,,,,,,,,86,97,104,84,371,371,0,19,62,81,166,4,39,43.1,13,2,1,2,1,1,0,5.12,16.71,21.83,44.74,1.07,10.51,8.6,1,MONTGOMERY,National Coalition of Girls’ Schools (NCGS),State or regional independent school association,,,,,,,,,,,,,,ncesdata_A4F0D2C8.xls
00232461,ACADEMY OF THE HOLY FAMILY,14,17,54 W MAIN ST # 691,BALTIC,9180,180,CT,9,6330,8608229272,170,7.25,Yes,,,,,,,,,,,,7,12,6,13,38,38,1,2,5,20,10,0,0,12,41,2,1,2,1,4,2.63,5.26,13.15,52.63,26.31,0,0,3.16,1,SOUTHEASTERN CONNECT,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,ncesdata_6AB262C0.xls
A9105434,ACADEMY OF THE NEW CHURCH BOYS SCHOOL,14,17,2815 BENADE CIR,BRYN ATHYN,42091,91,PA,42,19009,2675024565,176,7.21,Yes,,,,,,,,,,,,18,37,25,32,112,112,0,,,,,0,,16,21,3,1,2,2,2,0,,,,,0,,7,8,MONTGOMERY,National Association of Independent Schools (NAIS),The Association of Boarding Schools (TABS),Other school association(s),,,,,,,,,,,,,ncesdata_2F61DE29.xls
