school_id,school_name,address,city,state,zip,county,sector,charter,total_enrollment,enrollment_9_12,grad_rate_2021,crdc_ap_courses,ib_flag_v2,crdc_fte_counselors,county_median_hh_income,county_pct_child_poverty_saipe,nces_id_12,ceeb,rigor_tier_v4,audit_note
1204077,JOHN A. FERGUSON SENIOR HIGH,15900 SW 56TH ST,MIAMI,FL,33185,Miami-Dade County,public,2-No,4291,4291,99.5,22,1.0,7,71753,16,120039004077,101846,Very Demanding,confirmed_absent_geo_audit
1203745,TIMBER CREEK HIGH,1001 AVALON PARK BLVD,ORLANDO,FL,32828,Orange County,public,2-No,3383,3383,99.5,33,0.0,8,79719,16.1,120144003745,101641,Very Demanding,confirmed_absent_geo_audit
3200845,NV Learning Academy J-SHS,3050 E Flamingo Rd,Las Vegas,NV,89121,Clark County,public,2-No,3352,1962,92,16,0.0,5,76472,15.3,320006000845,,,"likely_in_nu_list_manual_review (Academy Individualized Study, co-located)"
4811973,JOHNSON H S,23203 BULVERDE RD,SAN ANTONIO,TX,78259,Bexar County,public,2-No,3196,3196,95,21,0.0,8,72341,17.1,483294011973,446093,Demanding,likely_in_nu_list_manual_review (Claudia Taylor Ladybird Johnson)
1204091,NEWSOME HIGH SCHOOL,16550 FISHHAWK BLVD,LITHIA,FL,33547,Hillsborough County,public,2-No,3157,3157,99.5,22,0.0,8,79540,13.5,120087004091,100957,Very Demanding,confirmed_absent_geo_audit
0801951,Cherokee Trail High School,25901 ARAPAHOE PARKWAY,AURORA,CO,80016,Arapahoe County,public,2-No,3089,3089,95,21,1.0,9.3999996,101087,9.8,080291001951,060086,Demanding,confirmed_absent_geo_audit
4809266,CYPRESS RIDGE H S,7900 N ELDRIDGE PKWY,HOUSTON,TX,77041,Harris County,public,2-No,2861,2861,91,24,0.0,8.7399998,74983,22.6,481611009266,443535,Demanding,confirmed_absent_geo_audit
1303376,Mill Creek High School,4400 Braselton Hwy,Hoschton,GA,30548,Gwinnett County,public,2-No,2782,2782,93,27,0.0,8,87890,13.6,130255003376,111653,Demanding,
0610605,Los Osos High,6001 Milliken Ave.,Rancho Cucamonga,CA,91737,San Bernardino County,public,2-No,2759,2759,95,17,0.0,7,85478,16.7,060816010605,052987,Average,
0806548,Astravo Online Academy High School,444 E FRONT STREET,BYERS,CO,80103,Arapahoe County,public,2-No,2750,2750,48,13,0.0,0,101087,9.8,080270006548,060320,Below Average,
4808559,FOSTER H S,4400 FM 723,RICHMOND,TX,77406,Fort Bend County,public,2-No,2747,2747,97,27,0.0,5,114041,8.8,482658008559,445856,Demanding,
4803445,LEGACY H S,3500 NEELY AVE,MIDLAND,TX,79707,Midland County,public,2-No,2735,2735,89,21,0.0,7.5,92874,13.2,483057003445,444743,Average,
4813294,PREMIER H S ONLINE,1301 WATERS RIDGE DR,LEWISVILLE,TX,75057,Denton County,public,1-Yes,2728,2728,41,8,0.0,2.7,111498,6.4,480020713294,444154,Below Average,
1203868,EAST RIDGE HIGH SCHOOL,13322 EXCALIBUR RD,CLERMONT,FL,34711,Lake County,public,2-No,2683,2683,98,26,0.0,6,73161,11.5,120105003868,100247,Demanding,
0402357,Sandra Day O'Connor High School,25250 N. 35th Avenue,Glendale,AZ,85310,Maricopa County,public,2-No,2658,2658,98,21,0.0,6,89300,12.4,040775002357,030173,Demanding,
4813905,SOTOMAYOR H S,12801 TALL TIMBER LN,SAN ANTONIO,TX,78254,Bexar County,public,2-No,2627,2627,,,,,72341,17.1,483312013905,446902,Average,
1701519,Comm H S Dist 99 - South High Sch,1436 Norfolk St,Downers Grove,IL,60516,DuPage County,public,2-No,2591,2591,,11,0.0,11,112096,5,171257001519,141631,Demanding,
2609037,Link Learning Virtual Program,9057 W BELDING RD,BELDING,MI,48809,Ionia County,public,2-No,2526,2526,,,,,75611,11.2,260543009037,,,
4809436,VISTA RIDGE H S,200 S VISTA RDG,CEDAR PARK,TX,78613,Williamson County,public,2-No,2480,2480,98,27,0.0,6.3699999,111340,5,482703009436,441176,Demanding,
2000344,East High,2301 E Douglas,Wichita,KS,67211,Sedgwick County,public,2-No,2435,2434,85,8,1.0,5,69365,14.1,201299000344,173206,Average,
1703458,Rich Township High School,3600 W 203rd St,Olympia Fields,IL,60461,Cook County,public,2-No,2433,2433,,17,1.0,12,83498,17.3,173342003458,143293,Average,
4808562,GEORGE BUSH H S,6707 FM 1464,RICHMOND,TX,77407,Fort Bend County,public,2-No,2428,2428,89,20,0.0,7,114041,8.8,481965008562,443531,Demanding,
