ceeb,n_schools,states,example_names
050222,20,CA,Alps View High (Continuation) | Beckwourth (Jim) High (Continuation) | Bidwell Point High (Continuation) | Captain John Continuation High
481351,8,WA,Cavelero Mid High School | High School Re Entry | Innovation High School | James A. Taylor High School
010554,7,AL,Allen Thornton Career Technical Center | BellBrown Career Technical Center | Blount County Career Technical Center | Calhoun County Career Technical Center
440485,6,TX,COASTAL ALTERNATIVE PROGRAM | COASTAL ALTERNATIVE PROGRAM (CAP) | DISTRICT ALTERNATIVE EDUCATION PROGRAM | JUVENILE JUSTICE ALTERNATIVE ED PROGRAM
050017,6,CA,Baden High (Continuation) | Heartland High (Continuation) | Irwin High (Continuation) | Lincoln High (Continuation)
030000,5,AZ,EVIT - Combs High School | Envision High School | MIJTED - Ashfork High School | PCJTED - Cholla High School
251976,5,MS,CAREER AND TECHNICAL CENTER | HOLMES CO CAREER TECHNICAL CENTER | Harrison County Career and Technical Center | ITAWAMBA CAREER & TECHNICAL CENTER
361003,5,OH,Buckeye Community School | Buckeye Community School - Fremont | Buckeye Community School - Marion | ChallengeU Ohio Community School
334970,4,NY,MSGR FARRELL HIGH SCHOOL | MSGR SCANLAN HIGH SCHOOL | PADILLA HIGH SCHOOL | YESHIVAH PREP HIGH SCHOOL
252963,4,MS,ALTERNATIVE SCHOOL | HARRISON COUNTY ALTERNATIVE SCHOOL | TAC ALTERNATIVE SCHOOL | TCS ALTERNATIVE SCHOOL
441200,3,TX,H S POINT | HIGH POINT EAST | HIGH POINT SCHOOL
411936,3,SC,Aiken County Career Center | Barnwell County Career Center | Pickens County Career and Technology Center
380834,3,OR,Alliance High School | Catalyst High School | Gladiola High School
365284,3,OH,AkroTech High School | Akron Career Tech High School | MC^2 STEM High School
365143,3,OH,BlueSky Virtual Academy | RAM Nation Virtual Academy | Youngstown Virtual Academy
442047,3,TX,IDEA BURKE COLLEGE PREPARATORY | IDEA MESA HILLS COLLEGE PREPARATORY | IDEA NAJIM COLLEGE PREPARATORY
480982,3,WA,Contract Learning Center | Digital Learning Center | NW Learning Center
431642,3,TN,CMCSS Adult High School | Campbell Co Adult High School | Whites Adult High School
252564,3,MS,CAREER DEVELOPMENT CENTER | DeSoto Co. Career Center East | DeSoto Co. Career Center West
310775,3,NJ,Mercer County Technical School Culinary Arts Academy | Mercer County Technical School Health Sciences Academy | Mercer County Technical School STEM Academy
242252,3,MN,LUVERNE ALTERNATIVE PROGRAM | Osseo ALC Alternative Programs | PIERZ ALTERNATIVE PROGRAM
242119,3,MN,BBE LEARNING CENTER | Learning Center Night | Tokata Learning Center
241643,3,MN,CSE - OLL HS | Sabers Online High School | Saints Online High School
240100,3,MN,Creative Arts Secondary School | Journeys Secondary School | MN Virtual Secondary School
240035,3,MN,MMSA Secondary School | Quora Secondary School | RTR Secondary School
143436,3,IL,District 7 Alternative School | Greeley Alternative School | Mt Vernon Alternative School
052171,3,CA,Career Education Center | Esperanza Education Center | Kings Lake Education Center
051788,3,CA,Dr. Doug Sears Learning Center | GATES OF LEARNING CENTER | Jordan Secondary Learning Center
050250,3,CA,Plumas County Community | Solano County Community | Tulare County Community
030068,3,AZ,EdOptions Preparatory Academy | PACE Preparatory Academy | Valor Preparatory Academy
510061,3,WY,New Frontier High School | Peak High School | Swift Creek High School
