_orig_row,GUID,CEEB,Name,Region,City,sector,n12,leaid7,C_ap_opportunity,C_ap_performance,C_advanced_access,C_ib,C_stem_depth,C_test_performance,C_test_participation,C_college_placement,C_faculty_investment,rigor_score_v5,rigor_tier_num_v5,rigor_tier_label_v5,rigor_tier_num_v5_quantile,rigor_tier_label_v5_quantile,rigor_score_v5_sector,rigor_tier_num_v5_sector,rigor_tier_label_v5_sector,rigor_expected_ses,rigor_residual_v5,overperformer_v5,n_components,weight_covered,components_available,rigor_weighting_scheme_v5,rigor_tier_method_v5,rigor_score_v5_raw,below_coverage_floor,qd,ib_int,stem_breadth,pct_college,pct_certified,instr_spend_per_pupil,sat_score,ap_score,grad,poverty
0,1e2c9b84-b583-4253-b006-cda154624080,330535,1199 School Social Change,NY,Bronx,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
1,ba2b738e-cc9c-40da-b27c-8a1cdb49faf0,151266,21st Cent Schl Prog/In Univ NW,IN,Gary,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
2,c223523b-ef5e-47fa-977e-769fdf639a6a,151264,21st Century Charter Sch/Gary,IN,Gary,,,,-0.7909721823545105,-1.2443981343138537,,,,-0.8407603648943067,1.2892351529312407,,,-0.7853596159137443,1.0,Below Average,1.0,Below Average,,,,-0.3794239115939403,-0.40593570431980397,False,4,0.6000000000000001,"ap_opportunity,ap_performance,test_performance,test_participation",designed_v5,jenks_natural_breaks_k5,-0.7853596159137443,False,0.17632441501211024,,,,,,1090.0,1.08,,
3,a49916be-a883-c878-73b5-55df911b5079,447402,21st Century Cte Early College,TX,Weslaco,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
4,526968bd-e285-59a5-b958-83d93cb2c560,501321,21st Century Eschool,WI,Middleton,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
5,c28044ac-0303-4f0e-d27a-a6e1b634ab82,054886,21st Century Learning Inst,CA,Beaumont,,,,,,,,,1.1636464184404858,,,,,,,,,,,,,,False,1,0.2,test_performance,designed_v5,jenks_natural_breaks_k5,1.1636464184404858,True,,,,,,,1220.0,,,
6,809632a5-d189-4c38-99c2-715f12144c7f,240031,279 Online,MN,Maple Grove,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
7,a62db3d5-c48b-4820-bd5a-55d7222bff11,300024,2nd Nature Academy,NH,Nashua,private,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
8,59c887df-e4bb-1d46-95a0-b12a9a57cd37,102716,3 Oaks Academy,FL,Naples,private,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
9,00924da8-f3f7-802e-61cc-378f7fcf1b1b,400360,360 High School,RI,Providence,,,,,,,,,,1.2892351529312407,,,,,,,,,,,,,False,1,0.05,test_participation,designed_v5,jenks_natural_breaks_k5,1.2892351529312407,True,,,,,,,,,,
