ceeb,school_name,state,sector,score_default,tier_default,score_B_qualdensity,tier_B_qualdensity,score_v4_candidate,tier_v4_candidate,ap_qualifying_density
000049,Calvary Baptist College,,private,,,,,,,
000107,Musicians Institute,,private,,,,,,,
000114,Legacy Online School,,private,,,,,,,
000155,Univ St Francis,,private,,,,,,,
000182,Franklin Academy,,private,,,,,,,
000243,Presidio World College,,private,,,,,,,
000260,Pillsbury Baptist Bible Coll,,private,,,,,,,
000287,Phillips Jr Coll Melbourne,,private,,,,,,,
000340,Nielsen Electronic Institute,,private,,,,,,,
000352,Turtle Mountain Cmty College,,private,,,,,,,
000367,Phillips Jr Coll Jackson,,private,,,,,,,
000481,Intrnatl Coll Hospitality Mgmt,,private,,,,,,,
000523,Hazleton-St Joseph Medical Ctr,,private,,,,,,,
000530,Mennonite College Nursing,,private,,,,,,,
000541,Kol Yaakov Torah Center,,private,,,,,,,
000610,Ohr Hameir Theological Seminry,,private,,,,,,,
000632,Mesivta Tifereth Jerusalm Amer,,private,,,,,,,
000633,Madison Jr Coll Of Business,,private,,,,,,,
000646,Penn Technical Institute,,private,,,,,,,
000668,Rabbinical Coll Beth Shraga,,private,,,,,,,
000681,Bethany Coll Missions,,private,,,,,,,
000691,Yeshiva Nitra Rabbinical Coll,,private,,,,,,,
000705,Louisiana Christian University,,private,,,,,,,
000760,Ambassador Baptist College,,private,,,,,,,
000767,Rabbinical Seminry M'Kor Chaim,,private,,,,,,,
000817,Hebrew Theological College,,private,,,,,,,
000884,Castle College,,private,,,,,,,
000899,Meadows College Business,,private,,,,,,,
000927,Hillsdale Free Will Baptist Cl,,private,,,,,,,
001038,Nova Southeastern U Hlth Sci,,private,,,,,,,
001053,McCarrie Sch Health Sci & Tech,,private,,,,,,,
001068,Bloomngtn-Normal Sch Radiogrph,,private,,,,,,,
001104,Clarksville Baptist College,,private,,,,,,,
001116,Westrn State U Coll Law Fllrtn,,private,,,,,,,
001128,Spertus College,,private,,,,,,,
001157,Intrnatl Brotherhood Elec Wrks,,private,,,,,,,
001209,Troy State University Ft Benng,,private,,,,,,,
001344,Hebrew Union College Ca,,private,,,,,,,
001432,Yeshivat Mikdash Melech,,private,,,,,,,
001507,Northup Anne M,,private,,,,,,,
001521,Macomb Cmty Coll Center Campus,,private,,,,,,,
001549,Univ Central Del Caribe,,private,,,,,,,
001582,Yeshiva Karlin Stolin Beth,,private,,,,,,,
001616,Atlanta Bible College,,private,,,,,,,
001650,Interior Design Institute,,private,,,,,,,
001692,Northestrn Oh Univ Coll Med,,private,,,,,,,
001741,Sue Bennett College,,private,,,,,,,
001749,Metropolitan Cmty College Il,,private,,,,,,,
001751,Prog Med Tech Bowman Gray Sch,,private,,,,,,,
001787,Northland Baptist Bible Coll,,private,,,,,,,
001791,Lyme Academy Coll Fine Arts,,private,,,,,,,
001824,Univ Northern California,,private,,,,,,,
001863,Univ Wisc Madison Med School,,private,,,,,,,
001868,St Josephs Hosp Radiologic Tec,,private,,,,,,,
001873,Valparaiso Tech Institute,,private,,,,,,,
001934,Devry University Long Beach Ca,,private,,,,,,,
001940,Florida Metro Univ Lakeland,,private,,,,,,,
001946,New College Global Studies,,private,,,,,,,
001962,Sawyer Thomas C,,private,,,,,,,
001964,Howard U Satellite Summer Enrc,,private,,,,,,,
002019,Abington Memorial Hospital,,private,,,,,,,
002028,Altoona Hospital School Nrsng,,private,,,,,,,
002060,Medical Coll of VA,,private,,,,,,,
002109,Crouse Hospital,,private,,,,,,,
002120,Touro Coll Physical Therapy Pr,,private,,,,,,,
002123,Community C Alleghny Co South,,private,,,,,,,
002128,Conemaugh Valley Meml Hospital,,private,,,,,,,
002132,Citizens General Hospital,,private,,,,,,,
002136,Flagler Career Institute,,private,,,,,,,
002143,Community C Alleghny Co S Hnrs,,private,,,,,,,
002148,Heald Coll Sch Tech Martinez,,private,,,,,,,
002156,Community C Alleghny Co Alghny,,private,,,,,,,
002170,Rutgers U Cook College,,private,,,,,,,
002187,American Institute,,private,,,,,,,
002189,"All Saints Univ America, Inc.",,private,,,,,,,
002218,Century Business College,,private,,,,,,,
002229,Electronic Inst Pittsburgh PA,,private,,,,,,,
002238,Concorde Career Inst Ca,,private,,,,,,,
002251,Craft Institute,,private,,,,,,,
002310,Helene Fuld Sch Nursing Trnton,,private,,,,,,,
002319,Itt Technical Inst Garland,,private,,,,,,,
002326,Institute International Ed Ny,,private,,,,,,,
002337,Jameson Memorial Hospital,,private,,,,,,,
002374,Lancaster General Coll Nursing,,private,,,,,,,
002385,Crown College Tn,,private,,,,,,,
002402,National Educ Cntr Harrisburg,,private,,,,,,,
002427,Mountainside Hospital,,private,,,,,,,
002442,Mercer Medical Center,,private,,,,,,,
002446,Pueblo Coll Business Tech,,private,,,,,,,
002454,Resource Ctr Handicapped,,private,,,,,,,
002462,Monroe College New Rochelle,,private,,,,,,,
002464,Sawyer School,,private,,,,,,,
002477,Bryn Mawr Coll Div Spec Stds,,private,,,,,,,
002485,Grand Island College,,private,,,,,,,
002529,La Salle University La,,private,,,,,,,
002546,West Virginia Business Coll,,private,,,,,,,
002555,Trinity Coll Nrsng Allied Hlth,,private,,,,,,,
002587,Lexington Baptist College,,private,,,,,,,
002588,Hawaii Tokai International Col,,private,,,,,,,
002594,Columbia U Sch Continuing Educ,,private,,,,,,,
002604,Potomac College MD,,private,,,,,,,
002605,Gutenberg College,,private,,,,,,,
