,value
rows_in_export,49268.0
excl_ceeb4_only,11.0
excl_category_only,234.0
excl_both,3770.0
excl_nonHS_total,4015.0
excl_junk,3.0
universe,45250.0
dup_guid,0.0
dup_ceeb6,0.0
leaid_nunique,10469.0
joined_stem,14337.0
joined_faculty,14280.0
joined_finance,12426.0
qd_from_file,10504.0
qd_recomputed,5769.0
min_weight_floor,0.25
dropped_by_floor,6167.0
dropped_by_floor_private,2644.0
dropped_by_floor_public,804.0
score_max_before_floor,7.66
score_max_after_floor,3.33
scored,22869.0
unscored,22381.0
scored_public,17015.0
scored_private,3250.0
jenks_quantile_agreement_pct,58.4
full_coverage_n,5604.0
crdc_loss_n,11290.0
crdc_loss_spearman,0.958
crdc_loss_pct_changed,40.5
v4_v5_n_compared,17882.0
v4_v5_pct_changed,63.1
v4_v5_spearman,0.723
rho_v5_poverty,-0.323
rho_v4_poverty,-0.168
opp_adj_n,19150.0
opp_adj_r2,0.209
rho_residual_poverty,-0.028
overperformers_total,1915.0
overperformers_high_need,343.0
top_tier_high_need,69.0
