sector,school_id,nces_id_7,nces_id_12,pss_id,school_name,address,city,state,zip,county,locale,school_level,charter,school_type,total_enrollment,enrollment_9_12,grade_9,grade_10,grade_11,grade_12,frl_students,fte_teachers,pupil_teacher_ratio,race_amind,race_asian,race_hisp,race_black,race_white,race_pacisl,race_twomore,leaid,rcdts,isbe_summative_designation,title_i_status,act_ela_average_score_grade_11,act_math_average_score_grade_11,act_science_average_score_grade_11,iar_ela_proficiency_rate_total,iar_math_proficiency_rate_total,count_cte_concentrators_total,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,religious_affiliation,coed,religious_orientation,ib_school_id,ib_match_tier,ceeb,ceeb_matched_name,ceeb_match_method,ceeb_match_tier,ceeb_needs_review,grad_rate_2021,grad_rate_is_range,grad_cohort_n,county_fips,county_median_hh_income,county_pct_bachelors_plus,county_pct_poverty,crdc_ap_offered,crdc_ap_courses,crdc_ap_enrollment,crdc_dual_enr_offered,crdc_dual_enrollment,crdc_satact_takers,crdc_fte_counselors,crdc_pct_teachers_certified,assess_part_math_2021,assess_part_rla_2021,county_pct_child_poverty_saipe
private,A1900008,,,A1900008,BUILD UP COMMUNITY SCHOOL,222 6TH AVE SW,BIRMINGHAM,AL,35211,JEFFERSON,12,,,5,50,50,15,15,10,10,,6.6,7.57,0,0,0,50,0,0,0,,,,,,,,,,,,,3,1,30,61309,review,,,name,reject,f,,,,01073,66388,36.2,15.7,,,,,,,,,,,18.7
private,00000237,,,00000237,HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL,1832 CENTER WAY S,BIRMINGHAM,AL,35205,JEFFERSON,12,,,1,156,156,40,28,43,45,,18.3,8.52,0,0,25,131,0,0,0,,,,,,,,,,,,,1,1,1,50936,review,,,name,reject,f,,,,01073,66388,36.2,15.7,,,,,,,,,,,18.7
private,00000226,,,00000226,JOHN CARROLL CATHOLIC HIGH SCHOOL,300 LAKESHORE PKWY,BIRMINGHAM,AL,35209,JEFFERSON,12,,,1,540,540,135,135,135,135,,43.3,12.47,0,5,55,105,360,0,15,,,,,,,,,,,,,1,1,1,2825,review,010370,john carroll catholic hs,id,auto_accept,f,,,,01073,66388,36.2,15.7,,,,,,,,,,,18.7
private,01925841,,,01925841,MCGILL-TOOLEN CATHOLIC HIGH SCHOOL,1501 OLD SHELL RD,MOBILE,AL,36604,MOBILE,12,,,1,750,750,171,190,182,207,,68,11.02,,,,,,,,,,,,,,,,,,,,1,1,1,2290,review,011820,Mcgill-Toolen Catholic High School,name,auto_accept,f,,,,01097,58880,26,16.2,,,,,,,,,,,20.4
private,A2100130,,,A2100130,SOUTHERN CHRISTIAN PREPARATORY ACADEMY,5320 MILES SPRING RD,BIRMINGHAM,AL,35238,JEFFERSON,41,,,,43,43,10,17,11,5,,,,0,0,0,43,0,0,0,,,,,,,,,,,,,2,1,8,52224,review,,,name,reject,f,,,,01073,66388,36.2,15.7,,,,,,,,,,,18.7
private,A9900007,,,A9900007,ST JOHN PAUL II CATHOLIC HIGH SCHOOL,7301 OLD MADISON PIKE NW,HUNTSVILLE,AL,35806,MADISON,12,,,1,357,357,111,89,77,80,,29.3,12.18,0,9,106,16,214,0,12,,,,,,,,,,,,,1,1,1,51319,review,011483,catholic high school,id,auto_accept,f,,,,01089,86499,46.4,10.1,,,,,,,,,,,11.1
private,00047854,,,00047854,CATHOLIC HIGH SCHOOL FOR BOYS,6300 FATHER TRIBOU ST,LITTLE ROCK,AR,72205,PULASKI,12,,,1,705,705,184,165,192,164,,42.6,16.54,2,14,73,15,581,1,19,,,,,,,,,,,,,1,3,1,2290,review,,,name,reject,f,,,,05119,62873,37.9,16.7,,,,,,,,,,,20.4
private,00047978,,,00047978,MT ST MARY ACADEMY,3224 KAVANAUGH BLVD,LITTLE ROCK,AR,72205,PULASKI,12,,,1,477,477,126,124,126,101,,33.1,14.41,0,,,,,0,,,,,,,,,,,,,,1,2,1,49790,reject,041440,mount st mary academy,id,auto_accept,f,,,,05119,62873,37.9,16.7,,,,,,,,,,,20.4
private,A2390028,,,A2390028,OUACHITA HILLS ACADEMY,46 MADISON WAY,AMITY,AR,71921,PIKE,42,,,1,34,34,12,5,8,9,,10.1,3.36,,,,,,,,,,,,,,,,,,,,2,1,28,64203,reject,,,name,reject,f,,,,05109,49269,19.1,20.7,,,,,,,,,,,25
private,00048971,,,00048971,OZARK ADVENTIST ACADEMY,20997 DAWN HILL E RD,GENTRY,AR,72734,BENTON,41,,,1,126,126,28,24,36,38,,9.9,12.72,0,12,34,11,50,13,6,,,,,,,,,,,,,2,1,28,50946,reject,040880,ozark adventist academy,id,auto_accept,f,,,,05007,93506,37.8,7.6,,,,,,,,,,,8.5
private,01926277,,,01926277,ARIZONA LUTHERAN ACADEMY,6036 S 27TH AVE,PHOENIX,AZ,85041,MARICOPA,21,,,1,238,238,55,67,65,51,,22.9,10.39,19,15,38,19,143,2,2,,,,,,,,,,,,,2,1,22,3137,reject,030262,arizona lutheran academy,id,auto_accept,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,00031425,,,00031425,BOURGADE CATHOLIC HIGH SCHOOL,4602 N 31ST AVE,PHOENIX,AZ,85017,MARICOPA,11,,,1,330,330,93,82,82,73,,33.9,9.73,,,,,,0,,,,,,,,,,,,,,1,1,1,2290,review,030264,bourgade catholic high school,id,auto_accept,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,A2190036,,,A2190036,JOHN PAUL II CATHOLIC HIGH SCHOOL,3120 N 137 AVE,AVONDALE,AZ,85392,MARICOPA,21,,,1,370,370,105,99,94,72,,28,13.21,0,17,252,9,71,3,18,,,,,,,,,,,,,1,1,1,51319,review,,,name,reject,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,A0300071,,,A0300071,NOTRE DAME PREPARATORY,9701 E BELL RD,SCOTTSDALE,AZ,85260,MARICOPA,12,,,1,975,975,263,247,256,209,,76.9,12.67,4,34,103,11,757,8,58,,,,,,,,,,,,,1,1,1,3350,reject,030392,Notre Dame Preparatory Hs,id,auto_accept,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,A0100609,,,A0100609,PUSCH RIDGE CHRISTIAN ACADEMY UPPER SCHOOL,9500 N ORACLE RD,TUCSON,AZ,85704,PIMA,41,,,1,396,396,102,103,91,100,,35.1,11.28,0,15,51,15,315,0,0,,,,,,,,,,,,,2,1,27,3844,reject,,,name,reject,f,,,,04019,70315,36.8,14.3,,,,,,,,,,,16.7
private,00030942,,,00030942,SALPOINTE CATHOLIC HIGH SCHOOL,1545 E COPPER ST,TUCSON,AZ,85719,PIMA,11,,,1,1305,1305,359,341,280,325,,92.4,14.12,50,49,805,72,262,6,61,,,,,,,,,,,,,1,1,1,2290,review,030510,salpointe catholic high school,id,auto_accept,f,,,,04019,70315,36.8,14.3,,,,,,,,,,,16.7
private,A0500087,,,A0500087,SAN MIGUEL HIGH SCHOOL,6601 S SAN FERNANDO RD,TUCSON,AZ,85756,PIMA,11,,,1,293,293,72,77,79,65,,26.3,11.14,4,1,285,1,2,0,0,,,,,,,,,,,,,1,1,1,422,review,030602,san miguel high school,id,auto_accept,f,,,,04019,70315,36.8,14.3,,,,,,,,,,,16.7
private,A2100209,,,A2100209,SAN PEDRO VALLEY ACADEMY,3331 IN BALANCE RD,HUACHUCA CITY,AZ,85616,COCHISE,42,,,,44,44,11,17,14,2,,,,0,3,2,2,29,4,4,,,,,,,,,,,,,3,3,30,3985,review,030244,East Valley Academy,name,review,t,,,,04003,59742,28.1,15.4,,,,,,,,,,,18.6
private,00031491,,,00031491,SETON CATHOLIC PREPARATORY,1150 N DOBSON RD,CHANDLER,AZ,85224,MARICOPA,11,,,1,559,559,142,160,136,121,,41.3,13.53,,,,,,,,,,,,,,,,,,,,1,1,1,3350,reject,,,name,reject,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,A1170278,,,A1170278,SHEARIM TORAH HIGH SCHOOL,6530 N 7TH ST,PHOENIX,AZ,85014,MARICOPA,11,,,3,70,70,22,20,14,14,,6.5,10.76,0,0,0,0,70,0,0,,,,,,,,,,,,,2,2,18,49837,reject,,,name,reject,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,A0700055,,,A0700055,ST AUGUSTINE CATHOLIC HIGH SCHOOL,8800 E 22ND ST,TUCSON,AZ,85710,PIMA,11,,,1,276,276,82,63,57,74,,22.5,12.26,3,2,219,3,45,1,3,,,,,,,,,,,,,1,1,1,3178,review,030542,saint augustine catholic hs,id,auto_accept,f,,,,04019,70315,36.8,14.3,,,,,,,,,,,16.7
private,00031301,,,00031301,ST MARY'S CATHOLIC HIGH SCHOOL,2525 N 3RD ST,PHOENIX,AZ,85004,MARICOPA,11,,,1,487,487,132,139,119,97,,36.5,13.34,2,0,357,26,37,2,63,,,,,,,,,,,,,1,1,1,3178,review,030300,saint marys high school,id,auto_accept,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,00033331,,,00033331,THUNDERBIRD ADVENTIST ACADEMY,7410 E SUTTON DR,SCOTTSDALE,AZ,85260,MARICOPA,12,,,1,131,131,33,41,34,23,,11.9,11,,,,,,,,,,,,,,,,,,,,2,,28,64203,reject,,,name,reject,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,A9100470,,,A9100470,VALLEY LUTHERAN HIGH SCHOOL,5199 N 7TH AVE,PHOENIX,AZ,85013,MARICOPA,11,,,1,137,137,29,32,37,39,,14,9.78,4,4,23,4,94,0,8,,,,,,,,,,,,,2,1,20,140,review,030319,valley lutheran high school,id,auto_accept,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,00032156,,,00032156,VERDE VALLEY SCHOOL,3511 VERDE VALLEY SCHOOL RD,SEDONA,AZ,86351,YAVAPAI,41,,,1,123,123,11,30,54,28,,17,7.23,1,26,8,6,65,0,17,,,,,,,,,,,,,3,1,30,2950,review,030410,verde valley school,id,auto_accept,f,,,,04025,69613,30.3,12,,,,,,,,,,,9.9
private,00031265,,,00031265,XAVIER COLLEGE PREPARATORY,4710 N 5TH ST,PHOENIX,AZ,85012,MARICOPA,11,,,1,1123,1123,314,266,259,284,,78,14.39,9,38,292,16,682,8,78,,,,,,,,,,,,,1,2,1,2524,review,030295,Xavier College Prep,id,auto_accept,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,A1500117,,,A1500117,YESHIVA HIGH SCHOOL OF ARIZONA,7045 N 12TH ST,PHOENIX,AZ,85020,MARICOPA,11,,,1,46,46,20,8,10,8,,13.6,3.38,,,,,,,,,,,,,,,,,,,,2,3,18,49837,reject,,,name,reject,f,,,,04013,89300,36.7,11,,,,,,,,,,,12.4
private,A0300076,,,A0300076,YUMA CATHOLIC HIGH SCHOOL,2100 W 28TH ST,YUMA,AZ,85364,YUMA,13,,,1,517,517,135,134,131,117,,28,18.46,6,12,299,11,162,1,26,,,,,,,,,,,,,1,1,1,2290,review,030570,Yuma High School,name,review,t,,,,04027,62876,16.8,15.6,,,,,,,,,,,22.4
