name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
A. Philip Randolph Elementary,060989,true,false,false,false,PYP,true,English,https://ibo.org/school/060989/
A.C. Davis Senior High School,000452,false,false,true,true,"DP, CP",true,English,https://ibo.org/school/000452/
A.C. Flora High School,001227,false,false,true,false,DP,true,English,https://ibo.org/school/001227/
A.L. Burruss Elementary School,051031,true,false,false,false,PYP,true,English,https://ibo.org/school/051031/
Abby Kelley Foster Charter Public School,004965,false,false,true,false,DP,true,English,https://ibo.org/school/004965/
Abraham Lincoln Middle School,060352,false,true,false,false,MYP,true,English,https://ibo.org/school/060352/
Academia de Lenguaje y Bellas Artes,061397,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/061397/
Academia Moderna Charter,049458,true,false,false,false,PYP,true,English,https://ibo.org/school/049458/
Académie Lafayette,050738,false,true,true,false,"MYP, DP",true,"English, French",https://ibo.org/school/050738/
Academy for Discovery at Lakewood,051744,false,true,false,false,MYP,true,English,https://ibo.org/school/051744/
Academy for Global Citizenship,004848,true,true,false,false,"PYP, MYP",true,"English, Spanish",https://ibo.org/school/004848/
Academy International Elementary School,001888,true,false,false,false,PYP,true,English,https://ibo.org/school/001888/
Academy of Accelerated Learning,004173,true,false,false,false,PYP,true,English,https://ibo.org/school/004173/
Academy of Richmond County,001467,false,false,true,true,"DP, CP",true,English,https://ibo.org/school/001467/
ACE Charter High School,060130,false,false,false,true,CP,true,"English, Spanish",https://ibo.org/school/060130/
ACTech High School,063858,false,false,false,true,CP,true,English,https://ibo.org/school/063858/
Ada Merritt K-8 Center,003001,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/003001/
Adams Elementary School,050646,true,false,false,false,PYP,true,English,https://ibo.org/school/050646/
Adams Elementary School,050453,true,false,false,false,PYP,true,English,https://ibo.org/school/050453/
Adrian High School,004793,false,false,true,false,DP,true,English,https://ibo.org/school/004793/
Agoura High School,003920,false,false,true,false,DP,true,English,https://ibo.org/school/003920/
Aina Haina Elementary School,027015,true,false,false,false,PYP,true,English,https://ibo.org/school/027015/
Al-Arqam Islamic School and College Preparatory,003407,false,false,true,false,DP,true,English,https://ibo.org/school/003407/
Alameda International High School,006092,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/006092/
Albemarle Road Middle School,003132,false,true,false,false,MYP,true,English,https://ibo.org/school/003132/
Albert Einstein Academies Charter School,003024,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/003024/
Albert Einstein High School,001478,false,false,true,false,DP,true,English,https://ibo.org/school/001478/
Alcuin School,003197,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/003197/
Alderwood Elementary School,050435,true,false,false,false,PYP,true,English,https://ibo.org/school/050435/
Alex Sanger Preparatory School,063320,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/063320/
Alexander R. Shepherd Elementary School,004166,true,false,false,false,PYP,true,English,https://ibo.org/school/004166/
Algonac JR/SR High School,004935,false,false,true,false,DP,true,English,https://ibo.org/school/004935/
Alice Birney Elementary School,004985,true,false,false,false,PYP,true,English,https://ibo.org/school/004985/
Alice Deal Middle School,004208,false,true,false,false,MYP,true,English,https://ibo.org/school/004208/
Alice L. Barnard Elementary School,002033,false,true,false,false,MYP,true,English,https://ibo.org/school/002033/
All Nations Community School,063692,false,false,true,false,DP,true,"English, Spanish",https://ibo.org/school/063692/
All Saints Episcopal Day School,060820,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/060820/
Allen D. Nease High School,000877,false,false,true,false,DP,true,English,https://ibo.org/school/000877/
Allen High School,001130,false,false,true,false,DP,true,English,https://ibo.org/school/001130/
Alonso High School,061597,false,false,true,false,DP,true,English,https://ibo.org/school/061597/
Alonzo De Leon Middle School,007024,false,true,false,false,MYP,true,English,https://ibo.org/school/007024/
Alpharetta High School,051737,false,false,true,false,DP,true,English,https://ibo.org/school/051737/
Alpine Elementary,002457,true,false,false,false,PYP,true,English,https://ibo.org/school/002457/
Alturas International Academy,052523,true,true,true,false,"PYP, MYP, DP",true,"English, Spanish",https://ibo.org/school/052523/
Alverta B. Gray Schultz Middle School,060944,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/060944/
Amarillo Independent School District/Amarillo High School,001353,false,false,true,false,DP,true,English,https://ibo.org/school/001353/
Ambassador School of Global Leadership,062281,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/062281/
Amelia Earhart Elementary,002246,true,false,false,false,PYP,true,English,https://ibo.org/school/002246/
American Lakes School,061940,true,false,false,false,PYP,true,English,https://ibo.org/school/061940/
American University Research Academy (AURA),062872,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/062872/
American Youth Academy,049990,false,true,true,false,"MYP, DP",true,"English, Arabic, Other",https://ibo.org/school/049990/
Anahuacalmecac International University Prep. HS,006583,false,false,false,false,,false,,https://ibo.org/school/006583/
Anasazi Elementary School,006448,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/006448/
Andersen United Middle School,062726,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/062726/
Anderson Mill Elementary School IB World School,002421,true,false,false,false,PYP,true,English,https://ibo.org/school/002421/
Andress High School,051763,false,false,true,false,DP,true,English,https://ibo.org/school/051763/
Andrew Carnegie Elementary School,001881,false,true,false,false,MYP,true,English,https://ibo.org/school/001881/
Andrew P. Hill High School,001430,false,true,true,true,"MYP, DP, CP",true,"English, Spanish",https://ibo.org/school/001430/
Anita J. Turner Elementary School,049582,true,false,false,false,PYP,true,English,https://ibo.org/school/049582/
Annabel C. Perry PK-8,006902,true,false,false,false,PYP,true,English,https://ibo.org/school/006902/
Annandale High School,001272,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/001272/
Annapolis High School,002340,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/002340/
Annapolis Middle School,003622,false,true,false,false,MYP,true,English,https://ibo.org/school/003622/
Annie Wright Schools,003923,true,true,true,false,"PYP, MYP, DP",true,English,https://ibo.org/school/003923/
Annunciation Catholic School,051701,true,false,false,false,PYP,true,English,https://ibo.org/school/051701/
Annunciation Catholic School DC,062364,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/062364/
Antelope Trails Elementary,003014,true,false,false,false,PYP,true,English,https://ibo.org/school/003014/
Antietam Elementary School,050117,true,false,false,false,PYP,true,English,https://ibo.org/school/050117/
Antioch High School,050270,false,false,true,true,"DP, CP",true,English,https://ibo.org/school/050270/
Anwatin Middle School,003386,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/003386/
Aquila Elementary School,003596,true,false,false,false,PYP,true,English,https://ibo.org/school/003596/
Archbishop Spalding High School,048013,false,false,true,false,DP,true,English,https://ibo.org/school/048013/
Arlington High School,002770,false,false,true,false,DP,true,English,https://ibo.org/school/002770/
Armijo High School,001317,false,false,true,false,DP,true,English,https://ibo.org/school/001317/
Arroyo Elementary School,049014,true,true,false,false,"PYP, MYP",true,"English, Spanish",https://ibo.org/school/049014/
Arroyo Valley High School,003352,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/003352/
Arthur I. Meyer Jewish Preparatory,003927,false,true,false,false,MYP,true,English,https://ibo.org/school/003927/
Arthur Kramer Elementary IB World School,051613,true,false,false,false,PYP,true,English,https://ibo.org/school/051613/
Ashley Hall,062636,true,false,false,false,PYP,true,"English, French",https://ibo.org/school/062636/
Aspen Elementary School,062362,true,false,false,false,PYP,true,English,https://ibo.org/school/062362/
Aspen High School,001277,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/001277/
Aspen Middle School,062363,false,true,false,false,MYP,true,English,https://ibo.org/school/062363/
Atherton High School,000435,false,false,true,false,DP,true,English,https://ibo.org/school/000435/
Atlanta International School,000582,true,true,true,true,"PYP, MYP, DP, CP",true,"English, French",https://ibo.org/school/000582/
Atlanta Neighborhood Charter School,051430,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/051430/
Atlantic Community High School,000530,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/000530/
Atlee High School,001191,false,false,true,false,DP,true,English,https://ibo.org/school/001191/
Auburn High School,000939,false,false,true,false,DP,true,English,https://ibo.org/school/000939/
Austin Academy for Excellence,061215,false,true,false,false,MYP,true,English,https://ibo.org/school/061215/
Austin Elementary,060969,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/060969/
Austin International School,063390,false,true,false,false,MYP,true,"English, French",https://ibo.org/school/063390/
Avondale Elementary School,002556,true,false,false,false,PYP,true,English,https://ibo.org/school/002556/
Awty International School,000436,false,false,true,false,DP,true,English,https://ibo.org/school/000436/
Aynor High School,001312,false,false,true,false,DP,true,English,https://ibo.org/school/001312/
Baccalaureate School for Global Education,002285,false,false,true,false,DP,true,English,https://ibo.org/school/002285/
Back of the Yards College Preparatory High School,050253,false,true,true,true,"MYP, DP, CP",true,"English, Spanish",https://ibo.org/school/050253/
Baker Middle School,004578,false,true,false,false,MYP,true,English,https://ibo.org/school/004578/
Baldwin High School,062742,false,false,true,false,DP,true,"English, Spanish",https://ibo.org/school/062742/
Ballantyne Ridge High School,063875,false,false,true,false,DP,true,English,https://ibo.org/school/063875/
Balmoral Ridgeway Elementary,006618,true,false,false,false,PYP,true,English,https://ibo.org/school/006618/
Baltimore City College,001014,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/001014/
Baltimore International Academy,004842,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/004842/
Baltimore International Academy West,061380,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/061380/
Bancroft Elementary School,006838,true,false,false,false,PYP,true,English,https://ibo.org/school/006838/
Bannon Creek School,061939,true,false,false,false,PYP,true,English,https://ibo.org/school/061939/
Barack and Michelle Obama Academy,062577,true,false,false,false,PYP,true,English,https://ibo.org/school/062577/
Barack Obama Academy of International Studies,006563,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/006563/
Barack Obama Elementary School,060945,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/060945/
Barack Obama Elementary School,002248,true,false,false,false,PYP,true,English,https://ibo.org/school/002248/
