School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
112 ALC INDEPENDENT STUDY,Minnesota,MINNESOTA,112 ALC Independent Study,2704415,Carver County,27019,http://www.district112.org,11 PEAVEY RD,CHASKA,55318,11 PEAVEY RD,9525566192,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,44.841613,-93.596920,MN-010112-010112067,High,1-Yes,1-Yes,1-Yes,1-Yes,28,28,0,0,4,24,22,6,0.00,†
112 ALC SEAT-BASED,MINNESOTA,MINNESOTA,112 ALC Seat-Based,2705118,Carver County,27019,http://www.district112.org,11 PEAVEY RD,CHASKA,55318,11 PEAVEY RD,9525566192,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,44.841613,-93.596920,MN-010112-010112071,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
18+ PROGRAM,NEBRASKA,NEBRASKA,18+ PROGRAM,3102335,Adams County,31001,†,5807 OSBORNE DRIVE WEST,HASTINGS,68901,5807 OSBORNE DRIVE WEST,4024635611,2-Special education school,4-Regional Education Service Agency (RESA),40.642044,-98.383244,NE-000009000-000009024,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,1.20,0.00
180 DEGREES / YOUTH SHELTER,MINNESOTA,MINNESOTA,180 Degrees / Youth Shelter,2712806,Stearns County,27145,†,1101 WASHINGTON MEMORIAL DR,SAINT CLOUD,56301,1101 WASHINGTON MEMORIAL DR,3203708020,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,45.547418,-94.172744,MN-010742-010742044,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
196ONLINE HIGH SCHOOL,MINNESOTA,MINNESOTA,196Online High School,2705352,Dakota County,27037,http://196online.district196.org/,3455 153RD ST W,ROSEMOUNT,55068,3455 153RD ST W,6519055857,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.817947,-93.217123,MN-010196-010196067,High,1-Yes,1-Yes,1-Yes,1-Yes,71,71,0,0,31,40,37,34,2.14,33.18
199 ONLINE HIGH SCHOOL,MINNESOTA,MINNESOTA,199 Online High School,2705356,Dakota County,27037,http://www.isd199.org/cms/one.aspx?pageId=70734901,2920 80TH ST E,INVER GROVE HEIGHTS,55076,2920 80TH ST E,6513067009,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.832598,-93.047207,MN-010199-010199090,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
21ST CENTURY CHARTER SCH OF GARY,Indiana,INDIANA,21st Century Charter Sch of Gary,1802162,Lake County,18089,†,556 Washington St,Gary,46402,556 Washington St,2198869339,1-Regular school,7-Independent Charter District,41.600759,-87.338843,IN-9545-4164,Other,1-Yes,1-Yes,1-Yes,1-Yes,1180,380,118,87,88,87,562,618,10.00,118.00
21ST CENTURY CYBER CS,Pennsylvania,PENNSYLVANIA,21st Century Cyber CS,4200597,Chester County,42029,http://www.21cccs.org,1245 Wrights Lane,West Chester,19380,1245 Wrights Lane,4848755400,1-Regular school,7-Independent Charter District,39.988310,-75.574369,PA-124150002-7691,High,1-Yes,1-Yes,1-Yes,1-Yes,996,846,202,193,245,206,454,542,55.40,17.98
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,CALIFORNIA,21st Century Learning Institute,0613779,Riverside County,06065,http://21cli.beaumontusd.us/,939 East 10th St.,Beaumont,92223,PO Box 187,9517698424,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,33.935293,-116.969354,CA-3366993-0129882,Other,1-Yes,1-Yes,1-Yes,1-Yes,314,221,38,51,73,59,148,163,14.96,20.99
227 ACADEMY- HS,MONTANA,MONTANA,227 Academy- HS,3001146,Lewis and Clark County,30049,http://www.ehps.k12.mt.us/,2760 Valley Dr,East Helena,59635,PO Box 1280,4062277700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,46.603668,-111.916008,MT-1240-3029,High,1-Yes,1-Yes,1-Yes,1-Yes,59,59,8,18,18,15,33,26,4.55,12.97
