ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Private School based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Private School Name,State Name [Private School] Latest available year,Private School Name [Private School] 2019-20,State Name [Private School] 2019-20,ANSI/FIPS County Code [Private School] 2019-20,ANSI/FIPS State Code [Private School] Latest available year,County Name [Private School] 2019-20,School ID - NCES Assigned [Private School] Latest available year,Phone Number [Private School] 2019-20,Physical Address [Private School] 2019-20,City [Private School] 2019-20,State Abbr [Private School] Latest available year,ZIP [Private School] 2019-20,Lowest Grade Taught [Private School] 2019-20,Highest Grade Taught [Private School] 2019-20,Locale [Private School] 2019-20,Coeducational [Private School] 2019-20,School Type [Private School] 2019-20,School Level [Private School] 2019-20,School's Religious Affiliation or Orientation [Private School] 2019-20,School Community Type [Private School] 2019-20,Total Students (Ungraded & PK-12) [Private School] 2019-20,Grades 9-12 Students [Private School] 2019-20,Grade 9 Students [Private School] 2019-20,Grade 10 Students [Private School] 2019-20,Grade 11 Students [Private School] 2019-20,Grade 12 Students [Private School] 2019-20,American Indian/Alaska Native Students [Private School] 2019-20,Asian or Asian/Pacific Islander Students [Private School] 2019-20,Hispanic Students [Private School] 2019-20,Black or African American Students [Private School] 2019-20,White Students [Private School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Private School] 2019-20,Two or More Races Students [Private School] 2019-20,Pupil/Teacher Ratio [Private School] 2019-20,Full-Time Equivalent (FTE) Teachers [Private School] 2019-20
"OUR SAVIOR""S LUTHERAN DAY SCHOOL",MINNESOTA,"OUR SAVIOR""S LUTHERAN DAY SCHOOL",MINNESOTA,27119,27,POLK,02039659,2182815191,PO BOX 477,CROOKSTON,MN ,56716,Prekindergarten,6th grade,32-Town: Distant,1-Coed (school has male and female students),1-Regular Elementary or Secondary,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,2-Other religious,3-Town (ulocale = 31 or 32 or 33),50,†,–,–,–,–,0,1,0,2,31,0,0,8.29,4.10
-- MANSFIELD CHRISTIAN SCHOOL-,OHIO,-- MANSFIELD CHRISTIAN SCHOOL-,OHIO,39139,39,RICHLAND,Y2162569,4197565651,500 LOGAN RD,MANSFIELD,OH ,44907,Prekindergarten,12th grade  ,13-City: Small,1-Coed (school has male and female students),1-Regular Elementary or Secondary,3-Combined (school has one or more of grades K-6 and one or more of grades 9-12. Schools in which all students are ungraded are also classified as combined).,2-Other religious,1-City (ulocale = 11 or 12 or 13),502,124,29,34,32,29,0,3,6,19,418,1,22,13.10,35.80
-FAIRFAX CAMPUS,VIRGINIA,-FAIRFAX CAMPUS,VIRGINIA,51059,51,FAIRFAX,A1904589,7039410780,11230 WAPLES MILL RD STE 100,FAIRFAX,VA ,22030,2nd grade,12th grade  ,21-Suburb: Large,1-Coed (school has male and female students),4-Special Education,3-Combined (school has one or more of grades K-6 and one or more of grades 9-12. Schools in which all students are ungraded are also classified as combined).,3-Nonsectarian,2-Suburb (ulocale = 21 or 22 or 23),65,38,9,13,7,9,–,–,–,–,–,–,–,6.50,10.00
1702 LAKE ROBERTS LANDING DR,FLORIDA,1702 LAKE ROBERTS LANDING DR,FLORIDA,12095,12,ORANGE,BB180782,4074908810,325 OCOEE APOPKA RD,WINTER GARDEN,FL ,34787,5th grade,11th grade  ,21-Suburb: Large,1-Coed (school has male and female students),1-Regular Elementary or Secondary,3-Combined (school has one or more of grades K-6 and one or more of grades 9-12. Schools in which all students are ungraded are also classified as combined).,3-Nonsectarian,2-Suburb (ulocale = 21 or 22 or 23),10,6,2,–,4,–,1,0,4,3,2,0,0,3.45,2.90
1955,SOUTH CAROLINA,1955,SOUTH CAROLINA,45079,45,RICHLAND,A1390320,8037869483,1508 MARCHANT AVE PO BOX 30054,COLUMBIA,SC ,29203,Prekindergarten,1st grade,21-Suburb: Large,1-Coed (school has male and female students),2-Montessori,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,2-Other religious,2-Suburb (ulocale = 21 or 22 or 23),100,†,–,–,–,–,0,0,0,81,0,0,0,1.54,52.50
1ST CEREBRAL PALSY OF NJ,NEW JERSEY,1ST CEREBRAL PALSY OF NJ,NEW JERSEY,34013,34,ESSEX,02043767,9737510200,7 SANFORD AVE,BELLEVILLE,NJ ,07109,Prekindergarten,12th grade  ,21-Suburb: Large,1-Coed (school has male and female students),4-Special Education,3-Combined (school has one or more of grades K-6 and one or more of grades 9-12. Schools in which all students are ungraded are also classified as combined).,3-Nonsectarian,2-Suburb (ulocale = 21 or 22 or 23),70,20,5,5,5,5,0,0,15,25,20,0,5,6.50,10.00
1ST CLASS MONTESSORI,TENNESSEE,1ST CLASS MONTESSORI,TENNESSEE,47157,47,SHELBY,A1102054,9012745422,1336 PEABODY AVE,MEMPHIS,TN ,38104,Prekindergarten,2nd grade,11-City: Large,1-Coed (school has male and female students),2-Montessori,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,3-Nonsectarian,1-City (ulocale = 11 or 12 or 13),23,†,–,–,–,–,0,0,0,10,1,0,3,7.00,2.00
1ST CLASS MONTESSORI - I,TENNESSEE,1ST CLASS MONTESSORI - I,TENNESSEE,47157,47,SHELBY,A1904058,9012745622,1336 PEABODY AVE,MEMPHIS,TN ,38104,Prekindergarten,2nd grade,11-City: Large,1-Coed (school has male and female students),2-Montessori,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,3-Nonsectarian,1-City (ulocale = 11 or 12 or 13),24,†,–,–,–,–,0,0,0,9,1,0,4,7.00,2.00
1ST UNITED METHODIST PRESCHOOL & KINDERGARTEN,NORTH CAROLINA,1ST UNITED METHODIST PRESCHOOL & KINDERGARTEN,NORTH CAROLINA,37127,37,NASH,A0108235,2529770475,100 S CHURCH ST,ROCKY MOUNT,NC ,27804,Prekindergarten,Kindergarten,13-City: Small,1-Coed (school has male and female students),7-Early Childhood Program/child care center,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,3-Nonsectarian,1-City (ulocale = 11 or 12 or 13),44,†,–,–,–,–,0,0,0,1,7,0,0,1.01,7.90
2450 CHILDCARE INC DBA HAPPY DAYS CHILDCARE,INDIANA,2450 CHILDCARE INC DBA HAPPY DAYS CHILDCARE,INDIANA,18089,18,LAKE,A0700925,2199231333,2645 MAIN ST,HIGHLAND,IN ,46322,Prekindergarten,Kindergarten,21-Suburb: Large,1-Coed (school has male and female students),7-Early Childhood Program/child care center,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,3-Nonsectarian,2-Suburb (ulocale = 21 or 22 or 23),120,†,–,–,–,–,0,1,0,5,4,0,0,10.00,1.00
2ND NATURE ACADEMY,NEW HAMPSHIRE,2ND NATURE ACADEMY,NEW HAMPSHIRE,33011,33,HILLSBOROUGH,A0106240,6038814815,10 GROTON RD,NASHUA,NH ,03062,Prekindergarten,12th grade  ,41-Rural: Fringe,1-Coed (school has male and female students),1-Regular Elementary or Secondary,3-Combined (school has one or more of grades K-6 and one or more of grades 9-12. Schools in which all students are ungraded are also classified as combined).,3-Nonsectarian,4-Rural (ulocale = 41 or 42 or 43),127,6,4,1,–,1,0,2,1,1,73,0,3,5.59,14.30
3 OAKS ACADEMY,FLORIDA,3 OAKS ACADEMY,FLORIDA,12021,12,COLLIER,A1990180,2393615883,2655 NORTHBROOKE DR,NAPLES,FL ,34119,7th grade,11th grade  ,21-Suburb: Large,1-Coed (school has male and female students),3-Special Program Emphasis,2-Secondary (school has one or more of grades 7-12 and does not have any grade lower than 7th grade).,3-Nonsectarian,2-Suburb (ulocale = 21 or 22 or 23),9,5,–,4,1,–,0,0,3,1,4,0,1,4.29,2.10
3 OAKS ACADEMY,FLORIDA,3 OAKS ACADEMY,FLORIDA,12021,12,COLLIER,A1992001,2393315883,10012 GULF CENTER DR STE #5-300,FORT MYERS,FL ,33913,7th grade,11th grade  ,21-Suburb: Large,1-Coed (school has male and female students),3-Special Program Emphasis,2-Secondary (school has one or more of grades 7-12 and does not have any grade lower than 7th grade).,3-Nonsectarian,2-Suburb (ulocale = 21 or 22 or 23),12,7,2,4,1,–,0,0,3,1,7,0,1,6.00,2.00
345,NEW JERSEY,345,NEW JERSEY,34025,34,MONMOUTH,00867797,7326719100,538 CHURCH ST,MIDDLETOWN,NJ ,07748,9th grade,12th grade  ,21-Suburb: Large,1-Coed (school has male and female students),1-Regular Elementary or Secondary,2-Secondary (school has one or more of grades 7-12 and does not have any grade lower than 7th grade).,1-Catholic,2-Suburb (ulocale = 21 or 22 or 23),316,316,71,82,92,71,0,15,18,40,243,0,0,10.93,28.90
4POINTS ACADEMY,TEXAS,4POINTS ACADEMY,TEXAS,48453,48,TRAVIS,A1790473,5129917950,5145 RANCH RD,AUSTIN,TX ,78732,Kindergarten,7th grade,21-Suburb: Large,1-Coed (school has male and female students),1-Regular Elementary or Secondary,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,2-Other religious,2-Suburb (ulocale = 21 or 22 or 23),9,†,–,–,–,–,0,0,0,3,6,0,0,1.67,5.40
5 POINT LEARNING ACADEMY,TENNESSEE,5 POINT LEARNING ACADEMY,TENNESSEE,47113,47,MADISON,A1904059,7312258672,203 HARTS BRIDGE RD,JACKSON,TN ,38301,Kindergarten,12th grade  ,13-City: Small,1-Coed (school has male and female students),1-Regular Elementary or Secondary,3-Combined (school has one or more of grades K-6 and one or more of grades 9-12. Schools in which all students are ungraded are also classified as combined).,2-Other religious,1-City (ulocale = 11 or 12 or 13),18,13,3,2,6,2,0,0,1,0,17,0,0,1.00,18.00
565 ACADEMY,OHIO,565 ACADEMY,OHIO,39095,39,LUCAS,A1502784,4192421997,2157 GLENWOOD,TOLEDO,OH ,43620,3rd grade,6th grade,11-City: Large,1-Coed (school has male and female students),6-Alternative/other,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,2-Other religious,1-City (ulocale = 11 or 12 or 13),8,†,–,–,–,–,0,1,0,1,3,0,3,8.00,1.00
63RD ST MULTICULTURAL ACAD OF ACADEMIC EXCELLENCE,PENNSYLVANIA,63RD ST MULTICULTURAL ACAD OF ACADEMIC EXCELLENCE,PENNSYLVANIA,42101,42,PHILADELPHIA,A1101911,2672923573,PO BOX 28756,PHILADELPHIA,PA ,19151,Prekindergarten,12th grade  ,11-City: Large,1-Coed (school has male and female students),1-Regular Elementary or Secondary,3-Combined (school has one or more of grades K-6 and one or more of grades 9-12. Schools in which all students are ungraded are also classified as combined).,2-Other religious,1-City (ulocale = 11 or 12 or 13),154,28,16,4,2,6,0,0,9,130,0,0,0,9.27,15.00
9107 LITTLE FRIENDS ACADEMY INC,PENNSYLVANIA,9107 LITTLE FRIENDS ACADEMY INC,PENNSYLVANIA,42045,42,DELAWARE,K9305227,6104467171,9107 W CHESTER PIKE,UPPER DARBY,PA ,19082,Prekindergarten,Kindergarten,21-Suburb: Large,1-Coed (school has male and female students),7-Early Childhood Program/child care center,1-Elementary (school has one or more of grades K-6 and does not have any grade higher than the 8th grade).,3-Nonsectarian,2-Suburb (ulocale = 21 or 22 or 23),96,†,–,–,–,–,0,2,0,6,2,0,0,10.00,1.00
91ST PSALM CHRISTIAN SCHOOL,ARIZONA,91ST PSALM CHRISTIAN SCHOOL,ARIZONA,04013,04,MARICOPA,A9700074,6022431900,2020 E BASELINE RD,PHOENIX,AZ ,85042,Prekindergarten,12th grade  ,11-City: Large,1-Coed (school has male and female students),1-Regular Elementary or Secondary,3-Combined (school has one or more of grades K-6 and one or more of grades 9-12. Schools in which all students are ungraded are also classified as combined).,2-Other religious,1-City (ulocale = 11 or 12 or 13),168,29,6,10,3,10,1,5,69,28,45,6,0,9.63,16.00
