county_fips,median_hh_income,pct_bachelors_plus,pct_poverty
01001,72481,29.1,11.3
01003,78775,33.7,10.1
01005,46042,10.6,21.4
01007,52541,11.7,22.5
01009,64190,15.8,12.9
01011,31310,8.1,33.3
01013,44755,13.5,22.4
01015,55029,20.6,17.9
01017,49656,14.9,15.7
01019,53863,16.5,14.8
01021,65603,16.5,14.0
01023,47813,15.8,16.5
01025,49249,15.0,20.1
01027,55250,14.7,17.6
01029,55345,17.0,13.7
01031,68353,22.5,16.7
01033,60628,21.7,17.4
01035,41327,13.4,27.8
01037,57355,13.9,13.1
01039,52456,17.2,19.2
01041,48560,18.7,17.9
01043,62656,19.7,15.3
01045,54963,20.4,18.7
01047,35627,17.5,31.0
01049,51204,14.1,22.4
01051,78243,25.4,10.3
01053,48225,13.5,20.0
01055,54563,18.1,16.9
01057,49488,14.9,21.8
01059,53338,15.8,19.1
01061,52771,13.2,19.2
01063,29200,15.1,40.1
01065,39250,17.6,24.6
01067,59931,21.8,18.3
01069,58626,23.0,17.5
01071,51908,15.9,17.3
01073,66388,36.2,15.7
01075,50000,12.1,18.0
01077,62649,29.8,12.2
01079,66071,15.2,13.3
01081,65824,42.4,18.9
01083,83629,30.2,10.0
01085,37052,14.4,29.9
01087,43707,21.1,24.3
01089,86499,46.4,10.1
01091,43825,19.5,21.9
01093,50088,13.3,16.2
01095,62571,21.5,16.6
01097,58880,26.0,16.2
01099,42292,11.7,20.1
01101,59386,34.5,19.9
01103,68845,23.3,13.5
01105,37654,15.8,31.4
01107,46274,13.1,20.0
01109,48677,28.0,23.3
01111,52338,18.4,19.9
01113,51197,18.2,22.2
01115,77463,21.4,11.4
01117,97961,46.8,7.2
01119,33310,19.0,26.5
01121,57776,16.5,17.8
01123,59356,20.3,16.3
01125,66231,32.1,16.8
01127,56509,16.6,18.5
01129,61042,17.0,17.1
01131,40640,12.9,28.2
01133,57256,14.3,18.7
02013,65365,18.3,13.2
02016,135500,17.9,11.3
02020,103284,38.7,8.9
02050,73996,12.8,25.6
02060,95625,20.9,9.3
02063,90509,31.4,5.9
02066,79250,23.4,8.7
02068,80781,26.6,8.3
02070,78533,18.9,19.5
02090,88267,33.1,6.1
02100,86927,34.1,5.4
02105,61406,24.6,14.2
02110,101661,41.2,8.9
02122,80538,29.8,11.8
02130,92885,27.4,8.7
02150,86250,28.7,8.7
02158,51471,5.8,32.4
02164,65625,16.3,12.8
02170,94031,24.4,10.0
02180,78681,14.0,21.5
02185,95694,15.6,11.1
02188,84018,10.6,17.9
02195,75125,25.8,7.0
02198,61156,14.9,12.7
02220,101727,34.3,7.5
02230,81136,28.5,5.9
02240,73882,23.2,12.7
02275,63750,21.4,12.1
02282,85000,14.4,11.9
02290,55741,16.0,16.0
04001,41438,16.6,30.5
04003,59742,28.1,15.4
04005,72966,40.3,16.8
04007,61986,18.7,16.9
04009,67325,14.6,17.3
04011,71164,20.9,8.2
04012,49478,13.5,17.5
04013,89300,36.7,11.0
04015,57684,15.2,16.1
04017,54606,19.1,24.7
04019,70315,36.8,14.3
04021,80266,22.5,11.1
04023,55217,23.1,20.2
04025,69613,30.3,12.0
04027,62876,16.8,15.6
05001,53164,13.6,19.0
05003,44266,12.8,22.1
05005,48452,19.4,15.5
05007,93506,37.8,7.6
05009,55143,17.2,11.7
05011,41476,15.3,19.9
05013,66809,19.8,10.2
05015,54230,20.0,17.2
05017,39045,18.0,22.6
05019,52034,26.2,21.6
05021,51481,15.3,17.2
05023,55798,18.4,13.9
05025,54794,19.7,15.8
05027,55334,21.9,21.1
05029,54187,19.9,19.7
05031,59548,29.7,20.1
05033,64132,20.0,14.7
05035,55358,17.0,21.0
05037,50863,18.4,19.7
05039,42500,11.3,13.9
05041,37662,12.6,28.3
05043,42824,25.6,22.4
05045,67289,35.0,14.5
05047,55886,14.5,18.0
05049,42241,16.0,18.0
05051,57181,25.3,15.8
05053,71549,21.5,13.1
05055,57839,16.9,17.4
05057,46787,16.3,20.2
05059,55405,17.5,15.1
05061,45603,16.2,22.5
05063,56609,18.1,20.4
05065,49405,19.7,22.3
05067,44218,14.7,21.7
05069,51096,20.1,18.6
05071,45995,17.8,19.8
05073,41278,9.0,22.3
05075,44882,14.5,20.1
05077,34375,7.2,39.4
05079,51778,12.0,15.4
05081,53344,17.2,15.5
05083,58555,16.7,13.9
05085,72828,22.1,10.4
05087,56798,12.9,14.1
05089,48619,14.9,18.0
05091,48836,15.0,24.6
05093,52548,13.7,21.1
05095,43214,12.7,20.6
05097,48906,16.7,22.4
05099,53886,13.8,20.3
05101,48986,15.7,15.9
05103,49268,16.3,18.9
05105,55764,16.5,14.2
05107,40134,15.0,29.3
05109,49269,19.1,20.7
05111,46707,11.4,20.1
05113,49191,17.8,15.9
05115,57344,24.7,16.9
05117,51646,18.2,11.8
05119,62873,37.9,16.7
05121,50911,12.1,22.4
05123,42574,14.2,28.5
05125,79046,29.4,8.8
05127,43270,13.0,18.7
05129,44426,15.0,23.0
05131,57790,23.3,16.0
05133,53527,9.3,17.3
05135,44637,13.9,16.5
05137,40943,15.8,19.3
05139,55259,19.1,19.5
05141,50354,15.0,19.1
05143,70639,35.2,14.6
05145,55249,20.4,17.5
05147,48158,16.2,24.1
05149,55934,14.9,15.6
06001,129367,52.2,9.2
06003,105521,41.1,10.0
06005,88044,22.4,8.2
06007,67928,31.9,19.2
06009,78647,23.9,13.0
06011,75672,16.4,11.4
06013,127229,45.2,8.4
06015,67058,21.4,12.9
06017,108845,40.0,8.0
06019,74201,24.3,18.3
06021,67139,15.1,16.0
06023,61160,33.1,18.7
06025,57681,16.1,19.5
06027,73991,31.5,10.9
06029,70210,18.8,19.1
06031,70995,13.6,16.0
06033,60621,17.8,17.0
06035,67403,13.1,14.0
06037,90112,36.0,13.7
06039,76627,17.9,19.2
06041,149091,61.1,8.3
06043,68412,31.8,14.0
06045,68092,25.2,15.4
06047,65510,15.3,19.1
06049,59455,24.8,17.9
06051,99415,32.2,8.6
06053,97230,28.2,12.7
06055,111471,39.8,8.5
06057,89882,41.5,11.0
06059,116289,44.1,9.5
06061,115998,43.2,6.8
06063,66031,22.5,10.6
06065,93074,25.6,10.6
06067,92175,34.1,12.5
06069,114394,24.1,6.7
06071,85478,23.3,13.3
06073,106268,43.2,10.3
06075,140970,60.3,11.2
06077,92179,22.7,12.4
06079,97446,39.8,12.9
06081,158855,53.7,6.7
06083,98161,36.8,14.7
06085,164281,56.5,7.1
06087,111093,43.9,11.6
06089,72636,23.8,13.3
06091,63355,25.8,4.4
06093,59095,23.3,16.4
06095,100401,28.8,10.0
06097,104674,38.5,8.9
06099,81468,19.6,13.5
06101,79704,20.9,14.4
06103,63784,19.3,15.6
06105,53002,22.4,20.7
06107,71300,16.6,17.9
06109,77404,24.6,10.4
06111,109797,36.1,9.3
06113,91752,44.8,16.7
06115,76373,17.7,14.2
06117,94571,29.0,9.8
08001,94571,29.0,9.8
08003,55397,32.4,17.2
08005,101087,46.5,8.6
08007,83065,40.9,8.2
08009,46215,24.7,24.6
08011,50179,15.7,28.4
08013,103994,64.2,11.2
08014,123874,60.3,6.2
08015,84132,47.0,8.3
08017,70865,26.1,8.2
08019,94577,57.5,6.4
08021,50978,25.7,11.7
08023,36861,24.9,21.0
08025,48826,12.4,19.4
08027,72674,43.7,12.7
08029,57774,26.6,14.0
08031,94718,56.5,11.2
08033,64907,28.1,21.6
08035,149594,62.0,3.8
08037,104096,50.9,8.7
08039,132685,36.1,5.3
08041,90363,41.9,8.5
08043,62664,22.0,13.3
08045,91131,33.6,8.2
08047,95361,52.8,11.2
08049,88612,42.7,7.6
08051,84527,64.7,11.3
08053,75972,47.7,4.1
08055,52526,26.4,17.3
08057,47667,31.3,14.6
08059,110656,52.0,6.7
08061,58618,20.1,11.8
08063,70259,20.4,9.8
08065,96575,49.5,7.9
08067,86056,49.3,11.7
08069,93765,53.0,11.2
08071,52074,19.3,18.7
08073,62861,26.1,9.8
08075,51829,20.1,15.8
08077,73658,32.3,10.7
08079,56250,51.7,10.0
08081,73849,19.4,8.4
08083,65244,31.3,13.3
08085,72120,28.7,11.5
08087,73278,17.8,14.3
08089,54037,18.2,22.1
08091,91020,56.5,4.3
08093,103670,41.6,5.0
08095,64674,31.5,16.8
08097,102645,62.8,7.8
08099,53508,19.3,18.2
08101,64010,25.6,14.6
08103,65473,24.7,8.5
08105,64411,34.5,18.0
08107,106489,54.2,5.2
08109,50082,31.3,17.8
08111,77824,52.1,21.3
08113,79024,64.9,9.3
08115,52386,27.2,13.0
08117,109773,55.0,7.7
08119,85361,37.9,7.6
08121,67167,24.9,8.1
08123,97097,33.2,9.6
08125,60545,25.3,17.9
09110,93394,42.1,10.3
09120,89667,41.7,12.4
09130,104428,46.0,6.8
09140,86191,33.8,11.2
09150,90589,26.1,7.5
09160,93551,39.4,8.8
09170,88197,42.0,11.4
09180,86586,35.8,10.7
09190,128188,55.5,7.5
10001,74477,27.5,10.6
10003,91166,39.7,10.1
10005,81497,33.0,10.9
11001,109870,64.2,15.4
12001,61949,48.8,21.2
12003,79836,17.8,11.8
12005,73533,29.6,11.9
12007,63050,15.2,16.8
12009,78476,34.2,10.2
12011,77633,36.7,12.2
12013,50517,13.6,20.7
12015,69952,27.0,9.0
12017,56546,20.6,15.6
12019,87820,28.3,9.2
12021,90045,40.3,10.7
12023,59205,16.8,16.7
12027,54417,10.8,24.1
12029,50110,10.7,20.9
12031,71277,34.4,14.1
12033,67500,29.7,14.7
12035,77363,31.3,10.3
12037,64105,27.9,16.5
12039,48801,21.3,27.9
12041,63523,15.3,11.5
12043,45870,13.4,17.2
12045,61179,23.5,12.5
12047,50144,11.0,20.1
12049,60489,12.1,25.3
12051,56393,12.2,22.5
12053,66058,21.1,11.7
12055,54897,20.5,15.3
12057,79540,38.1,12.7
12059,49343,12.5,14.0
12061,73491,33.8,11.1
12063,49149,15.1,19.5
12065,61212,19.2,21.0
12067,62757,9.9,17.5
12069,73161,27.8,8.9
12071,76107,31.2,12.0
12073,66287,48.9,18.7
12075,56750,16.5,17.4
12077,58671,16.5,17.5
12079,48485,13.9,21.0
12081,78457,35.4,9.8
12083,61010,23.4,14.4
12085,82943,37.1,11.3
12086,71753,34.4,14.7
12087,87738,38.6,10.6
12089,89804,35.6,9.7
12091,81998,34.8,9.3
12093,57984,15.8,18.0
12095,79719,39.3,13.0
12097,72637,29.8,12.8
12099,83581,40.5,11.3
12101,70492,29.2,11.1
12103,72646,36.8,11.5
12105,65978,23.5,14.5
12107,47934,14.5,23.4
12109,109839,50.9,6.5
12111,71457,26.7,12.3
12113,91922,32.0,8.8
12115,83416,40.8,8.6
12117,85761,42.7,9.0
12119,76508,35.3,9.7
12121,56658,16.6,15.0
12123,49073,16.5,17.3
12125,64146,11.1,19.5
12127,70044,28.4,11.8
12129,81895,23.3,6.7
12131,81986,35.0,12.5
12133,58210,11.5,17.3
13001,46651,11.2,22.5
13003,42347,8.9,25.0
13005,44694,10.4,24.5
13007,46012,16.7,26.3
13009,54403,24.4,21.7
13011,77063,18.6,11.3
13013,80653,21.2,9.6
13015,82243,24.3,10.3
13017,41758,13.0,25.2
13019,52876,15.7,20.6
13021,51234,26.3,24.7
13023,62008,19.8,19.3
13025,58239,14.5,17.1
13027,46807,15.8,25.4
13029,103408,36.1,6.7
13031,58810,32.5,23.0
13033,53014,15.5,18.3
13035,69241,14.4,10.4
13037,46940,13.0,22.8
13039,74378,24.6,12.9
13043,49581,16.0,16.3
13045,73714,23.8,15.4
13047,74639,24.2,9.9
13049,61276,12.3,18.1
13051,71097,37.7,14.3
13053,61042,29.6,13.9
13055,50285,12.0,21.2
13057,108115,41.1,7.0
13059,53625,47.4,26.0
13061,49147,23.4,21.0
13063,59806,22.5,17.9
13065,45847,9.1,26.1
13067,102738,50.8,8.7
13069,50683,13.9,23.1
13071,49341,15.5,22.9
13073,95592,38.5,7.5
13075,53651,17.9,17.7
13077,95548,36.2,7.4
13079,67116,14.5,11.6
13081,45105,15.3,23.3
13083,64568,18.4,8.2
13085,92991,36.4,8.5
13087,53317,15.1,22.0
13089,80644,47.4,13.7
