file,source_dataset,tracked_in_git,first_committed,last_committed,note
data/CEEB-Crosswalk/oda_nces_ceeb_crosswalk.csv,UC Boulder CEEB crosswalk,True,2026-07-06,2026-07-06,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/CPS-Opportunity-Index/cps_opportunity_index_SY26.xlsx,CPS Opportunity Index,True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/CollegeBoard/collegeboard_ap_availability_2024-25.xlsx,College Board AP (availability),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/CollegeBoard/collegeboard_ap_participation_2024-25.xlsx,College Board AP (participation),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/CollegeBoard/collegeboard_ap_performance_2024-25.xlsx,College Board AP (performance),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/IB/ib_us.csv,International Baccalaureate school directory,True,2026-06-28,2026-06-28,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/ISBE/isbe_report_card_2025_glossary.pdf,ISBE Report Card (glossary),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/ISBE/isbe_report_card_2025_illinois_schools.xlsx,ISBE Report Card (IL schools),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NAEP/naep_grade12_math_2024_national.xls,NAEP grade 12 math (national),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NAEP/naep_grade12_reading_2024_national.xls,NAEP grade 12 reading (national),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NAEP/naep_grade8_math_2024_bystate.xls,NAEP grade 8 math (by state),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NAEP/naep_grade8_reading_2024_bystate.xls,NAEP grade 8 reading (by state),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NCES/ELSI_csv_new_updated.csv,NCES public HS grades 9-12 (12-digit ID re-pull),True,2026-07-05,2026-07-06,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NCES/ELSI_public_school_grades_9-12_only.csv,NCES public HS grades 9-12 (earlier pull),True,2026-07-05,2026-07-05,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NCES/NCES_private_merged.csv,NCES private schools (49-state PSS merge),True,2026-07-02,2026-07-02,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NCES/NCES_private_merged.xlsx,"NCES private schools (49-state PSS merge, source xlsx)",True,2026-07-02,2026-07-02,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NCES/nces-private-schools.csv,NCES private schools (ELSI),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/NCES/nces-public-schools.csv,"NCES public schools (CCD, 7-digit ID)",True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/US-Census-Saipe/2024-district-layout.txt.rtf,Census SAIPE (file layout doc),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/US-Census-Saipe/census_saipe_poverty_2024_schooldistricts.xls,Census SAIPE poverty,True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/US-Census/census_school_finances_FY2024_alldistricts.xlsx,Census F-33 school finance (all districts),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
data/US-Census/census_school_finances_FY2024_summary.xlsx,Census F-33 school finance (summary),True,2026-06-26,2026-06-26,"date of the last commit to this exact file, not the underlying real-world data's own vintage (see vintage_as_of in DATA_DICTIONARY.md)"
"data/updated-sheng/* (Sheng's combined export, Bob's org export, EDA PDFs)",Sheng's combined schools export + Bob's NU org export,False,,,"NOT tracked in git (data/updated-sheng/ is gitignored) -- no repo-provenance date available. Includes Sheng's combined schools export AND, bundled inside it, all CRDC columns (crdc_ap_offered, crdc_ap_enrollment, crdc_dual_enrollment, crdc_satact_takers, etc.) -- CRDC's freshness can't be dated from repo history for this reason, the same limitation as Bob's org export, just not previously flagged as such."
